"problem","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"GRP123‑8.004","+0.31","+1.73","3.43","+0.96","0.34","0.49"
"NLP120‑1","+0.29","+1.68","2.67","+0.35","0.22","0.38"
"SYN059‑1","+0.32","+1.83","3.55","+0.33","0.23","0.38"
"SYN838‑1","+2.55","+17.30","13.87","+3.65","TMO‑Non","TMO‑Non"
"SYN515‑1","+0.32","+1.72","3.72","+0.37","0.25","0.43"
"NLP126‑1","+0.32","+1.82","2.34","+0.34","0.23","1.05"
"GRP124‑4.005","+0.31","+1.88","TMO‑Non","TMO‑Non","1.26","0.42"
"NLP118‑1","+0.31","+1.70","2.55","+0.35","0.22","0.48"
"SYN867‑1","+0.36","+1.82","2.23","+119.95","0.46","28.07"
"SYN438‑1","+0.32","+1.73","TMO‑Non","TMO‑Non","16.26","TMO‑Non"
"SYN812‑1","+5.60","+19.58","13.48","119.97","TMO‑Non","TMO‑Non"
"SYN441‑1","+0.32","+2.31","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN816‑1","+5.85","+10.25","13.04","119.95","TMO‑Non","TMO‑Non"
"GRP125‑4.004","+0.31","+1.84","2.48","+0.97","0.28","0.44"
"NLP123‑1","+0.32","+1.73","2.13","+0.37","0.22","0.39"
"SYN514‑1","+0.32","+1.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN317‑1","+0.29","+1.66","2.16","+0.34","0.23","0.42"
"GRP126‑2.005","+0.33","+1.76","4.48","+3.66","0.39","0.45"
"SYN322‑1","+0.31","+1.82","2.55","+55.37","0.22","0.39"
"SYN307‑1","+0.30","+1.70","TMO‑Non","TMO‑Non","TMO‑Non","0.37"
"SYN528‑1","+0.30","+1.79","2.47","+0.42","0.25","0.50"
"NLP042‑1","+0.29","+1.83","2.24","+0.41","0.24","1.17"
"SYN494‑1","+0.29","+1.80","2.55","+0.37","0.25","0.43"
"NLP121‑1","+0.31","+1.81","2.52","+0.37","0.24","0.52"
"NLP125‑1","+0.32","+1.80","2.57","+61.56","0.22","0.62"
"GRP128‑3.004","+0.32","+1.73","5.67","+0.57","1.09","0.42"
"SYN868‑1","+0.40","+1.81","2.95","+0.41","0.45","0.57"
"GRP132‑1.005","+0.71","+2.20","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN530‑1","+0.32","+1.86","2.25","+0.41","0.24","0.44"
"SYN817‑1","+2.72","+10.69","13.17","119.98","TMO‑Non","TMO‑Non"
"GRP124‑3.005","+0.34","+1.80","TMO‑Non","TMO‑Non","26.49","0.75"
"SYN446‑1","+0.34","+1.85","24.53","+16.76","TMO‑Non","TMO‑Non"
"GRP129‑4.005","+0.31","+2.28","TMO‑Non","TMO‑Non","31.54","0.43"
"SYN815‑1","+4.07","+10.06","15.49","119.94","TMO‑Non","TMO‑Non"
"GRP123‑4.004","+0.38","+1.74","2.74","+1.05","0.33","0.50"
"NLP008‑1","+0.32","+1.71","2.75","+0.38","0.25","7.64"
"SYN490‑1","+0.33","+1.78","2.69","+0.39","0.24","0.37"
"NLP006‑1","+0.30","+1.79","2.46","+0.38","0.26","5.83"
"SYN840‑1","+4.29","+22.34","27.46","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN835‑1","+0.62","+3.47","3.11","+0.65","2.59","TMO‑Non"
"SYN818‑1","+16.47","+18.43","18.05","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN830‑1","+6.54","+24.88","13.16","120.00","TMO‑Non","TMO‑Non"
"PUZ028‑4","+0.33","+1.74","3.89","+0.39","0.23","0.39"
"NLP124‑1","+0.30","+1.67","2.59","+0.30","0.23","0.49"
"SYN841‑1","+6.72","+19.84","25.69","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP116‑1","+0.30","+1.75","2.73","+0.51","0.22","0.46"
"NLP012‑1","+0.32","+1.73","2.35","+0.33","0.26","13.73"
"PUZ028‑2","+0.31","+1.79","2.35","+119.95","0.23","0.38"
"PUZ001‑3","+0.30","+1.67","2.16","+0.38","0.24","0.43"
"NLP115‑1","+0.30","+1.79","2.55","+0.38","0.23","0.44"
"SYN720‑1","+0.34","+1.74","2.33","+0.59","0.37","2.70"
"SYN828‑1","+2.77","+10.58","11.53","119.99","83.16","TMO‑Non"
"GRP128‑4.004","+0.33","+1.81","2.73","+1.82","0.59","0.36"
"SYN529‑1","+0.31","+1.72","2.86","+0.50","0.24","0.45"
"PUZ028‑3","+0.34","+1.75","2.33","+0.41","0.22","0.47"
"SYN056‑1","+0.33","+1.75","2.47","+0.81","0.23","0.37"
"GRP123‑6.005","+0.31","+1.75","TMO‑Non","TMO‑Non","0.68","TMO‑Non"
"PUZ028‑1","+0.36","+1.79","2.22","+0.37","0.21","0.40"
"SYN888‑1","+0.44","+2.67","3.16","+119.93","5.51","TMO‑Non"
"GRP129‑3.005","+0.34","+1.68","82.43","+7.03","TMO‑Non","29.50"
"GRP130‑3.004","+0.31","+1.72","9.73","+0.39","1.76","0.44"
"SYN422‑1","+0.32","+1.83","58.37","+9.03","TMO‑Non","68.26"
"SYN527‑1","+0.32","+1.77","2.69","+0.38","0.22","0.45"
"PUZ018‑2","+0.31","+1.80","8.53","+0.35","TMO‑Non","TMO‑Non"
"SYN853‑1","+5.06","+20.82","22.11","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP126‑4.005","+0.36","+2.32","TMO‑Non","TMO‑Non","0.41","0.49"
"GRP125‑3.004","+0.33","+1.76","3.13","+0.44","0.43","0.45"
"GRP125‑2.004","+0.30","+1.61","2.22","+0.40","0.28","0.45"
"HWC004‑1","+0.33","UNK‑Non","2.36","+0.36","0.22","GUP‑Non"
"SYN826‑1","+2.73","+34.07","21.01","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP124‑9.005","+0.34","+1.70","TMO‑Non","TMO‑Non","0.92","0.66"
"NLP127‑1","+0.32","+1.75","2.43","+0.39","0.21","0.43"
"NLP023‑1","+0.30","+1.80","2.46","+0.39","0.26","1.71"
"NLP024‑1","+0.32","+1.69","2.56","+0.41","0.25","0.55"
"MGT066‑1","+0.31","+1.85","1.92","TMO‑Non","TMO‑Non","0.42"
"HWV063‑1","+14.51","+46.72","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA045‑1","+6.52","+13.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV082‑1","+3.70","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA038‑1","+3.02","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO593‑1","+0.82","+5.79","37.44","+27.78","TMO‑Non","TMO‑Non"
"HWV042‑1","+9.80","+46.27","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV048‑1","+9.89","+34.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV042‑2","+6.72","+51.33","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV053‑1","+6.49","TMO‑Non","79.71","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV049‑1","+110.64","+59.37","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV048‑2","+9.70","+44.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV077‑1","+1.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"KRS281‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO590‑1","+29.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
