"metric","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"Solved/100","90/100","83/100","66/100","59/100","55/100","53/100"
"Av. WC Time","4.71","8.41","9.64","21.78","3.33","3.38"
"Av. CPU Time","28.41","42.32","51.09","27.70","24.14","14.97"
"Solutions/100","90/100","83/100","0/100","53/100","0/100","0/100"
"μWCEfficiency","685","310","160","419","481","453"
"μEfficiency","637","230","59","400","437","424"
"SotAC","0.40","0.31","0.14","0.07","0.06","0.05"
"Core Usage/> 1.0","5.42/29","3.30/57","3.68/66","3.75/20","6.23/13","3.31/16"
"Core U. ≤ 1.0","61","26","0","39","42","37"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","5/5","0/5","0/5","0/5","0/5","0/5"
