"problem","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"HWV092‑1","+14.84","+19.04","+14.10","+16.66","+3.97","TMO‑Non"
"SYN837‑1","+1.32","+5.99","+6.07","+0.90","+13.95","TMO‑Non"
"HWV090‑1","+1.94","+3.88","+9.13","+2.18","+0.99","94.56"
"SYN865‑1","+3.23","+17.03","+9.50","+2.15","+81.06","TMO‑Non"
"SYN866‑1","+2.34","+9.83","+15.38","+1.84","TMO‑Non","TMO‑Non"
"HWV094‑1","+7.71","+9.98","+14.44","+4.80","+1.84","TMO‑Non"
"SYN846‑1","+1.41","+4.13","+4.67","+0.88","+17.74","TMO‑Non"
"HWV045‑1","+6.02","+42.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV419‑1.010","+1.03","+3.31","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN862‑1","+2.43","+15.43","+14.94","+1.91","+99.48","TMO‑Non"
"SWV423‑1.010","+1.58","+5.84","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN861‑1","+3.70","+11.47","+8.25","+1.86","+117.72","TMO‑Non"
"SWV421‑1.200","+13.23","+12.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.205","+30.94","+10.79","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV089‑1","+0.54","+2.47","+2.80","+0.55","+0.31","0.99"
"SWV418‑1.300","+2.18","+8.39","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN885‑1","+0.80","+2.23","+2.47","+119.92","+1.49","TMO‑Non"
"PUZ037‑3","+2.04","+1.84","+4.71","+16.60","+3.49","6.44"
"PUZ036‑1.005","+0.46","+1.68","+2.37","+0.46","+0.26","0.55"
"PUZ008‑2","+0.33","+1.76","+2.25","+0.37","+0.22","0.40"
"LAT261‑2","+0.31","+1.78","+2.21","+0.50","+0.20","0.39"
"PLA031‑1.007","+9.18","+96.79","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SET856‑2","+0.33","+1.79","+2.32","+0.38","+0.22","0.40"
"LAT264‑2","+0.31","+1.81","+2.54","+0.31","+0.22","0.39"
