"metric","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"Solved/100","96/100","85/100","32/100","29/100","25/100","11/100"
"Av. WC Time","13.59","28.64","11.26","13.65","19.97","9.59"
"Av. CPU Time","83.89","180.20","50.26","27.24","151.93","45.90"
"Solutions/100","96/100","85/100","32/100","29/100","25/100","0/100"
"μWCEfficiency","303","94","59","168","119","92"
"μEfficiency","149","51","22","124","102","84"
"SotAC","0.56","0.47","0.06","0.05","0.03","0.00"
"Core Usage/> 1.0","5.64/88","5.37/85","3.66/32","3.22/15","7.28/14","2.95/5"
"Core U. ≤ 1.0","8","0","0","14","11","6"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","8/8","0/8","0/8","0/8","0/8","0/8"
