"metric","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","LastButNotLeast 0","SPASS‑SCL 0.1"
"Solved/400","364/400","288/400","292/400","229/400","259/400","59/400","56/400","3/400","379/400","317/400","243/400","217/400","94/400","0/400","0/400"
"Av. WC Time","3.74","19.09","30.68","29.17","20.71","65.72","30.40","10.56","4.20","20.92","24.52","12.80","32.32","-","-"
"Av. CPU Time","21.58","122.77","226.29","63.39","158.55","65.51","233.17","16.73","24.31","145.48","24.35","82.27","32.02","-","-"
"Solutions/400","364/400","288/400","211/400","181/400","165/400","59/400","43/400","3/400","0/400","0/400","0/400","0/400","0/400","0/400","0/400"
"μWCEfficiency","688","442","179","143","371","24","76","2","688","164","308","256","70","-","-"
"μEfficiency","496","323","71","139","268","24","47","1","521","55","320","192","90","-","-"
"SotAC","0.48","0.33","0.34","0.24","0.28","0.04","0.05","0.00","-","0.39","0.28","0.22","0.08","-","-"
"Core Usage/> 1.0","4.30/220","4.81/206","4.77/291","1.62/169","6.36/170","0.00/0","5.94/42","1.87/3","4.62/214","4.36/317","1.02/1","5.37/153","1.00/1","-","-"
"Core U. ≤ 1.0","144","82","1","60","89","59","14","0","165","0","242","64","93","0","0"
"New Solved","13/18","1/18","12/18","0/18","6/18","0/18","0/18","0/18","15/18","6/18","16/18","2/18","0/18","0/18","0/18"
"Unique Solved","3/14","0/14","0/14","0/14","0/14","0/14","0/14","0/14","6/14","0/14","5/14","0/14","0/14","0/14","0/14"
