"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","Vampire 4.9","CSI_Enigma 1.0.6","Zipperpin 2.1.9999","cvc5 1.3.0","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0","LisaTT 0.9.1"
"KRS203+1","+0.38","+153.40","+1.79","+1.63","+0.25","+0.76","TMO‑Non","0.28","2.35","0.68","160.35","1.18","112.07","GUP‑Non","TMO‑Non"
"CSR057+2","+0.33","+0.39","+1.85","+1.78","+0.26","+24.57","+1.23","0.29","2.84","0.78","8.42","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"MED007+1","+0.35","+39.38","+1.86","+55.04","3.27","+25.99","TMO‑Non","0.38","19.79","153.86","0.59","TMO‑Non","0.54","GUP‑Non","UNK‑Non"
"KRS258+1","+0.31","+0.38","+1.80","1.50","+0.32","+0.76","TMO‑Non","0.25","2.47","0.71","21.45","1.07","179.56","GUP‑Non","TMO‑Non"
"MED009+1","+0.36","+22.07","+1.85","+51.66","15.18","+29.35","TMO‑Non","0.39","13.23","UNK‑Non","0.55","TMO‑Non","0.57","GUP‑Non","UNK‑Non"
"GEO259+1","+0.34","+0.45","+1.80","+1.71","+0.32","+3.60","+8.09","0.57","2.36","4.97","7.18","0.91","0.42","GUP‑Non","UNK‑Non"
"NUN087+1","+0.32","+0.61","+1.82","+7.78","1.76","+98.34","+48.43","0.31","3.08","1.08","171.62","0.91","44.09","GUP‑Non","UNK‑Non"
"CSR034+2","+0.38","+0.67","+2.86","+1.85","+0.34","+209.12","+10.27","0.43","2.70","2.41","8.37","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"MGT067+1","+0.33","+0.41","+1.82","+1.61","0.24","+2.82","+0.33","0.29","2.39","0.75","TMO‑Non","1.22","9.01","GUP‑Non","UNK‑Non"
"SWB012+3","+0.35","+0.57","+41.40","+2.78","7.43","TMO‑Non","TMO‑Non","0.32","3.19","4.05","29.32","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"SWB014+3","+0.33","+0.56","+27.91","1.50","0.26","+218.66","TMO‑Non","0.29","2.75","1.35","4.88","16.10","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR060+2","+0.36","+0.50","3.34","+2.96","+0.37","+209.25","+0.41","0.37","2.76","1.62","4.82","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"KRS217+1","+0.32","+0.53","+1.83","+116.01","+0.34","+96.83","TMO‑Non","0.28","16.46","2.63","161.80","4.05","TMO‑Non","GUP‑Non","TMO‑Non"
"SYN938+1","+0.35","+34.72","+1.80","+1.78","0.33","TMO‑Non","UNK‑Non","0.34","3.23","1.31","164.37","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR062+2","+0.33","+0.37","+1.85","+1.73","+0.43","+25.65","+0.23","0.32","3.16","0.74","28.44","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"SYO606+1","+0.30","+10.51","1.74","+28.85","0.36","TMO‑Non","TMO‑Non","0.29","16.53","1.16","23.78","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR061+2","+0.33","+1.67","+2.86","+2.98","+2.33","+0.64","+20.68","0.36","3.54","3.32","43.60","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR026+3","+1.08","+1.34","+21.82","+6.50","+0.51","+5.06","+0.69","0.82","3.97","4.93","31.86","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR039+2","+0.41","+6.00","+2.85","+7.40","+4.35","+163.43","TMO‑Non","0.41","3.08","8.25","95.04","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"SYN457+1","+0.39","+1.37","2.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.37","123.30","3.25","0.83","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL365+1*","+0.57","+1.69","5.78","+8.65","+0.39","TMO‑Non","TMO‑Non","0.70","2.96","11.41","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL982+1*","+0.30","+0.37","+1.79","+1.59","+0.24","+0.23","+0.28","0.27","2.28","0.62","TMO‑Non","0.89","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR073+2","+0.35","+0.42","+1.87","+1.80","+0.32","+24.35","+0.24","0.33","3.13","1.07","32.49","TMO‑Non","85.75","GUP‑Non","UNK‑Non"
"CSR116+6","+0.55","+0.74","+56.23","+2.07","+25.74","TMO‑Non","+1.82","0.60","2.95","9.30","34.44","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"KRS260+1","+0.32","+153.37","+1.81","+11.44","+0.42","+6.18","TMO‑Non","0.34","5.21","5.70","160.65","1.09","TMO‑Non","GUP‑Non","TMO‑Non"
"COM008+1","+12.11","+0.41","+1.77","+1.62","227.98","TMO‑Non","TMO‑Non","0.63","2.12","20.68","21.38","13.29","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR052+3","+0.42","+0.60","+2.06","+12.39","+1.08","+60.50","+0.40","0.45","4.06","3.80","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR036+2","+0.53","+7.99","+2.77","+8.27","+5.37","+163.64","TMO‑Non","0.41","3.09","14.17","95.95","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR115+98","+0.47","+0.73","+2.59","+2.02","1.86","+2.45","+1.45","0.61","2.72","6.87","33.02","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"NUN081+1","+0.33","+0.39","+1.80","+1.61","+0.23","+0.89","+0.22","0.30","2.22","0.64","UNK‑Non","1.02","TMO‑Non","GUP‑Non","UNK‑Non"
"SWV014+1","+0.33","+0.32","1.68","+1.58","+0.23","+161.02","+0.50","0.31","3.83","0.66","0.48","UNK‑Non","87.05","GUP‑Non","UNK‑Non"
"CSR115+6","+0.50","+0.70","+2.55","+2.03","2.07","+2.88","+1.11","0.57","2.88","UNK‑Non","32.71","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"NUN060+1","+0.33","+0.38","+1.81","+1.61","+0.23","+0.32","+0.22","0.30","2.26","0.67","UNK‑Non","0.92","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR115+91","+0.48","+0.66","+2.08","+1.97","+1.93","+2.97","+0.48","0.49","2.90","2.88","28.88","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"KRS234+1","+0.32","+0.39","1.79","+1.65","0.23","+25.04","+0.44","0.30","2.34","0.68","0.48","1.24","TMO‑Non","GUP‑Non","TMO‑Non"
"SYO604+1","+0.37","TMO‑Non","+1.74","TMO‑Non","TMO‑Non","+25.86","TMO‑Non","0.68","TMO‑Non","UNK‑Non","12.69","TMO‑Non","3.59","GUP‑Non","UNK‑Non"
"CSR056+3","+0.44","+0.65","+18.75","+6.00","+1.15","+202.44","+1.15","0.47","3.80","1.58","86.80","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"KRS233+1","+0.32","+0.38","+1.80","+12.18","+0.33","+24.91","TMO‑Non","0.31","3.76","1.46","0.47","2.74","TMO‑Non","GUP‑Non","TMO‑Non"
"CSR115+31","+0.47","+0.70","+2.65","+1.98","+6.16","+209.70","+1.26","0.54","2.97","74.92","31.99","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"KRS216+1","+0.30","+0.33","+1.79","+1.82","+0.34","+96.46","TMO‑Non","0.30","2.44","0.72","165.00","24.32","TMO‑Non","GUP‑Non","TMO‑Non"
"KRS189+1","+0.32","+0.32","1.93","+10.94","+0.24","+7.68","TMO‑Non","0.29","3.08","0.69","0.47","25.15","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL640+1.005","+0.52","+0.63","+3.28","+2.92","TMO‑Non","TMO‑Non","TMO‑Non","0.62","2.86","33.72","99.39","GUP‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL368+1*","+33.95","+5.26","+32.50","+9.87","+1.28","TMO‑Non","TMO‑Non","73.03","3.23","85.26","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"SYN353+1","+0.33","+0.39","+1.86","+1.61","+0.22","TMO‑Non","TMO‑Non","0.30","2.72","0.85","UNK‑Non","2.13","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR073+3","+0.51","+0.67","+6.69","16.34","+1.34","+2.64","+16.85","0.54","4.00","2.36","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL642+1.015","+0.47","+110.54","+2.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.45","TMO‑Non","UNK‑Non","99.01","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"CSR062+3","+0.43","+0.57","+2.11","+5.18","+1.11","+96.28","+0.40","0.54","4.84","1.49","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR033+3","+0.61","+0.60","+2.07","+11.20","+1.02","TMO‑Non","+3.63","0.56","4.00","73.16","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR027+3","+0.55","+0.58","+2.00","+6.83","+0.60","+157.91","+0.75","0.48","3.90","2.00","43.70","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR116+39","+0.47","+0.78","+72.73","+2.09","9.67","TMO‑Non","+2.43","0.56","3.03","7.24","32.30","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"CSR116+27","+0.53","+0.80","+66.33","+1.93","+13.32","TMO‑Non","+2.07","0.77","2.84","15.33","34.68","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non"
"KRS251+1","+0.33","+0.89","+1.72","TMO‑Non","0.66","+24.56","TMO‑Non","0.31","27.58","UNK‑Non","0.47","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL642+1.010","+0.40","+58.41","+1.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.34","TMO‑Non","UNK‑Non","99.72","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR040+3","+0.57","+1.45","+16.19","+3.69","+0.66","TMO‑Non","TMO‑Non","0.57","5.06","16.40","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"KRS261+1","+0.33","+0.40","+1.83","TMO‑Non","+1.06","+151.77","TMO‑Non","0.33","5.97","10.54","21.81","TMO‑Non","34.89","GUP‑Non","TMO‑Non"
"NUN085+1","+2.45","+0.89","+4.90","+4.77","TMO‑Non","TMO‑Non","TMO‑Non","1.71","11.41","UNK‑Non","165.90","22.57","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL369+1*","+25.37","+6.61","+107.08","+16.40","+2.66","TMO‑Non","TMO‑Non","147.84","5.40","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
