"metric","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","Vampire 4.9","CSI_Enigma 1.0.6","Zipperpin 2.1.9999","cvc5 1.3.0","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0","LisaTT 0.9.1"
"Solved/100","91/100","76/100","75/100","66/100","66/100","43/100","32/100","87/100","85/100","50/100","47/100","25/100","11/100","0/100","0/100"
"Av. WC Time","17.85","19.82","20.39","19.04","23.15","69.49","5.32","12.39","13.88","13.36","54.28","32.19","50.69","-","-"
"Av. CPU Time","120.02","120.28","140.69","38.52","181.60","69.31","34.36","80.56","89.99","85.41","54.11","31.90","251.20","-","-"
"Solutions/100","91/100","76/100","67/100","63/100","45/100","43/100","32/100","0/100","0/100","0/100","0/100","0/100","0/100","0/100","0/100"
"μWCEfficiency","612","449","217","161","371","98","186","653","173","218","95","84","34","-","-"
"μEfficiency","507","343","97","152","292","99","130","540","55","154","95","116","31","-","-"
"SotAC","0.44","0.32","0.32","0.26","0.26","0.14","0.10","-","0.39","0.16","0.17","0.10","0.03","-","-"
"Core Usage/> 1.0","4.98/52","5.18/51","4.07/75","1.66/44","6.65/41","0.00/0","5.35/23","4.43/47","4.53/85","5.26/37","0.00/0","0.00/0","4.20/10","-","-"
"Core U. ≤ 1.0","39","25","0","22","25","43","9","40","0","13","47","25","1","0","0"
"New Solved","20/25","15/25","8/25","13/25","15/25","1/25","1/25","15/25","24/25","4/25","0/25","8/25","0/25","0/25","0/25"
"Unique Solved","0/3","0/3","0/3","0/3","0/3","0/3","0/3","2/3","1/3","0/3","0/3","0/3","0/3","0/3","0/3"
