"metric","Vampire 5.0","E 3.3.0","iProver 3.9.3","Drodi 4.1.0","CSE_E 1.7","ConnectPP 0.6.1","Vampire 4.9","CSI_Enigma 1.0.6"
"Solved/101","69/101","42/101","34/101","21/101","18/101","1/101","70/101","46/101"
"Av. WC Time","58.00","115.02","114.13","50.54","143.54","417.48","21.69","124.19"
"Av. CPU Time","385.06","732.98","882.54","389.78","514.39","417.14","141.11","946.18"
"Solutions/101","69/101","42/101","28/101","16/101","16/101","1/101","0/101","0/101"
"μWCEfficiency","172","43","17","41","8","0","195","28"
"μEfficiency","75","20","5","16","6","0","78","8"
"SotAC","0.39","0.19","0.14","0.07","0.06","0.00","-","0.21"
"Core Usage/> 1.0","5.89/66","6.68/41","7.09/34","7.24/20","2.81/18","0.00/0","5.91/67","6.32/46"
"Core U. ≤ 1.0","3","1","0","1","0","1","3","0"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","4/10","1/10","0/10","0/10","0/10","0/10","5/10","0/10"
