"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0001^1","+1.05","+0.88","+0.61","1.63","6.83"
"SLH0002^1","+0.50","+0.14","+0.47","1.10","11.76"
"SLH0003^1","+0.48","+0.39","+0.47","TMO‑Non","TMO‑Non"
"SLH0004^1","+0.31","+0.40","+0.45","1.22","TMO‑Non"
"SLH0005^1","+0.37","+0.13","+1.16","1.13","7.71"
"SLH0006^1","+0.44","+0.37","+0.53","1.47","TMO‑Non"
"SLH0007^1","+2.01","+1.53","+2.84","UNK‑Non","TMO‑Non"
"SLH0008^1","+0.51","+0.50","+0.48","1.52","TMO‑Non"
"SLH0009^1","+0.34","+0.41","+0.43","1.17","TMO‑Non"
"SLH0010^1","+0.75","+0.59","+0.33","1.38","7.53"
"SLH0011^1","+0.53","+0.34","+1.16","0.93","TMO‑Non"
"SLH0012^1","+0.47","+0.31","+2.40","1.09","TMO‑Non"
"SLH0013^1","+1.27","+0.59","GUP‑Non","12.52","TMO‑Non"
"SLH0014^1","+0.36","+0.13","+1.16","1.31","TMO‑Non"
"SLH0015^1","+0.62","+0.38","+0.41","1.68","TMO‑Non"
"SLH0016^1","+0.45","+0.30","+1.14","1.36","TMO‑Non"
"SLH0017^1","+0.31","+0.36","+1.15","1.21","TMO‑Non"
"SLH0018^1","+0.43","+0.54","GUP‑Non","2.06","TMO‑Non"
"SLH0019^1","+0.41","+0.40","+0.78","1.60","TMO‑Non"
"SLH0020^1","+0.38","+0.14","+0.59","1.04","8.37"
"SLH0021^1","+0.53","+0.07","+0.35","1.04","TMO‑Non"
"SLH0022^1","+0.30","+0.35","+0.45","1.03","TMO‑Non"
"SLH0023^1","+0.98","+0.71","+1.53","1.68","TMO‑Non"
"SLH0024^1","+0.54","+0.14","+0.45","1.27","TMO‑Non"
"SLH0025^1","+0.33","+0.43","+0.37","7.93","TMO‑Non"
"SLH0026^1","+0.31","+0.30","+0.37","1.56","TMO‑Non"
"SLH0027^1","+0.43","+0.42","+0.28","1.49","9.34"
"SLH0028^1","+0.70","+0.50","+0.45","0.89","TMO‑Non"
"SLH0029^1","+0.42","+0.16","+0.39","1.12","TMO‑Non"
"SLH0030^1","+0.35","+0.47","+0.42","1.29","TMO‑Non"
"SLH0031^1","+2.33","+1.40","+1.39","2.23","6.98"
"SLH0032^1","+0.24","+0.63","+0.45","7.48","TMO‑Non"
"SLH0033^1","+0.47","+0.37","+0.46","1.21","TMO‑Non"
"SLH0034^1","+0.35","+0.39","+0.90","2.10","TMO‑Non"
"SLH0035^1","+0.36","+0.43","+2.41","1.43","TMO‑Non"
"SLH0036^1","+0.43","+0.44","+4.07","1.78","TMO‑Non"
"SLH0037^1","+0.45","+0.16","+0.40","1.04","TMO‑Non"
"SLH0038^1","+0.46","+0.16","+0.40","7.84","TMO‑Non"
"SLH0039^1","+0.41","+0.16","+1.09","UNK‑Non","TMO‑Non"
