"metric","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"Solved/400","362/400","327/400","190/400","367/400","335/400","238/400"
"Av. WC Time","7.30","15.24","10.94","6.03","13.72","30.63"
"Av. CPU Time","44.78","57.38","33.42","34.84","99.05","30.72"
"Solutions/400","354/400","310/400","189/400","0/400","0/400","0/400"
"μWCEfficiency","610","592","122","620","365","323"
"μEfficiency","443","536","60","444","271","332"
"SotAC","0.31","0.24","0.04","-","0.25","0.11"
"Core Usage/> 1.0","4.49/236","3.83/158","2.76/190","4.41/240","6.20/246","1.53/1"
"Core U. ≤ 1.0","126","169","0","127","89","237"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","0/12","3/12","0/12","1/12","5/12","3/12"
