"problem","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"ARI519_1","+0.38","+1.75","0.30","0.42"
"ARI632_1","+0.43","+2.81","0.36","18.46"
"ARI743_1","+0.32","+1.66","0.30","0.49"
"ARI730_1","+0.33","+1.82","0.66","0.45"
"ARI619_3","+0.31","TMO‑Non","0.86","0.49"
"ARI726_1","+0.32","TMO‑Non","0.77","0.44"
"ARI716_1","+0.50","+1.80","0.39","0.44"
"ARI720_1","+0.34","+1.79","0.30","0.44"
"ARI488_1","+0.33","TMO‑Non","0.64","0.42"
"ARI721_1","+0.32","+1.81","0.31","0.42"
"ARI400_1","+0.31","UNK‑Non","0.77","0.42"
"ARI727_1","+0.33","+1.83","0.37","0.44"
"ARI621_3","+0.53","TMO‑Non","0.78","0.47"
"ARI725_1","+0.34","TMO‑Non","1.05","0.44"
"ARI744_1","+0.31","+1.69","0.31","24.75"
"ARI729_1","+0.25","+1.81","0.37","0.43"
"ARI715_1","+0.36","+1.79","0.44","0.42"
"ARI722_1","+0.29","+1.78","0.55","0.42"
"ARI713_1","+0.34","+1.79","0.38","0.43"
"ARI714_1","+0.33","+1.78","0.36","0.45"
"ARI637_1","+0.34","+1.75","1.02","24.61"
"ARI630_1","+0.33","+1.84","0.40","0.65"
"ARI733_1","+0.32","TMO‑Non","0.70","0.43"
"ARI634_1","+0.32","TMO‑Non","0.38","18.51"
"ARI718_1","+0.34","TMO‑Non","0.68","0.42"
"ARI635_1","+0.35","+27.78","0.45","18.48"
"ARI738_1","+0.35","+1.82","0.41","0.43"
"ARI639_1","+0.33","+1.82","0.39","0.51"
"ARI724_1","+0.83","+1.80","0.52","0.43"
"ARI628_1","+0.34","+1.80","0.42","0.64"
"ARI631_1","+0.35","+1.87","0.37","5.66"
"ARI629_1","+0.34","+1.81","0.45","0.48"
"ARI636_1","+0.56","+42.39","0.42","18.47"
"ARI641_1","+0.35","+1.81","0.44","TMO‑Non"
"ARI732_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ARI731_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ANA136_1","+42.69","TMO‑Non","TMO‑Non","UNK‑Non"
"ANA135_1","+1.01","TMO‑Non","2.85","UNK‑Non"
"ARI642_1","+0.36","TMO‑Non","0.70","TMO‑Non"
"ITP348_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ANA143_1.002.032","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ANA143_1.004.016","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ANA143_1.002.016","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP350_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ARI536_1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ANA143_1.008.128","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ARI536_2","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ANA143_1.008.064","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ANA143_1.004.032","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP349_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
