"metric","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"Solved/50","37/50","25/50","36/50","33/50"
"Av. WC Time","1.53","4.50","0.58","4.27"
"Av. CPU Time","8.41","24.55","1.72","4.06"
"Solutions/50","37/50","25/50","0/50","0/50"
"μWCEfficiency","710","228","687","529"
"μEfficiency","671","129","510","529"
"SotAC","0.21","0.01","-","0.12"
"Core Usage/> 1.0","4.32/5","2.52/22","4.16/15","0.00/0"
"Core U. ≤ 1.0","32","3","21","33"
"New Solved","0/0","0/0","0/0","0/0"
"Unique Solved","1/1","0/1","0/1","0/1"
