"problem","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"SWC537_1*","+0.57","+3.83","0.40","0.77"
"ARI708_1","+0.33","+1.86","0.41","0.43"
"SWW073_1","+0.96","+18.98","1.34","21.55"
"SWW077_1","+0.99","+20.01","1.56","21.69"
"SWW056_1","+1.78","+27.55","1.71","21.31"
"SWW594_2","+5.35","+15.86","TMO‑Non","18.79"
"ARI681_1","+0.33","+1.78","0.41","0.47"
"ARI696_1","+0.33","+1.81","2.53","0.44"
"ARI186_1","+0.32","+3.83","0.37","0.48"
"DAT043_1","+0.62","TMO‑Non","0.85","18.70"
"SWW615_2","+0.51","+2.33","0.54","18.73"
"SWW059_1","+0.97","+19.00","1.91","21.44"
"DAT050_1","+0.37","TMO‑Non","0.31","18.69"
"SWW576_2","+0.34","+2.31","0.47","43.46"
"SWW041_1","+0.91","+13.57","2.07","21.07"
"ARI056_1","+0.33","UNK‑Non","1.34","0.42"
"ARI603_1","+0.53","TMO‑Non","1.39","60.87"
"DAT094_1","+0.32","TMO‑Non","0.31","30.67"
"SWW081_1","1.32","+29.11","0.83","21.79"
"ITP414_1","+0.43","1.89","0.36","1.03"
"ITP390_1","+0.52","42.95","0.36","4.41"
"SWW042_1","+0.72","+22.00","0.74","21.24"
"SEV422_1","+0.37","+34.88","0.41","14.24"
"ARI656_1","+0.33","+6.77","0.40","0.61"
"SWW093_1","+0.76","+30.02","0.95","21.79"
"SWW625_2","+0.57","TMO‑Non","0.51","19.13"
"DAT077_1","+0.34","+1.81","0.31","0.53"
"SWW653_2","+0.32","+5.34","0.50","0.79"
"ARI661_1","+0.33","+1.78","0.40","0.53"
"NUM861_1","+1.10","TMO‑Non","6.13","45.15"
"HWV089_2","+1.11","+6.80","1.46","35.47"
"SWW057_1","+0.95","+8.92","1.03","21.72"
"SWW083_1","+0.97","+12.62","1.05","21.87"
"ARI660_1","+0.36","+1.80","0.48","0.49"
"SWW632_2","+0.36","+1.83","0.30","0.52"
"ARI643_1","+0.31","+1.80","0.53","0.48"
"SWW575_2","+0.38","TMO‑Non","0.63","18.98"
"ARI662_1","+0.35","+1.81","1.51","0.58"
"SWC545_1*","+0.48","+2.94","0.34","1.15"
"SWC542_1*","+0.47","+3.86","0.53","1.10"
"SWW652_2","+0.31","+1.82","0.38","0.57"
"ARI667_1","+0.33","+1.82","0.40","1.08"
"SWW598_2","+9.88","TMO‑Non","2.52","18.81"
"SWW654_2","+0.96","TMO‑Non","2.54","20.26"
"SWW604_2","+1.20","TMO‑Non","2.54","61.94"
"ARI686_1","+0.27","+1.83","0.42","TMO‑Non"
"SWC462_1","+0.52","TMO‑Non","0.92","26.81"
"SWC449_1","+0.69","TMO‑Non","2.14","0.64"
"SWC448_1","+0.49","+93.98","TMO‑Non","0.54"
"SWC536_1*","+0.50","+3.92","0.33","19.81"
"CSR311_1*","+0.87","TMO‑Non","2.25","43.21"
"HWV050_6","+14.55","TMO‑Non","13.45","TMO‑Non"
"HWV050_5","+7.59","+101.52","10.77","119.20"
"DAT104_1","+0.31","+1.80","0.40","61.32"
"ARI683_1","+0.31","+1.72","2.74","TMO‑Non"
"SWW578_2","+7.13","TMO‑Non","17.91","1.23"
"SWC434_1","+0.62","TMO‑Non","TMO‑Non","1.16"
"SWW663_2","TMO‑Non","TMO‑Non","TMO‑Non","0.74"
"DAT086_1","+0.44","TMO‑Non","0.66","27.06"
"ARI598_1","TMO‑Non","TMO‑Non","TMO‑Non","42.55"
"SWW665_2","+71.74","TMO‑Non","1.16","65.57"
"ARI655_1","+0.32","+1.88","0.62","1.14"
"SWW587_2","+0.92","TMO‑Non","2.10","19.19"
"ARI645_1","+0.44","+1.80","0.38","43.37"
"SWW593_2","+4.04","TMO‑Non","16.55","19.00"
"SWW585_2","+0.76","TMO‑Non","TMO‑Non","32.31"
"ITP297_1","+0.76","3.40","0.89","19.44"
"ITP357_1","+0.67","15.04","0.87","1.06"
"ITP405_1","+5.58","7.49","107.02","77.92"
"SWW667_2","89.99","TMO‑Non","TMO‑Non","20.49"
"HWV047_5","59.83","TMO‑Non","21.43","TMO‑Non"
"SWW586_2","+1.15","TMO‑Non","1.05","45.51"
"HWV045_5","+14.46","+112.96","11.74","TMO‑Non"
"ITP347_1","+1.27","TMO‑Non","15.86","15.24"
"SWW609_2","+0.49","TMO‑Non","3.44","0.88"
"SWC435_1","+0.79","TMO‑Non","2.55","UNK‑Non"
"HWV111_2","+12.72","TMO‑Non","91.85","TMO‑Non"
"SWW661_2","+0.90","+1.60","0.36","TMO‑Non"
"ITP359_1","+0.86","TMO‑Non","1.16","0.94"
"SWW658_2","+4.54","TMO‑Non","1.05","61.43"
"ARI763_1*","+0.35","TMO‑Non","0.39","UNK‑Non"
"ITP378_1","+1.14","TMO‑Non","TMO‑Non","81.03"
"SWW655_2","+67.40","TMO‑Non","6.47","69.86"
"ITP375_1","3.39","68.58","2.72","TMO‑Non"
"SWW617_2","+0.93","TMO‑Non","0.83","TMO‑Non"
"SWW603_2","+3.36","TMO‑Non","20.73","TMO‑Non"
"SWW637_2","+0.43","+2.86","0.49","TMO‑Non"
"SWW611_2","+31.68","TMO‑Non","27.83","TMO‑Non"
"SWW649_2","+4.16","TMO‑Non","0.66","TMO‑Non"
"ITP319_1","+1.55","TMO‑Non","1.83","TMO‑Non"
"CSR001_1*","TMO‑Non","TMO‑Non","14.09","UNK‑Non"
"HWV126_2","+11.61","TMO‑Non","28.83","TMO‑Non"
"ARI693_1","TMO‑Non","TMO‑Non","TMO‑Non","35.81"
"ITP361_1","+2.18","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO522_1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP331_1","+1.28","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV125_2","+12.50","TMO‑Non","23.64","TMO‑Non"
"HWV124_2","+12.73","TMO‑Non","16.24","TMO‑Non"
"ARI694_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV128_2","+17.24","TMO‑Non","24.55","TMO‑Non"
