"metric","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"Solved/100","94/100","49/100","87/100","75/100"
"Av. WC Time","5.53","15.83","6.29","21.74"
"Av. CPU Time","35.38","113.24","38.42","21.53"
"Solutions/100","90/100","43/100","0/100","0/100"
"μWCEfficiency","687","129","545","259"
"μEfficiency","416","65","337","289"
"SotAC","0.39","0.04","-","0.20"
"Core Usage/> 1.0","4.68/67","4.87/46","4.94/65","0.00/0"
"Core U. ≤ 1.0","27","3","22","75"
"New Solved","6/7","4/7","7/7","5/7"
"Unique Solved","2/6","0/6","1/6","3/6"
