"metric","Vampire 5.0","iProver 3.9.3","iProver 3.9","cvc5 1.3.0"
"Solved/150","110/150","86/150","84/150","56/150"
"Av. WC Time","1.31","22.96","21.49","28.49"
"Av. CPU Time","6.98","172.00","158.71","28.30"
"Solutions/150","110/150","86/150","84/150","56/150"
"μWCEfficiency","588","159","193","193"
"μEfficiency","364","158","238","197"
"SotAC","0.25","0.10","0.09","0.05"
"Core Usage/> 1.0","4.76/71","5.78/60","6.33/52","0.00/0"
"Core U. ≤ 1.0","39","26","32","56"
"New Solved","1/2","1/2","1/2","1/2"
"Unique Solved","14/14","0/14","0/14","0/14"
