"problem","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"SEV091^5","+0.27","+0.39","+1.44","0.24","0.63","1.03"
"SYN386^5","+0.28","+0.33","+1.49","0.26","0.64","TMO‑Non"
"SYO180^5","+0.25","TMO‑Non","+1.51","0.26","0.67","0.45"
"SYO527^1","+0.27","+0.38","+1.44","0.25","0.62","3.82"
"SYN036^5","+0.29","+0.50","+3.43","0.28","0.77","1.00"
"PUZ031^5","+0.35","+0.39","+1.70","0.32","0.79","0.51"
"SEV148^5","+0.74","TMO‑Non","TMO‑Non","0.51","7.09","0.94"
"SYO388^5","+0.31","+0.39","+1.89","0.26","0.86","157.02"
"SYO262^5","+0.27","+0.38","+1.49","0.27","0.62","UNK‑Non"
"SYO272^5","+0.29","+0.36","TMO‑Non","0.30","0.99","0.45"
"SYO391^5","+0.32","+0.41","+1.74","0.48","1.12","155.95"
"PUZ094^5","+0.32","+0.38","+1.66","0.26","0.80","0.47"
"SEV164^5","+0.27","+0.38","+1.88","0.25","0.61","0.89"
"SYO364^5","+0.26","+0.32","+2.37","0.28","0.68","UNK‑Non"
"MSC020^5","+0.29","+0.40","TMO‑Non","0.28","0.91","1.29"
"NUM791^1","+0.26","+0.37","+1.53","0.26","0.63","0.42"
"SYN996^1","+0.27","+0.37","+1.65","0.26","0.63","UNK‑Non"
"SYO179^5","+0.32","+0.43","+1.67","0.30","1.30","0.51"
"NUM753^1","+0.27","+0.40","+1.46","0.26","0.62","122.32"
"SYO317^5","+0.27","+0.40","+126.28","0.27","0.73","134.78"
"SEV052^5","+0.27","+0.38","+1.47","0.28","1.05","0.74"
"SYO169^5","+0.29","+0.37","+1.58","0.29","0.82","4.83"
"SEV246^6","+1.42","0.40","TMO‑Non","1.41","6.87","1.39"
"SEV218^5","+0.25","+0.38","+1.47","0.28","0.90","0.84"
"SYO374^5","+0.26","+0.38","+1.62","0.24","0.72","0.49"
"SEV382^5","+0.29","+0.65","+2.14","0.28","1.13","UNK‑Non"
"SYO324^5","+0.40","0.39","TMO‑Non","0.36","2.30","0.71"
"PUZ047^5","+0.28","+0.38","+1.69","0.28","0.65","0.54"
"SEV082^5","+0.27","+0.39","+1.51","0.27","0.97","0.74"
"LCL727^5","+0.42","+0.37","+2.75","0.26","0.66","1.03"
"SEV083^5","+0.26","+0.41","+1.58","0.26","1.97","0.69"
