"metric","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"Solved/100","87/100","68/100","52/100","88/100","80/100","58/100"
"Av. WC Time","2.88","2.73","8.18","5.86","11.05","28.25"
"Av. CPU Time","17.01","18.62","21.29","38.99","82.38","28.07"
"Solutions/100","85/100","64/100","52/100","0/100","0/100","0/100"
"μWCEfficiency","724","617","190","711","452","345"
"μEfficiency","584","568","108","594","362","372"
"SotAC","0.27","0.17","0.06","-","0.20","0.09"
"Core Usage/> 1.0","5.10/35","4.56/18","2.36/52","5.05/35","6.21/49","0.00/0"
"Core U. ≤ 1.0","52","50","0","53","31","58"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","0/5","4/5","0/5","1/5","0/5","0/5"
