"problem","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"GRP123‑8.004","+0.31","+1.73","3.43","+0.96","0.34","0.49"
"HWV092‑1","+14.84","+19.04","+14.10","+16.66","+3.97","TMO‑Non"
"NLP120‑1","+0.29","+1.68","2.67","+0.35","0.22","0.38"
"SYN837‑1","+1.32","+5.99","+6.07","+0.90","+13.95","TMO‑Non"
"SYN059‑1","+0.32","+1.83","3.55","+0.33","0.23","0.38"
"HWV090‑1","+1.94","+3.88","+9.13","+2.18","+0.99","94.56"
"SYN838‑1","+2.55","+17.30","13.87","+3.65","TMO‑Non","TMO‑Non"
"SYN865‑1","+3.23","+17.03","+9.50","+2.15","+81.06","TMO‑Non"
"SYN515‑1","+0.32","+1.72","3.72","+0.37","0.25","0.43"
"SYN866‑1","+2.34","+9.83","+15.38","+1.84","TMO‑Non","TMO‑Non"
"NLP126‑1","+0.32","+1.82","2.34","+0.34","0.23","1.05"
"HWV094‑1","+7.71","+9.98","+14.44","+4.80","+1.84","TMO‑Non"
"GRP124‑4.005","+0.31","+1.88","TMO‑Non","TMO‑Non","1.26","0.42"
"SYN846‑1","+1.41","+4.13","+4.67","+0.88","+17.74","TMO‑Non"
"NLP118‑1","+0.31","+1.70","2.55","+0.35","0.22","0.48"
"HWV045‑1","+6.02","+42.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN867‑1","+0.36","+1.82","2.23","+119.95","0.46","28.07"
"SWV419‑1.010","+1.03","+3.31","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN438‑1","+0.32","+1.73","TMO‑Non","TMO‑Non","16.26","TMO‑Non"
"SYN862‑1","+2.43","+15.43","+14.94","+1.91","+99.48","TMO‑Non"
"SYN812‑1","+5.60","+19.58","13.48","119.97","TMO‑Non","TMO‑Non"
"SWV423‑1.010","+1.58","+5.84","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN441‑1","+0.32","+2.31","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN861‑1","+3.70","+11.47","+8.25","+1.86","+117.72","TMO‑Non"
"SYN816‑1","+5.85","+10.25","13.04","119.95","TMO‑Non","TMO‑Non"
"SWV421‑1.200","+13.23","+12.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP125‑4.004","+0.31","+1.84","2.48","+0.97","0.28","0.44"
"SWV421‑1.205","+30.94","+10.79","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP123‑1","+0.32","+1.73","2.13","+0.37","0.22","0.39"
"HWV089‑1","+0.54","+2.47","+2.80","+0.55","+0.31","0.99"
"SYN514‑1","+0.32","+1.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV418‑1.300","+2.18","+8.39","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN317‑1","+0.29","+1.66","2.16","+0.34","0.23","0.42"
"SYN885‑1","+0.80","+2.23","+2.47","+119.92","+1.49","TMO‑Non"
"GRP126‑2.005","+0.33","+1.76","4.48","+3.66","0.39","0.45"
"PUZ037‑3","+2.04","+1.84","+4.71","+16.60","+3.49","6.44"
"SYN322‑1","+0.31","+1.82","2.55","+55.37","0.22","0.39"
"PUZ036‑1.005","+0.46","+1.68","+2.37","+0.46","+0.26","0.55"
"SYN307‑1","+0.30","+1.70","TMO‑Non","TMO‑Non","TMO‑Non","0.37"
"PUZ008‑2","+0.33","+1.76","+2.25","+0.37","+0.22","0.40"
"SYN528‑1","+0.30","+1.79","2.47","+0.42","0.25","0.50"
"LAT261‑2","+0.31","+1.78","+2.21","+0.50","+0.20","0.39"
"NLP042‑1","+0.29","+1.83","2.24","+0.41","0.24","1.17"
"PLA031‑1.007","+9.18","+96.79","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN494‑1","+0.29","+1.80","2.55","+0.37","0.25","0.43"
"SET856‑2","+0.33","+1.79","+2.32","+0.38","+0.22","0.40"
"NLP121‑1","+0.31","+1.81","2.52","+0.37","0.24","0.52"
"LAT264‑2","+0.31","+1.81","+2.54","+0.31","+0.22","0.39"
"NLP125‑1","+0.32","+1.80","2.57","+61.56","0.22","0.62"
"LAT265‑2","+0.29","+1.75","+2.38","+0.33","+0.23","0.40"
"GRP128‑3.004","+0.32","+1.73","5.67","+0.57","1.09","0.42"
"MSC015‑1.022","+1.06","TMO‑Non","+2.22","+0.67","+15.28","TMO‑Non"
"SYN868‑1","+0.40","+1.81","2.95","+0.41","0.45","0.57"
"PUZ037‑2","+0.50","+1.72","+2.71","+0.45","+0.72","0.50"
"GRP132‑1.005","+0.71","+2.20","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LAT260‑2","+0.33","+1.84","+2.36","+0.39","+0.23","0.43"
"SYN530‑1","+0.32","+1.86","2.25","+0.41","0.24","0.44"
"HWV039‑1","+5.71","+43.88","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN817‑1","+2.72","+10.69","13.17","119.98","TMO‑Non","TMO‑Non"
"SWV418‑1.500","+5.87","+17.29","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP124‑3.005","+0.34","+1.80","TMO‑Non","TMO‑Non","26.49","0.75"
"SWV419‑1.020","+4.20","+6.78","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN446‑1","+0.34","+1.85","24.53","+16.76","TMO‑Non","TMO‑Non"
"HWV058‑1","+2.41","+10.76","+23.00","+2.55","+15.27","TMO‑Non"
"GRP129‑4.005","+0.31","+2.28","TMO‑Non","TMO‑Non","31.54","0.43"
"SYO594‑1","+0.93","+4.10","+5.57","+11.49","+28.38","TMO‑Non"
"SYN815‑1","+4.07","+10.06","15.49","119.94","TMO‑Non","TMO‑Non"
"SYO591‑1","+1.10","+7.62","+6.83","+54.53","TMO‑Non","TMO‑Non"
"GRP123‑4.004","+0.38","+1.74","2.74","+1.05","0.33","0.50"
"HWV078‑1","+0.98","+29.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP008‑1","+0.32","+1.71","2.75","+0.38","0.25","7.64"
"HWV046‑1","+4.50","+49.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN490‑1","+0.33","+1.78","2.69","+0.39","0.24","0.37"
"SYO588‑1","+0.70","+15.78","+29.80","+89.11","+20.45","TMO‑Non"
"NLP006‑1","+0.30","+1.79","2.46","+0.38","0.26","5.83"
"SYO592‑1","+1.38","+10.13","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN840‑1","+4.29","+22.34","27.46","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV044‑1","+5.43","+25.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN835‑1","+0.62","+3.47","3.11","+0.65","2.59","TMO‑Non"
"HWV041‑1","+3.48","+45.31","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN818‑1","+16.47","+18.43","18.05","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV423‑1.020","+3.04","+11.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN830‑1","+6.54","+24.88","13.16","120.00","TMO‑Non","TMO‑Non"
"HWV057‑1","+2.34","+14.81","+26.32","+2.77","+19.83","TMO‑Non"
"PUZ028‑4","+0.33","+1.74","3.89","+0.39","0.23","0.39"
"HWV043‑2","+6.40","+43.83","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP124‑1","+0.30","+1.67","2.59","+0.30","0.23","0.49"
"SWV418‑1.580","+9.07","+28.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN841‑1","+6.72","+19.84","25.69","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV047‑1","+4.54","+52.78","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP116‑1","+0.30","+1.75","2.73","+0.51","0.22","0.46"
"HWV051‑1","+6.48","+29.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP012‑1","+0.32","+1.73","2.35","+0.33","0.26","13.73"
"SWV421‑1.300","+14.99","+28.81","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ028‑2","+0.31","+1.79","2.35","+119.95","0.23","0.38"
"MSC024‑1","+0.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ001‑3","+0.30","+1.67","2.16","+0.38","0.24","0.43"
"HWV046‑2","+6.52","+69.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP115‑1","+0.30","+1.79","2.55","+0.38","0.23","0.44"
"HWV039‑2","+3.55","+44.83","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN720‑1","+0.34","+1.74","2.33","+0.59","0.37","2.70"
"HWV041‑2","+5.97","+35.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN828‑1","+2.77","+10.58","11.53","119.99","83.16","TMO‑Non"
"SYO597‑1","+4.42","+93.83","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP128‑4.004","+0.33","+1.81","2.73","+1.82","0.59","0.36"
"HWV047‑2","+7.79","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN529‑1","+0.31","+1.72","2.86","+0.50","0.24","0.45"
"HWV111‑1","+5.01","+21.08","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ028‑3","+0.34","+1.75","2.33","+0.41","0.22","0.47"
"PLA037‑1","+27.47","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN056‑1","+0.33","+1.75","2.47","+0.81","0.23","0.37"
"HWV107‑1","+2.49","+18.73","+23.29","+58.99","+55.62","TMO‑Non"
"GRP123‑6.005","+0.31","+1.75","TMO‑Non","TMO‑Non","0.68","TMO‑Non"
"SWV420‑1.020","+8.89","+11.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ028‑1","+0.36","+1.79","2.22","+0.37","0.21","0.40"
"SWV420‑1.030","+20.52","+16.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN888‑1","+0.44","+2.67","3.16","+119.93","5.51","TMO‑Non"
"HWV083‑1","+9.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP129‑3.005","+0.34","+1.68","82.43","+7.03","TMO‑Non","29.50"
"HWV087‑1","+4.11","+21.98","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP130‑3.004","+0.31","+1.72","9.73","+0.39","1.76","0.44"
"PLA039‑1","+80.93","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN422‑1","+0.32","+1.83","58.37","+9.03","TMO‑Non","68.26"
"HWV064‑1","+4.91","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN527‑1","+0.32","+1.77","2.69","+0.38","0.22","0.45"
"SWV419‑1.030","+16.03","+8.27","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ018‑2","+0.31","+1.80","8.53","+0.35","TMO‑Non","TMO‑Non"
"SWV422‑1.305","+25.84","+11.38","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN853‑1","+5.06","+20.82","22.11","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV044‑2","+3.99","+43.28","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP126‑4.005","+0.36","+2.32","TMO‑Non","TMO‑Non","0.41","0.49"
"HWV065‑1","+2.22","+77.04","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP125‑3.004","+0.33","+1.76","3.13","+0.44","0.43","0.45"
"MSC015‑1.025","+0.59","TMO‑Non","+2.79","+0.79","TMO‑Non","TMO‑Non"
"GRP125‑2.004","+0.30","+1.61","2.22","+0.40","0.28","0.45"
"MSC015‑1.030","+0.74","TMO‑Non","+3.31","+1.50","TMO‑Non","TMO‑Non"
"HWC004‑1","+0.33","UNK‑Non","2.36","+0.36","0.22","GUP‑Non"
"PUZ056‑2.015","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN826‑1","+2.73","+34.07","21.01","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA031‑1.008","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP124‑9.005","+0.34","+1.70","TMO‑Non","TMO‑Non","0.92","0.66"
"SWV418‑1.820","+9.97","+34.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP127‑1","+0.32","+1.75","2.43","+0.39","0.21","0.43"
"SWV418‑1.900","+64.17","+33.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP023‑1","+0.30","+1.80","2.46","+0.39","0.26","1.71"
"SWV419‑1.035","+18.51","+26.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"NLP024‑1","+0.32","+1.69","2.56","+0.41","0.25","0.55"
"SWV422‑1.300","+20.98","+24.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"MGT066‑1","+0.31","+1.85","1.92","TMO‑Non","TMO‑Non","0.42"
"HWV060‑1","+16.56","+53.43","+63.52","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV063‑1","+14.51","+46.72","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.360","+61.96","+34.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA045‑1","+6.52","+13.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV420‑1.035","+15.81","+29.88","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV082‑1","+3.70","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYN914‑1","+0.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA038‑1","+3.02","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.460","+72.66","+49.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO593‑1","+0.82","+5.79","37.44","+27.78","TMO‑Non","TMO‑Non"
"SWV420‑1.045","+38.42","+38.33","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV042‑1","+9.80","+46.27","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.505","+38.60","+71.28","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV048‑1","+9.89","+34.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.400","+36.83","+31.39","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV042‑2","+6.72","+51.33","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV103‑1","+9.06","+88.10","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV053‑1","+6.49","TMO‑Non","79.71","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.400","+103.51","+54.78","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV049‑1","+110.64","+59.37","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.405","+40.02","+40.77","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV048‑2","+9.70","+44.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.505","+10.74","+70.91","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV077‑1","+1.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV419‑1.040","+21.44","+38.33","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"KRS281‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV126‑1","+27.09","+52.57","+23.29","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO590‑1","+29.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.365","+22.68","+34.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV049‑2","+17.20","+62.36","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.405","+33.81","+39.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"KRS291‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PLA042‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"PUZ052‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.365","+6.70","+34.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO585‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV127‑1","+14.63","+53.20","+24.74","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV075‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.465","+33.41","+56.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"MSC008‑1.010","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV104‑1","+7.99","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"KRS279‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV421‑1.500","+52.14","+45.41","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV085‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV081‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO586‑1","+106.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SYO589‑1","+5.16","+60.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV086‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV422‑1.500","+63.67","+57.76","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"HWV080‑1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWV420‑1.040","+20.97","+32.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
