"metric","Vampire 5.0","iProver 3.9.3","CSI_Enigma 1.0.6","E 3.3.0","Drodi‑EPR 4.1.0","SPASS‑SCL 0.1"
"Solved/200","186/200","168/200","98/200","88/200","80/200","64/200"
"Av. WC Time","9.29","18.65","10.17","19.10","8.53","4.45"
"Av. CPU Time","57.04","112.08","50.82","27.55","64.07","20.29"
"Solutions/200","186/200","168/200","32/200","82/200","25/200","0/200"
"μWCEfficiency","494","202","110","294","300","272"
"μEfficiency","393","140","40","262","269","254"
"SotAC","0.50","0.41","0.09","0.06","0.04","0.02"
"Core Usage/> 1.0","5.58/117","4.54/142","3.67/98","3.52/35","6.78/27","3.22/21"
"Core U. ≤ 1.0","69","26","0","53","53","43"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","13/13","0/13","0/13","0/13","0/13","0/13"
