"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"PRO010+3","+0.28","+0.39","+1.82","1.50","0.22","+1.61","+0.41","UNK‑Non","0.37","2.30","161.33","0.73","1.10","GUP‑Non","GUP‑Non"
"KRS203+1","+0.38","+153.40","+1.79","+1.63","+0.25","+0.76","TMO‑Non","TMO‑Non","0.28","2.35","160.35","0.68","1.18","112.07","GUP‑Non"
"SWB028+2","+0.37","+0.38","+2.31","+1.61","+0.30","TMO‑Non","TMO‑Non","UNK‑Non","0.38","2.50","0.47","0.76","1.03","GUP‑Non","GUP‑Non"
"CSR057+2","+0.33","+0.39","+1.85","+1.78","+0.26","+24.57","+1.23","UNK‑Non","0.29","2.84","8.42","0.78","TMO‑Non","TMO‑Non","GUP‑Non"
"MGT054+1","+0.35","+0.33","1.77","+1.60","0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.25","0.49","0.70","0.98","GUP‑Non","GUP‑Non"
"MED007+1","+0.35","+39.38","+1.86","+55.04","3.27","+25.99","TMO‑Non","UNK‑Non","0.38","19.79","0.59","153.86","TMO‑Non","0.54","GUP‑Non"
"SWV408+2","+0.29","+0.45","+1.80","+1.72","+0.24","+65.16","TMO‑Non","TMO‑Non","0.31","2.25","0.49","0.73","0.94","GUP‑Non","GUP‑Non"
"KRS258+1","+0.31","+0.38","+1.80","1.50","+0.32","+0.76","TMO‑Non","TMO‑Non","0.25","2.47","21.45","0.71","1.07","179.56","GUP‑Non"
"NUM839+2","+0.33","+0.43","1.76","1.50","+0.23","+4.28","2.66","UNK‑Non","0.32","2.23","0.46","0.87","UNK‑Non","GUP‑Non","GUP‑Non"
"MED009+1","+0.36","+22.07","+1.85","+51.66","15.18","+29.35","TMO‑Non","UNK‑Non","0.39","13.23","0.55","UNK‑Non","TMO‑Non","0.57","GUP‑Non"
"SWW478+7","+0.99","+1.11","+7.78","+16.76","+1.18","+31.17","+0.83","UNK‑Non","2.14","5.94","3.65","2.63","15.61","GUP‑Non","GUP‑Non"
"GEO259+1","+0.34","+0.45","+1.80","+1.71","+0.32","+3.60","+8.09","UNK‑Non","0.57","2.36","7.18","4.97","0.91","0.42","GUP‑Non"
"MSC010+1","+0.31","+1.37","1.80","+1.64","0.24","TMO‑Non","TMO‑Non","+1.15","0.31","2.59","0.50","1.05","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN087+1","+0.32","+0.61","+1.82","+7.78","1.76","+98.34","+48.43","UNK‑Non","0.31","3.08","171.62","1.08","0.91","44.09","GUP‑Non"
"ALG210+2","+0.46","+0.35","1.79","+1.62","+0.46","TMO‑Non","TMO‑Non","GUP‑Non","0.36","2.38","0.47","1.06","1.07","GUP‑Non","GUP‑Non"
