"metric","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"Solved/500","455/500","364/500","367/500","295/500","325/500","102/500","88/500","3/500","466/500","402/500","290/500","267/500","119/500","11/500","0/500"
"Av. WC Time","6.57","19.24","28.58","26.90","21.21","67.31","21.28","10.56","5.73","19.43","29.34","12.90","32.29","50.69","-"
"Av. CPU Time","41.27","122.25","208.80","57.82","163.23","67.11","160.88","16.73","34.81","133.75","29.17","82.86","31.99","251.20","-"
"Solutions/500","455/500","364/500","278/500","244/500","210/500","102/500","75/500","3/500","0/500","0/500","0/500","0/500","0/500","0/500","0/500"
"μWCEfficiency","673","443","187","147","371","39","98","2","681","166","266","249","72","7","-"
"μEfficiency","498","327","76","141","273","39","63","1","525","55","275","185","95","6","-"
"SotAC","0.48","0.33","0.34","0.24","0.28","0.06","0.06","0.00","-","0.39","0.26","0.21","0.09","0.01","-"
"Core Usage/> 1.0","4.43/272","4.88/257","4.63/366","1.63/213","6.42/211","0.00/0","5.73/65","1.87/3","4.59/261","4.39/402","1.02/1","5.35/190","1.00/1","4.20/10","-"
"Core U. ≤ 1.0","183","107","1","82","114","102","23","0","205","0","289","77","118","1","0"
"New Solved","33/43","16/43","20/43","13/43","21/43","1/43","1/43","0/43","30/43","30/43","16/43","6/43","8/43","0/43","0/43"
"Unique Solved","3/17","0/17","0/17","0/17","0/17","0/17","0/17","0/17","8/17","1/17","5/17","0/17","0/17","0/17","0/17"
