"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","Drodi 4.1.0","CSE_E 1.7","ConnectPP 0.6.1","Vampire 4.9","CSI_Enigma 1.0.6"
"CPP001+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE001+1","+289.44","+62.01","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.23","425.35"
"CSI001+1","+3.52","+5.56","+8.96","TMO‑Non","TMO‑Non","TMO‑Non","1.33","6.66"
"DRO001+1","+35.45","+20.97","+11.85","+2.88","TMO‑Non","TMO‑Non","8.67","399.09"
"EEE001+1","+0.46","+479.96","1.85","+0.58","+2.26","TMO‑Non","0.40","3.72"
"IPR001+1","TMO‑Non","TMO‑Non","+200.02","TMO‑Non","TMO‑Non","TMO‑Non","1.33","TMO‑Non"
"VAM001+1","+1.09","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","34.68","TMO‑Non"
"VVA001+1","+69.40","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.67","TMO‑Non"
"CPP002+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE002+1","TMO‑Non","+68.29","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","56.02","123.96"
"CSI002+1","+2.80","+4.15","+3.22","TMO‑Non","+158.93","TMO‑Non","1.12","12.58"
"DRO002+1","+1.12","TMO‑Non","TMO‑Non","+2.00","TMO‑Non","TMO‑Non","0.66","443.76"
"EEE002+1","TMO‑Non","+31.33","+148.57","+167.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"IPR002+1","+361.35","TMO‑Non","135.10","TMO‑Non","TMO‑Non","TMO‑Non","18.77","UNK‑Non"
"VAM002+1","+1.11","TMO‑Non","+177.19","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"VVA002+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","9.31","TMO‑Non"
"CPP003+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE003+1","TMO‑Non","+87.67","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","41.60"
"CSI003+1","+4.12","+3.15","+5.35","5.89","+119.91","TMO‑Non","1.17","8.06"
"DRO003+1","+0.80","TMO‑Non","15.61","+6.06","TMO‑Non","TMO‑Non","2.01","146.50"
