"metric","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"Solved/1000","441/1000","434/1000","429/1000","294/1000","38/1000"
"Av. WC Time","1.95","1.94","2.67","2.98","3.28"
"Av. CPU Time","1.71","1.75","2.43","2.80","9.05"
"Solutions/1000","441/1000","434/1000","429/1000","0/1000","0/1000"
"μWCEfficiency","332","339","263","125","4"
"μEfficiency","311","317","238","117","11"
"SotAC","-","0.16","0.16","0.09","0.01"
"Core Usage/> 1.0","1.01/8","1.01/17","0.00/0","0.00/0","2.76/38"
"Core U. ≤ 1.0","433","417","429","294","0"
"New Solved","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","7/61","4/61","36/61","13/61","1/61"
