"problem","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"ARI519_1","+0.38","+1.75","0.30","0.42"
"SWC537_1*","+0.57","+3.83","0.40","0.77"
"ARI632_1","+0.43","+2.81","0.36","18.46"
"ARI708_1","+0.33","+1.86","0.41","0.43"
"ARI743_1","+0.32","+1.66","0.30","0.49"
"SWW073_1","+0.96","+18.98","1.34","21.55"
"ARI730_1","+0.33","+1.82","0.66","0.45"
"SWW077_1","+0.99","+20.01","1.56","21.69"
"ARI619_3","+0.31","TMO‑Non","0.86","0.49"
"SWW056_1","+1.78","+27.55","1.71","21.31"
"ARI726_1","+0.32","TMO‑Non","0.77","0.44"
"SWW594_2","+5.35","+15.86","TMO‑Non","18.79"
"ARI716_1","+0.50","+1.80","0.39","0.44"
"ARI681_1","+0.33","+1.78","0.41","0.47"
"ARI720_1","+0.34","+1.79","0.30","0.44"
"ARI696_1","+0.33","+1.81","2.53","0.44"
"ARI488_1","+0.33","TMO‑Non","0.64","0.42"
"ARI186_1","+0.32","+3.83","0.37","0.48"
"ARI721_1","+0.32","+1.81","0.31","0.42"
"DAT043_1","+0.62","TMO‑Non","0.85","18.70"
"ARI400_1","+0.31","UNK‑Non","0.77","0.42"
"SWW615_2","+0.51","+2.33","0.54","18.73"
"ARI727_1","+0.33","+1.83","0.37","0.44"
"SWW059_1","+0.97","+19.00","1.91","21.44"
"ARI621_3","+0.53","TMO‑Non","0.78","0.47"
"DAT050_1","+0.37","TMO‑Non","0.31","18.69"
"ARI725_1","+0.34","TMO‑Non","1.05","0.44"
"SWW576_2","+0.34","+2.31","0.47","43.46"
"ARI744_1","+0.31","+1.69","0.31","24.75"
"SWW041_1","+0.91","+13.57","2.07","21.07"
"ARI729_1","+0.25","+1.81","0.37","0.43"
"ARI056_1","+0.33","UNK‑Non","1.34","0.42"
"ARI715_1","+0.36","+1.79","0.44","0.42"
"ARI603_1","+0.53","TMO‑Non","1.39","60.87"
"ARI722_1","+0.29","+1.78","0.55","0.42"
"DAT094_1","+0.32","TMO‑Non","0.31","30.67"
"ARI713_1","+0.34","+1.79","0.38","0.43"
"SWW081_1","1.32","+29.11","0.83","21.79"
"ARI714_1","+0.33","+1.78","0.36","0.45"
"ITP414_1","+0.43","1.89","0.36","1.03"
"ARI637_1","+0.34","+1.75","1.02","24.61"
"ITP390_1","+0.52","42.95","0.36","4.41"
"ARI630_1","+0.33","+1.84","0.40","0.65"
"SWW042_1","+0.72","+22.00","0.74","21.24"
"ARI733_1","+0.32","TMO‑Non","0.70","0.43"
"SEV422_1","+0.37","+34.88","0.41","14.24"
"ARI634_1","+0.32","TMO‑Non","0.38","18.51"
"ARI656_1","+0.33","+6.77","0.40","0.61"
"ARI718_1","+0.34","TMO‑Non","0.68","0.42"
"SWW093_1","+0.76","+30.02","0.95","21.79"
"ARI635_1","+0.35","+27.78","0.45","18.48"
"SWW625_2","+0.57","TMO‑Non","0.51","19.13"
"ARI738_1","+0.35","+1.82","0.41","0.43"
"DAT077_1","+0.34","+1.81","0.31","0.53"
"ARI639_1","+0.33","+1.82","0.39","0.51"
"SWW653_2","+0.32","+5.34","0.50","0.79"
"ARI724_1","+0.83","+1.80","0.52","0.43"
"ARI661_1","+0.33","+1.78","0.40","0.53"
"ARI628_1","+0.34","+1.80","0.42","0.64"
"NUM861_1","+1.10","TMO‑Non","6.13","45.15"
"ARI631_1","+0.35","+1.87","0.37","5.66"
"HWV089_2","+1.11","+6.80","1.46","35.47"
"ARI629_1","+0.34","+1.81","0.45","0.48"
"SWW057_1","+0.95","+8.92","1.03","21.72"
"ARI636_1","+0.56","+42.39","0.42","18.47"
"SWW083_1","+0.97","+12.62","1.05","21.87"
"ARI641_1","+0.35","+1.81","0.44","TMO‑Non"
"ARI660_1","+0.36","+1.80","0.48","0.49"
"ARI732_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SWW632_2","+0.36","+1.83","0.30","0.52"
"ARI731_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ARI643_1","+0.31","+1.80","0.53","0.48"
"ANA136_1","+42.69","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW575_2","+0.38","TMO‑Non","0.63","18.98"
"ANA135_1","+1.01","TMO‑Non","2.85","UNK‑Non"
"ARI662_1","+0.35","+1.81","1.51","0.58"
"ARI642_1","+0.36","TMO‑Non","0.70","TMO‑Non"
"SWC545_1*","+0.48","+2.94","0.34","1.15"
"ITP348_1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
