"metric","Vampire 5.0","iProver 3.9.3","Vampire 4.9","cvc5 1.3.0"
"Solved/150","131/150","74/150","123/150","108/150"
"Av. WC Time","4.40","12.00","4.62","16.40"
"Av. CPU Time","27.76","83.28","27.67","16.19"
"Solutions/150","127/150","68/150","0/150","0/150"
"μWCEfficiency","695","162","592","349"
"μEfficiency","501","86","394","369"
"SotAC","0.33","0.03","-","0.18"
"Core Usage/> 1.0","4.66/72","4.11/68","4.80/80","0.00/0"
"Core U. ≤ 1.0","59","6","43","108"
"New Solved","6/7","4/7","7/7","5/7"
"Unique Solved","3/7","0/7","1/7","3/7"
