"problem","Vampire 5.0","iProver 3.9.3","iProver 3.9","cvc5 1.3.0"
"SWW971_15","+0.31","+1.75","+1.02","+0.47"
"SYO910_13","+0.32","+1.75","+1.07","+0.44"
"ITP383_10","+3.44","+1.74","+1.04","+56.91"
"LCL970_15","+0.32","+1.75","+1.45","+19.80"
"PUZ134_20","+0.32","+1.81","+1.02","+0.89"
"LCL968_3","+3.19","+63.37","TMO‑Non","UNK‑Non"
"LCL948_10","+0.54","+18.77","+20.51","UNK‑Non"
"HWV110_10","+1.86","+18.31","+16.29","UNK‑Non"
"PLA053_15","+0.29","+1.78","+1.04","+54.80"
"SYO915_14","+0.33","+1.80","+1.00","+0.55"
"ITP302_10","+3.13","+1.73","+1.14","UNK‑Non"
"HWV039_10","+0.62","+46.91","+29.58","UNK‑Non"
"HWV051_10","+0.62","+17.75","+23.09","UNK‑Non"
"LCL969_9","+0.29","+1.81","+1.01","+0.54"
"LCL963_3","+0.40","+2.28","+2.54","+72.44"
"HWV045_10","+0.60","+45.80","+55.19","UNK‑Non"
"PUZ031_10","+0.32","+1.81","+1.04","+0.62"
"ITP384_10","+0.61","+1.81","+1.16","+56.43"
"PUZ135_20","+0.30","+1.73","+1.01","+0.49"
"SWB109_3","+0.30","+1.78","+1.01","+54.69"
"GEO001_10","+0.31","+1.77","+1.05","+0.43"
"PUZ135_10","+0.33","+1.78","+1.04","+0.52"
"HWV050_10","+0.61","+21.73","+29.61","UNK‑Non"
"SWW971_5","+0.28","+1.78","+1.01","+0.43"
"SYO906_7","+0.30","+1.80","+1.05","+0.45"
"HWV093_10","+0.65","+27.23","+20.66","+78.94"
"COM002_10","+0.32","+1.74","+1.11","+0.44"
"HWV087_10","+0.75","+26.77","+16.69","UNK‑Non"
"SYO907_15","+0.30","+1.77","+0.98","+0.43"
"SYO908_13","+0.30","+1.73","+1.02","+0.44"
"SWW469_10","+0.31","+1.79","+1.02","+0.42"
"COM002_20","+0.32","+1.82","+0.97","+0.59"
"COM003_10","+0.30","+1.73","+1.00","+19.06"
"LCL964_3","+0.40","+2.20","+1.05","UNK‑Non"
"HWV046_10","+0.55","+27.85","+41.02","UNK‑Non"
"HWV111_10","+1.42","+16.84","+22.68","+72.02"
"SWB109_15","+0.30","+1.78","+1.01","+54.61"
"COM001_10","+0.32","+1.72","+0.95","+0.43"
"DAT335_2","+0.27","+1.78","+1.01","+0.43"
"ITP209_10","+0.32","+1.77","+1.03","+0.44"
"ITP303_10","+2.04","+1.83","+1.11","+57.15"
"HWV095_10","+0.76","+20.81","+21.71","UNK‑Non"
"ITP399_10","+1.28","+1.82","+1.09","+58.34"
"HWV114_10","+1.92","+31.73","+33.72","UNK‑Non"
"ITP397_10","+0.58","+1.75","+1.13","+55.85"
"PUZ012_10","+0.31","+1.71","+1.03","+0.46"
"NLP266_3","+0.28","+1.75","+1.04","+1.11"
"KRS003_10","+0.32","+1.71","+1.00","+0.43"
"SYO913_15","+0.26","+1.76","+1.01","+0.93"
"SYO911_15","+0.32","+1.71","+0.99","+0.45"
"SYO916_1","+0.32","+1.77","+1.04","UNK‑Non"
"HWV051_20","+0.58","+21.76","+21.06","UNK‑Non"
"PUZ130_10","+0.40","+1.73","+0.95","+0.43"
"NUM923_10","+0.29","+1.72","+1.03","+0.54"
"HWV117_10","+2.56","TMO‑Non","TMO‑Non","UNK‑Non"
"PUZ018_10","+0.33","+1.78","+1.00","+0.81"
"HWV050_20","+0.70","+21.84","+20.04","UNK‑Non"
"SYO912_9","+0.30","+1.76","+0.95","+0.44"
"LCL966_9","+0.31","+1.74","+1.02","UNK‑Non"
"PUZ151_1*","+0.32","+1.71","+1.02","+0.44"
"ITP386_10","+3.65","TMO‑Non","TMO‑Non","UNK‑Non"
"HWV042_1","+0.73","+43.26","+36.59","UNK‑Non"
"HWV043_20","+0.63","+59.25","+79.57","UNK‑Non"
"ITP310_10","+1.54","TMO‑Non","TMO‑Non","+59.10"
"HWV048_2","+1.00","+91.83","+101.67","UNK‑Non"
