"problem","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"NUM651^1","+0.27","+0.37","+3.49","0.27","0.64","0.45"
"SEV091^5","+0.27","+0.39","+1.44","0.24","0.63","1.03"
"SEV303^5","+0.35","0.33","+2.18","0.51","3.32","UNK‑Non"
"SYN386^5","+0.28","+0.33","+1.49","0.26","0.64","TMO‑Non"
"ITP018^1","+0.29","+0.40","+2.07","0.28","0.63","0.54"
"SYO180^5","+0.25","TMO‑Non","+1.51","0.26","0.67","0.45"
"SEU641^1","+0.49","+0.51","+3.83","0.46","0.83","0.94"
"SYO527^1","+0.27","+0.38","+1.44","0.25","0.62","3.82"
"SYO304^5","+0.27","0.38","+1.69","0.27","0.63","0.48"
"SYN036^5","+0.29","+0.50","+3.43","0.28","0.77","1.00"
"SYO226^5","+0.25","+0.38","+1.38","0.25","0.67","0.62"
"PUZ031^5","+0.35","+0.39","+1.70","0.32","0.79","0.51"
"SEU765^1","+4.20","+239.99","+17.60","0.76","1.22","0.73"
"SEV148^5","+0.74","TMO‑Non","TMO‑Non","0.51","7.09","0.94"
"ITP073^1","+0.50","+0.54","TMO‑Non","0.52","4.03","0.81"
"SYO388^5","+0.31","+0.39","+1.89","0.26","0.86","157.02"
"GEG009^1","+0.48","+0.42","+1.73","0.41","2.62","0.79"
"SYO262^5","+0.27","+0.38","+1.49","0.27","0.62","UNK‑Non"
"CSR138^2","+0.45","+0.45","+2.51","0.48","1.28","1.91"
"SYO272^5","+0.29","+0.36","TMO‑Non","0.30","0.99","0.45"
"ALG271^5","+0.40","+0.32","+1.61","0.34","0.73","TMO‑Non"
"SYO391^5","+0.32","+0.41","+1.74","0.48","1.12","155.95"
"SET752^4","+0.26","+0.40","+2.57","0.27","0.66","0.46"
"PUZ094^5","+0.32","+0.38","+1.66","0.26","0.80","0.47"
"SEU742^1","+0.56","+0.87","+7.27","0.54","2.22","1.54"
"SEV164^5","+0.27","+0.38","+1.88","0.25","0.61","0.89"
"SEU874^5","+0.31","0.38","+2.98","0.32","6.71","160.56"
"SYO364^5","+0.26","+0.32","+2.37","0.28","0.68","UNK‑Non"
"ITP104^1","+1.10","+0.48","TMO‑Non","1.11","4.47","0.81"
"MSC020^5","+0.29","+0.40","TMO‑Non","0.28","0.91","1.29"
"AGT037^1","+0.38","+0.39","+1.86","0.42","0.74","0.70"
"NUM791^1","+0.26","+0.37","+1.53","0.26","0.63","0.42"
"ITP193^1","+0.92","+37.90","+4.03","0.90","1.03","1.52"
"SYN996^1","+0.27","+0.37","+1.65","0.26","0.63","UNK‑Non"
"AGT036^1","+0.33","+0.39","+2.44","0.30","0.73","0.64"
"SYO179^5","+0.32","+0.43","+1.67","0.30","1.30","0.51"
"SEV273^5","+0.26","+0.39","+5.69","0.26","0.67","UNK‑Non"
"NUM753^1","+0.27","+0.40","+1.46","0.26","0.62","122.32"
