"metric","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"Solved/500","449/500","395/500","242/500","455/500","415/500","296/500"
"Av. WC Time","6.44","13.09","10.34","5.99","13.21","30.16"
"Av. CPU Time","39.40","50.71","30.82","35.65","95.83","30.20"
"Solutions/500","439/500","374/500","241/500","0/500","0/500","0/500"
"μWCEfficiency","633","597","136","638","383","327"
"μEfficiency","471","542","69","474","289","340"
"SotAC","0.30","0.22","0.05","-","0.24","0.11"
"Core Usage/> 1.0","4.57/271","3.90/176","2.67/242","4.49/275","6.20/295","1.53/1"
"Core U. ≤ 1.0","178","219","0","180","120","295"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","0/17","7/17","0/17","2/17","5/17","3/17"
