"problem","Vampire 5.0","Twee 2.6.0","E 3.3.0","CSE_E 1.7","Drodi 4.1.0","Toma 0.7","iProver 3.9.3","Vampire 4.9","CSI_Enigma 1.0.6"
"COL042‑7","+1.08","+1.91","+1.16","+1.77","+75.97","TMO‑Non","+45.37","0.47","2.39"
"GRP202‑1","+0.35","+0.39","+0.80","+4.67","+7.91","+60.83","2.23","0.43","2.59"
"COL042‑9","+1.07","+1.94","+0.84","+1.79","+90.83","TMO‑Non","12.83","0.39","2.34"
"GRP442‑1","+0.52","+0.31","+0.50","+3.06","+3.90","+68.57","2.33","0.54","2.26"
"NUN134‑1","+0.34","+0.30","+0.38","+1.63","+1.93","+0.87","1.79","0.33","2.22"
"GRP167‑1","+1.33","+0.48","+0.45","+13.01","+4.72","+8.94","9.85","1.70","3.72"
"GRP478‑1","+0.38","+0.36","+0.42","+1.66","+2.02","+3.64","+2.27","0.32","2.24"
"GRP477‑1","+0.79","+0.57","+0.44","+1.66","+10.90","+3.29","+2.27","0.42","2.04"
"PUZ131‑10","+0.32","+0.27","+0.31","+1.63","+0.21","TMO‑Non","1.74","0.31","2.62"
"COL042‑6","+1.09","+0.51","+0.47","+5.74","+89.07","TMO‑Non","44.38","0.51","3.19"
"GRP660‑11","+0.51","+0.31","+0.45","+4.43","+3.86","+61.31","2.82","0.50","2.45"
"LAT394‑1","+0.81","+1.39","+0.38","+2.93","+2.51","+0.91","+1.75","0.60","2.33"
"GRP416‑1","+1.32","+0.49","+79.43","+60.99","+11.45","+63.29","+5.85","0.57","2.37"
"GRP201‑1","+1.16","+0.41","+0.58","+1.99","+53.66","+61.40","6.59","0.62","4.17"
"COL060‑1","+0.33","+0.30","+0.39","+1.60","+0.35","+60.55","+1.78","0.33","2.27"
"GRP185‑2","+0.35","+0.32","+15.15","TMO‑Non","+6.50","+1.08","2.80","0.29","6.14"
"GRP179‑3","+0.57","+0.43","+0.74","+3.32","+31.75","+43.53","3.31","0.68","2.56"
"PUZ039‑10","+0.71","+0.61","+29.61","+16.64","+1.41","+21.08","+2.84","0.51","3.32"
"GRP767‑1","+1.76","+0.46","+0.60","+7.50","+4.48","+61.75","2.33","0.50","6.25"
"RNG020‑7","+0.32","TMO‑Non","+0.39","+1.63","TMO‑Non","+2.95","+1.76","0.32","2.29"
"COL003‑19","+0.72","+0.71","+0.46","+1.65","+42.86","TMO‑Non","3.85","1.41","2.41"
"LCL203‑10","+1.94","+3.68","+0.51","+6.23","+2.08","+73.62","+4.35","1.17","2.48"
"COL063‑1","+0.81","+1.08","+0.71","+1.80","+1.41","+61.94","+3.26","0.66","2.33"
"GRP181‑3","+1.42","+0.76","+0.64","+3.37","+15.00","+63.41","39.91","0.85","3.40"
"GRP472‑1","+0.48","+0.44","+0.41","+1.75","+3.41","+0.82","+1.77","1.04","2.38"
"LCL109‑6","+1.63","+0.37","+0.52","+1.81","+1.16","+27.72","+15.30","1.20","2.50"
"ALG245‑1","+0.54","+1.41","+0.52","+3.18","+0.42","TMO‑Non","+1.67","0.51","5.02"
"GRP404‑1","+2.45","+0.38","+1.60","TMO‑Non","+37.67","+94.58","+4.32","0.87","23.99"
"SYN563‑10","+0.40","+0.35","+0.57","+4.44","+0.37","+174.26","+1.84","0.34","3.51"
"GRP420‑1","+13.33","+0.33","+0.75","+34.24","+9.62","+129.51","2.87","9.50","2.47"
"COL057‑1","+0.42","+0.32","+0.40","+3.06","+0.28","+65.56","+10.27","0.50","2.63"
"LCL026‑10","+9.49","+6.16","+2.09","+83.40","+19.31","+13.72","+47.88","7.94","4.39"
"GRP203‑1","+4.51","+0.43","+0.45","+3.17","TMO‑Non","+5.83","11.74","0.78","2.52"
"LCL109‑2","+2.02","+0.59","+0.66","+3.16","+23.99","+30.54","35.91","2.24","2.43"
"LAT023‑1","+1.19","+0.55","+2.18","+5.81","+65.05","+165.64","+2.34","0.61","3.92"
"GRP659‑10","+0.48","+0.32","+0.39","+1.75","+0.83","+18.24","+1.75","0.39","2.22"
"LCL218‑10","+0.91","+0.96","+6.24","+14.79","+30.64","+22.55","4.30","7.03","3.04"
"GRP185‑4","+0.33","+0.36","TMO‑Non","TMO‑Non","+56.30","+16.89","2.85","0.33","73.75"
"BOO023‑1","+2.52","+0.71","+0.48","+8.70","+8.63","+188.37","7.68","4.19","2.29"
"KLE145‑10","+3.16","+2.78","+2.24","+15.66","+39.43","TMO‑Non","4.34","7.31","4.06"
"GRP167‑2","+0.66","+0.40","+0.45","+13.06","+8.73","+60.76","14.38","3.92","2.18"
"GRP185‑3","+0.31","+0.37","TMO‑Non","TMO‑Non","+51.51","+7.02","2.72","0.33","61.83"
"ROB005‑1","+0.51","+1.00","+1.60","+1.73","TMO‑Non","+10.97","+3.80","1.45","3.33"
"LAT044‑1","+1.30","+0.51","+2.06","209.47","+3.01","TMO‑Non","7.35","0.78","3.31"
"LCL211‑10","+1.39","+6.16","+1.30","+42.63","+11.57","+9.80","9.80","1.35","3.76"
"GRP423‑1","+0.93","+0.30","+0.61","+24.40","+11.35","+89.90","1.73","2.57","3.60"
"GRP205‑1","+0.48","+0.46","+0.46","+4.24","+26.03","+1.08","4.74","0.48","2.86"
"LAT096‑1","+0.42","+1.68","+0.44","+1.73","+41.78","+4.19","+31.04","0.38","2.58"
"GRP754‑1","+1.41","+0.90","+0.80","+4.44","+11.35","+80.29","14.32","0.84","3.23"
"GRP750‑1","+1.21","+0.31","+0.90","+8.39","+44.54","+3.51","3.84","0.56","2.61"
"GRP688‑1","+1.07","+0.75","+0.68","+5.70","TMO‑Non","+66.89","3.81","2.37","3.43"
"REL005‑1","+1.12","+0.62","+0.43","+1.77","+5.60","+75.04","+11.82","0.97","2.32"
"GRP422‑1","+0.78","+0.29","+1.71","TMO‑Non","+10.28","+85.07","+2.24","0.61","2.48"
"REL005‑3","+1.07","+0.44","+0.38","+1.76","+85.15","+110.46","5.86","0.78","2.35"
"CSR072‑10","+0.51","+48.57","+0.50","+2.05","+0.47","+65.18","+5.20","0.55","4.35"
"GRP419‑1","+0.46","+0.30","+1.54","TMO‑Non","+10.09","+148.27","1.76","0.37","2.53"
"GRP705‑1","+0.93","+1.08","+0.94","+27.70","+5.94","TMO‑Non","2.33","1.48","5.25"
"LAT097‑1","+0.42","+1.69","+0.43","+1.71","+36.89","+2.00","+30.45","0.37","2.64"
"RNG019‑7","+0.33","TMO‑Non","+0.37","+1.62","TMO‑Non","+1.99","+1.79","0.34","3.10"
"COL064‑1","+2.07","+9.41","+1.07","+4.31","+70.29","+149.37","+16.29","2.31","6.99"
"LAT092‑1","+0.36","+0.95","+0.43","+1.72","+26.82","+1.25","+30.37","0.35","2.55"
"RNG026‑7","+0.33","TMO‑Non","+0.43","+1.73","TMO‑Non","+4.17","+1.78","0.33","2.35"
"GRP475‑1","+0.60","+0.52","+0.41","+1.68","+26.46","+2.48","+1.57","0.36","2.58"
"GRP186‑2","+4.64","+0.96","+2.63","+17.13","TMO‑Non","+140.56","37.84","3.72","4.46"
"CSR051‑10","+0.54","+67.38","+73.64","+1.97","+0.55","+69.04","+17.77","0.53","3.27"
"COL009‑1","+0.66","+1.12","+110.51","+1.84","+0.23","+56.81","+7.34","0.36","2.26"
"LAT022‑1","+0.77","+0.79","+1.02","+37.53","+31.45","TMO‑Non","7.83","1.42","15.84"
"GRP696‑1","+0.40","+0.51","+2.28","+81.62","+1.97","TMO‑Non","2.29","0.44","3.50"
"REL024‑1","+0.36","+0.53","+0.50","+1.87","+0.90","+63.90","+5.25","1.45","2.30"
"REL045‑2","+1.07","+4.21","+3.09","+14.66","+1.48","TMO‑Non","33.37","0.43","5.55"
"LAT082‑1","+44.88","+2.42","+0.67","+5.89","TMO‑Non","+9.81","238.04","0.73","3.88"
"LAT168‑1","+0.48","+1.27","+13.66","71.29","+0.45","TMO‑Non","+1.77","0.43","4.59"
"LCL400‑10","+23.96","+5.14","+7.05","+28.77","+3.04","+39.48","+39.41","5.17","6.01"
"REL012‑2","+0.61","+0.85","+0.47","+32.99","+1.03","TMO‑Non","15.85","0.50","5.38"
"ALG240‑1","+0.79","+1.38","+1.27","TMO‑Non","+0.98","TMO‑Non","+2.23","0.46","3.65"
"REL008‑3","+0.42","+0.61","+0.38","+7.52","+9.61","+4.99","+3.30","0.35","2.43"
"REL012‑1","+2.73","+0.97","+0.50","+34.05","+1.07","+66.37","+39.45","1.20","4.47"
"RNG021‑7","+0.40","TMO‑Non","+0.40","+1.63","TMO‑Non","+3.52","+1.79","0.30","2.27"
"BOO017‑10","+0.82","+2.69","+0.40","+5.79","+5.76","TMO‑Non","7.40","8.08","3.13"
"GRP183‑2","+1.05","+1.04","+1.16","+24.46","TMO‑Non","+57.65","29.90","0.85","3.48"
"GRP167‑4","+0.78","+0.83","+0.84","+4.67","TMO‑Non","+130.69","10.81","1.70","4.60"
"COL034‑1","+0.34","+0.76","+1.09","+8.06","+0.23","TMO‑Non","+2.83","0.81","3.19"
"COL065‑1","+5.41","+9.66","+2.00","+10.41","+88.76","TMO‑Non","+35.94","4.61","6.79"
"REL010‑2","+0.88","+0.98","+0.47","+4.33","+1.25","TMO‑Non","+6.32","0.50","2.89"
"REL050‑3","+0.56","+0.36","+0.41","+12.65","TMO‑Non","TMO‑Non","2.81","0.69","3.47"
"RNG021‑6","+0.32","+36.39","+0.38","+1.58","TMO‑Non","+3.11","+1.78","0.32","2.14"
"LAT080‑1","+0.36","+0.94","+0.42","+1.70","+35.28","+1.51","34.87","0.39","2.66"
"GRP179‑2","+0.53","+0.33","+0.70","+3.21","+127.06","+50.66","3.82","0.70","2.56"
"GRP660‑10","+1.95","+0.37","+0.66","+3.04","+12.04","+86.96","+6.75","0.63","2.55"
"REL027‑1","+1.57","+2.41","+0.55","+3.17","TMO‑Non","+75.18","9.40","1.44","4.14"
"GRP048‑10","+0.52","+0.90","+0.63","+9.85","+2.98","TMO‑Non","3.37","0.65","3.41"
"LAT081‑1","+0.59","+1.63","+0.65","+1.84","+161.40","+5.59","+41.46","0.99","2.38"
"RNG026‑6","+0.35","+60.73","+0.35","+58.39","TMO‑Non","+9.05","+1.72","0.33","2.19"
"GRP751‑1","+0.89","+0.44","+0.49","+25.82","+77.69","+68.66","TMO‑Non","1.21","3.67"
"REL044‑2","+1.01","+4.86","+0.78","+9.00","+2.35","TMO‑Non","+99.97","1.98","2.82"
"GRP183‑3","+0.68","+0.42","+1.15","+8.23","TMO‑Non","+100.54","2.66","0.80","3.73"
"COL044‑7","+0.73","+0.66","+0.37","+5.54","+5.44","TMO‑Non","125.42","0.51","2.22"
"LAT392‑1","+1.03","+20.64","+0.64","+60.40","TMO‑Non","+4.90","145.11","0.49","8.57"
"GRP184‑1","+1.08","+0.49","+4.32","+17.36","TMO‑Non","+44.37","4.30","0.57","4.47"
"GRP179‑1","+0.68","+0.55","+0.71","+4.84","+112.27","+36.33","3.32","0.84","3.89"
