"metric","Vampire 5.0","Twee 2.6.0","E 3.3.0","CSE_E 1.7","Drodi 4.1.0","Toma 0.7","iProver 3.9.3","Vampire 4.9","CSI_Enigma 1.0.6"
"Solved/300","263/300","258/300","222/300","167/300","121/300","114/300","205/300","258/300","238/300"
"Av. WC Time","14.22","18.63","22.33","33.54","28.92","68.09","40.38","10.34","20.74"
"Av. CPU Time","95.25","144.23","153.90","79.66","226.82","67.95","308.71","67.74","145.23"
"Solutions/300","263/300","258/300","222/300","151/300","121/300","114/300","62/300","0/300","0/300"
"μWCEfficiency","421","410","369","94","109","39","99","443","146"
"μEfficiency","211","196","227","80","50","40","36","220","43"
"SotAC","0.31","0.30","0.20","0.09","0.05","0.04","0.17","-","0.23"
"Core Usage/> 1.0","5.50/234","6.61/221","5.63/183","1.77/145","7.19/112","1.00/19","6.22/203","5.34/226","5.14/238"
"Core U. ≤ 1.0","29","37","39","22","9","95","2","32","0"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","3/13","7/13","0/13","0/13","0/13","0/13","0/13","3/13","0/13"
