"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"MGT090+1*","+1.45","+0.45","+0.40","+1.01","+1.13","+0.85","+2.92","UNK","+0.38","+0.41","+5.00","+0.45","+0.39","+2.56","+22.23","UNK","GUP"
"MGT082+1*","+1.42","+0.50","+0.40","+0.54","+1.25","+1.26","+2.15","UNK","+0.37","+0.41","+4.00","+0.57","+0.39","+116.17","+15.54","UNK","GUP"
"MGT080+1*","+1.50","+0.57","+0.40","+0.48","+1.07","+0.92","+2.32","UNK","+0.47","+0.47","+4.59","+1.72","+0.47","+152.84","UNK","UNK","GUP"
"MGT076+1*","+1.45","+0.47","+0.67","+82.51","+1.23","+0.93","+1.78","UNK","+0.47","+0.48","+3.35","+0.41","+0.41","+1.39","+3.15","UNK","GUP"
"SWX200+1*","+1.43","+0.50","+0.42","+0.52","+1.23","+0.68","+1.62","+0.45","+0.38","+0.39","+3.54","+0.38","+0.38","+73.99","+45.83","+0.41","GUP"
"MGT088+1*","+1.73","+0.56","+0.34","+0.44","+1.47","+0.68","+1.95","UNK","+0.39","+0.49","+4.75","+0.48","+0.42","+7.21","+123.38","UNK","GUP"
"MGT078+1*","+1.00","+0.46","+0.44","+0.50","+1.07","+0.89","+2.08","UNK","+0.49","+0.43","+5.07","+0.41","+0.40","+21.46","+6.13","UNK","GUP"
"GEO111+1","+0.92","+0.47","+0.42","+0.56","+1.15","+0.89","+4.19","+0.60","+0.47","+0.89","TMO","+0.84","UNK","TMO","UNK","TMO","GUP"
"GEO085+1","+1.62","+0.51","+0.49","+0.58","+1.20","+0.85","+2.76","+0.44","+0.55","+0.48","+1.62","+0.46","+2.38","+0.58","UNK","+61.29","GUP"
"GEO117+1","+2.11","+0.52","+0.51","+0.97","+1.32","+0.86","+3.37","+0.46","+0.48","+0.52","+1.58","+0.70","+0.46","+72.46","+156.31","+49.29","GUP"
"GRA005+1","+2.33","+0.51","+0.48","+0.61","+1.45","+0.93","+1.99","+0.47","+0.41","+0.47","+1.60","+0.36","+0.99","+73.16","UNK","TMO","GUP"
"NLP147+1","+1.29","+0.58","+0.46","+0.55","+1.08","+0.83","+3.59","+0.40","+0.42","UNK","+1.08","+0.54","+5.91","TMO","UNK","+34.06","GUP"
"ALG040+1","+1.51","+0.45","+0.36","+0.54","+1.30","+0.80","+2.65","+0.38","+0.50","+0.41","+2.23","+0.86","UNK","TMO","UNK","TMO","GUP"
"LCL484+1","+0.86","+0.43","+0.49","+0.38","+1.33","+0.97","+3.09","+0.30","+0.34","+0.38","+2.96","+0.38","GUP","+1.63","UNK","+0.32","GUP"
"NUM840+1","+1.23","+0.45","+0.49","+0.51","+1.39","+0.86","+6.31","+0.38","+0.42","+2.08","+26.23","+3.04","+2.28","+18.70","+8.09","TMO","GUP"
"SWV488+3","+1.47","+0.43","+0.40","+0.49","+1.26","+0.95","+3.40","+0.42","+0.37","+0.39","TMO","+0.46","+0.37","+22.37","UNK","TMO","GUP"
