"metric","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"Solved/300","287/300","248/300","189/300","188/300","186/300","146/300","145/300","144/300","93/300","69/300","65/300","56/300","51/300","37/300","17/300","13/300","0/300"
"Av. WC Time","9.99","6.43","11.53","10.62","23.58","19.28","21.25","21.54","14.06","14.25","21.11","13.01","17.58","67.94","62.39","34.79","-"
"Av. CPU Time","48.45","38.55","70.24","55.13","109.94","125.96","82.93","142.79","94.92","12.34","146.03","88.26","96.08","67.59","62.07","34.50","-"
"Solutions/300","287/300","248/300","189/300","188/300","184/300","146/300","145/300","144/300","93/300","69/300","65/300","56/300","51/300","37/300","17/300","13/300","0/300"
"μWCEfficiency","310","544","405","402","171","201","71","274","174","136","44","92","97","15","3","10","-"
"μEfficiency","182","399","358","347","111","154","17","215","136","141","9","72","72","15","4","10","-"
"SotAC","0.61","-","0.31","0.31","0.31","0.22","0.22","0.23","0.11","0.07","0.07","0.05","0.05","0.03","0.01","0.01","-"
"Core Usage/> 1.0","3.53/264","3.79/190","4.83/103","4.45/105","4.02/170","5.08/109","5.23/141","5.91/87","5.47/62","0.00/0","6.36/65","5.19/42","4.46/36","0.00/0","0.00/0","0.00/0","-"
"Core U. ≤ 1.0","23","58","86","83","16","37","4","57","31","69","0","14","15","37","17","13","0"
"New Solved","71/79","70/79","55/79","55/79","54/79","47/79","52/79","29/79","25/79","22/79","18/79","18/79","21/79","13/79","9/79","2/79","0/79"
"Unique Solved","35/38","3/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38","0/38"
