"metric","Vampire 5.0.1","Vampire 5.0","CSI_PP 1.0","E 3.5.1","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Prover9 2026‑6A","Zipperpin 2.1.9999","ConnectPP 0.7.2","FindProof 0.1","mrs 0.2.0","Prover9 1109a","SUPr 1.0","SPASS‑SCL 0.1.1","VIP 1.718","SATResetCoP 1.0"
"Solved/100","94/100","80/100","76/100","75/100","64/100","60/100","54/100","50/100","46/100","27/100","26/100","23/100","23/100","22/100","14/100","13/100","3/100"
"Av. WC Time","7.86","13.08","22.55","8.10","21.14","21.08","11.17","11.00","20.69","48.16","16.54","11.49","16.22","14.62","21.91","25.01","116.60"
"Av. CPU Time","34.67","84.59","69.64","46.12","108.73","161.31","47.67","78.42","131.60","47.84","123.99","85.97","15.93","34.65","21.60","24.73","116.32"
"Solutions/100","94/100","80/100","76/100","75/100","64/100","59/100","54/100","50/100","46/100","27/100","26/100","23/100","23/100","22/100","14/100","13/100","3/100"
"μWCEfficiency","307","520","426","460","192","318","83","309","184","43","52","149","127","75","46","64","0"
"μEfficiency","226","456","425","427","112","245","25","213","158","43","11","106","137","61","47","64","0"
"SotAC","0.53","-","0.36","0.35","0.27","0.24","0.21","0.20","0.15","0.07","0.06","0.06","0.07","0.05","0.04","0.03","0.00"
"Core Usage/> 1.0","3.58/82","4.55/46","4.88/34","5.04/39","3.96/61","6.21/39","4.91/51","4.96/36","4.40/34","0.00/0","6.57/26","4.71/17","0.00/0","2.96/18","0.00/0","0.00/0","0.00/0"
"Core U. ≤ 1.0","12","34","42","36","3","21","3","14","12","27","0","6","23","4","14","13","3"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","10/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10","0/10"
