"problem","Vampire 5.0.1","Vampire 4.8","E 3.5.1","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","Drodi 4.1.1","ConnectPP 0.7.2"
"SWB010+3","+14.38","+59.26","+7.71","TMO","TMO","TMO","TMO","TMO"
"LCL657+1.020","+0.55","+0.60","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL657+1.010","+0.60","+0.61","TMO","TMO","TMO","UNK","TMO","TMO"
"SWB034+1","+2.35","+2.97","+7.71","+81.14","TMO","TMO","TMO","TMO"
"MSC013+1","+0.43","+0.43","+0.45","+1.12","TMO","TMO","+0.44","0.41"
"SWB013+3","+14.69","+58.37","TMO","TMO","TMO","TMO","TMO","TMO"
"SWB031+3","+20.14","+68.50","+6.61","TMO","TMO","TMO","TMO","TMO"
"CSR155+1","+0.87","+1.70","TMO","+10.25","+1.16","+15.73","TMO","TMO"
"SWB025+3","+13.09","+61.46","+3.88","TMO","TMO","TMO","TMO","TMO"
"LCL354+1","+0.47","+0.48","TMO","+1.47","+0.88","+0.39","TMO","TMO"
"GEO355+1","+0.35","+0.44","TMO","+1.17","+0.89","+0.38","TMO","TMO"
"SYO645+1","+0.43","+0.39","TMO","+1.13","+0.82","+0.33","+0.38","TMO"
"CSR111+2","+0.47","+0.44","+165.32","+34.29","TMO","TMO","+93.63","TMO"
"KRS176+1","+0.43","+0.44","+0.46","+1.24","+0.70","TMO","+0.51","TMO"
"SWB027+3","+14.70","+12.92","+7.08","TMO","TMO","TMO","TMO","TMO"
"SWB023+3","+8.54","+44.23","+6.90","TMO","TMO","TMO","TMO","TMO"
"SWB019+4","+0.45","+0.49","+0.48","+1.13","+1.03","+0.37","+0.45","0.42"
"SWB030+3","+1.93","+3.09","+6.58","+105.61","TMO","TMO","TMO","TMO"
"SWB011+3","+2.30","+2.92","+4.47","+109.52","TMO","TMO","TMO","TMO"
"SWV012+1","+0.46","+0.41","+0.51","+1.13","+0.78","+0.34","TMO","0.35"
"SWB026+3","+18.32","+50.29","+13.89","TMO","TMO","TMO","TMO","TMO"
"GEO353+1","+0.46","+0.39","TMO","+1.13","GUP","+0.35","TMO","TMO"
"LCL637+1.005","+1.03","+0.46","+16.65","+4.16","TMO","TMO","+43.61","TMO"
"MED012+1","+0.43","+0.41","TMO","+1.11","+0.82","+0.55","+6.43","TMO"
"LCL657+1.015","+0.52","+0.55","TMO","TMO","TMO","TMO","TMO","TMO"
"SWB021+3","+15.58","+44.28","+14.89","TMO","TMO","TMO","TMO","TMO"
"SWB022+3","+10.15","+17.89","+8.14","TMO","TMO","TMO","TMO","TMO"
"KRS247+1","+88.53","+117.75","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS218+1","+13.88","+43.51","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS245+1","+94.22","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS207+1","+10.25","+38.66","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS236+1","+73.63","+125.23","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS220+1","+15.68","+24.72","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS225+1","+13.91","+94.16","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS230+1","+13.25","+39.77","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL637+1.010","TMO","+10.16","TMO","TMO","TMO","UNK","TMO","TMO"
"KRS271+1","+24.15","+9.04","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS221+1","+13.90","+14.36","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS212+1","+9.92","+24.37","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS241+1","+80.62","+126.79","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS270+1","+14.04","+11.75","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS237+1","+63.66","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO643+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS227+1","+22.54","+43.33","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS177+1","+5.62","+13.34","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO636+1","TMO","TMO","TMO","TMO","GUP","TMO","TMO","TMO"
"KRS240+1","+69.68","179.91","TMO","TMO","TMO","TMO","TMO","TMO"
"KRS197+1","+6.07","+40.55","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL675+1.010","TMO","+35.51","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO638+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
