"metric","Vampire 5.0.1","Vampire 4.8","E 3.5.1","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","Drodi 4.1.1","ConnectPP 0.7.2"
"Solved/50","45/50","45/50","17/50","15/50","8/50","8/50","7/50","3/50"
"Av. WC Time","17.28","31.72","15.98","23.71","0.89","2.31","20.78","0.39"
"Av. CPU Time","89.24","219.20","54.36","60.02","1.10","9.36","66.25","0.13"
"Solutions/50","45/50","44/50","17/50","15/50","8/50","8/50","7/50","0/50"
"μWCEfficiency","348","327","111","97","140","141","84","60"
"μEfficiency","278","260","89","90","137","140","87","60"
"SotAC","0.62","-","0.18","0.12","0.05","0.05","0.04","0.01"
"Core Usage/> 1.0","4.73/35","6.04/36","5.10/12","2.73/12","1.25/7","4.69/1","4.49/2","0.00/0"
"Core U. ≤ 1.0","10","9","5","3","1","7","5","3"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","2/4","2/4","0/4","0/4","0/4","0/4","0/4","0/4"
