"problem","Vampire 5.0.1","Vampire 4.8","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","Drodi 4.1.1","E 3.5.1","ConnectPP 0.7.2"
"SWX205+1*","+0.53","+0.38","+1.11","GUP","TMO","+0.39","+0.43","TMO"
"MGT069+1*","+5.36","+1.31","TMO","TMO","180.00","UNK","TMO","TMO"
"MGT101+1*","+0.45","+0.42","+6.70","+28.18","+0.53","UNK","TMO","TMO"
"MGT072+1*","+1.30","+0.47","+115.18","+5.16","+11.18","TMO","TMO","TMO"
"GEO661+1*","+0.41","+0.38","+1.11","+0.78","+0.35","+0.41","+0.40","TMO"
"MGT100+1*","+0.48","+0.49","+5.34","+5.34","+0.47","UNK","TMO","TMO"
"MGT074+1*","+0.54","+0.55","+4.70","+1.57","+1.12","TMO","TMO","TMO"
"MGT109+1*","+0.53","+0.58","+1.19","+0.91","+0.49","TMO","TMO","TMO"
"MGT105+1*","+0.52","+0.59","+1.10","+0.93","+0.45","UNK","TMO","TMO"
"GEG001+1","+1.26","+3.37","TMO","TMO","TMO","TMO","+1.09","TMO"
"PLA045+1","+17.29","+8.93","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV110+1","+1.80","+6.37","+144.87","TMO","TMO","TMO","TMO","TMO"
"KLE174+1","+0.43","+0.40","+1.18","+1.08","+0.34","TMO","TMO","0.30"
"SWW969+1","+0.46","+0.54","TMO","TMO","TMO","TMO","TMO","TMO"
"NLP088+1","+0.42","+0.46","TMO","TMO","UNK","+0.80","+0.65","TMO"
"KRS036+1","+0.48","+0.44","+1.13","+1.00","+0.39","+0.40","+0.54","TMO"
"KRS048+1","+0.54","+0.40","+1.15","+0.79","+0.41","TMO","+82.65","TMO"
"SWV485+2","+1.23","+10.28","TMO","TMO","GUP","+16.56","+5.02","TMO"
"HWV116+1","+5.28","+3.17","TMO","TMO","TMO","TMO","GUP","TMO"
"KRS037+1","+0.48","+0.42","+1.13","+0.77","+0.34","+0.35","+0.41","TMO"
"KRS038+1","+0.42","+0.37","+1.10","+0.81","+0.35","+0.43","+0.40","TMO"
"SWV483+2","+1.21","+3.57","+177.76","TMO","GUP","+8.15","+7.63","TMO"
"LCL909+1","+0.44","+0.39","+1.17","+0.98","TMO","+2.40","TMO","TMO"
"KLE175+1","+0.61","+0.42","+1.31","+0.76","+0.29","TMO","TMO","0.34"
"LCL915+1","+0.40","0.37","+1.01","+0.94","+15.07","TMO","TMO","TMO"
"HWV071+1","+1.01","+0.97","TMO","+21.10","+3.07","TMO","TMO","TMO"
"KRS029+1","+0.43","+0.38","+1.10","+0.65","+0.34","+0.42","+0.40","TMO"
"SWB036+1","+0.46","+0.57","+1.71","+2.37","+0.76","+0.60","TMO","TMO"
"NLP091+1","+0.50","+0.45","TMO","TMO","UNK","+0.94","+0.58","TMO"
"SWW103+1","+0.45","+0.45","+1.13","TMO","TMO","TMO","TMO","TMO"
"HWV118+1","+7.66","+9.68","TMO","TMO","TMO","TMO","TMO","TMO"
"PLA043+1","+1.51","+3.94","TMO","TMO","TMO","TMO","TMO","TMO"
"HWV073+1","+2.57","+1.94","TMO","+156.97","UNK","TMO","TMO","TMO"
"SWV483+1","+1.27","+3.91","+15.04","TMO","UNK","+6.93","+2.37","TMO"
"KRS047+1","+0.41","+0.39","+1.13","+0.73","+0.42","+0.37","+0.41","TMO"
"HWV079+1","+2.97","+0.87","TMO","TMO","UNK","TMO","TMO","TMO"
"NLP087+1","+0.54","+0.59","TMO","TMO","UNK","+0.63","+0.42","TMO"
"SWV484+2","+0.90","+0.75","+45.86","TMO","GUP","+2.28","+0.67","TMO"
"HWV076+1","+0.86","+1.55","+68.83","+5.03","TMO","TMO","TMO","TMO"
