"metric","Vampire 5.0.1","Vampire 4.8","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","Drodi 4.1.1","E 3.5.1","ConnectPP 0.7.2"
"Solved/100","98/100","86/100","56/100","43/100","37/100","34/100","25/100","8/100"
"Av. WC Time","9.11","9.86","25.97","10.91","10.44","3.06","4.97","0.35"
"Av. CPU Time","50.97","56.05","142.45","13.14","31.01","19.96","15.11","0.09"
"Solutions/100","98/100","83/100","56/100","43/100","36/100","34/100","25/100","0/100"
"μWCEfficiency","600","560","194","310","294","267","197","80"
"μEfficiency","513","486","220","293","274","219","182","80"
"SotAC","0.56","-","0.22","0.14","0.12","0.11","0.09","0.02"
"Core Usage/> 1.0","4.74/52","5.18/46","3.41/41","1.36/26","4.17/11","4.90/15","3.33/10","0.00/0"
"Core U. ≤ 1.0","46","40","15","17","26","19","15","8"
"New Solved","10/10","10/10","8/10","7/10","8/10","2/10","2/10","0/10"
"Unique Solved","12/12","0/12","0/12","0/12","0/12","0/12","0/12","0/12"
