"problem","GAPT 2.20","VaLeaDate 0.1","Norgler 1.1","ProofCheck 1.0","ProofGuard 1.0","mrs‑proover 0.2.0","PyCheck 0.1","GDV 2.0","GDV‑LP 2.0","CheckProof 0.1"
"PRV000+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV001+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","‑1"
"PRV002+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
"PRV003+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
"PRV004+1","+1","‑1","‑1","+1","+1","‑1","‑1","+1","+1","+1"
"PRV005+1","+1","‑1","‑1","+1","+1","‑1","‑1","UNK","UNK","‑1"
"PRV006+1","+2","+2","+2","‑10","+2","‑10","‑10","UNK","UNK","+2"
"PRV007+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
"PRV008+1","+2","+2","+2","‑10","+2","‑10","‑10","UNK","UNK","+2"
"PRV009+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
"PRV010+1","+1","‑1","‑1","‑1","+1","+1","+1","+1","+1","‑1"
"PRV011+1","‑1","‑1","‑1","‑1","‑1","‑1","+1","‑1","‑1","‑1"
"PRV012+1","+1","‑1","‑1","‑1","+1","‑1","+1","+1","+1","‑1"
"PRV013+1","‑1","‑1","‑1","‑1","‑1","‑1","+1","‑1","‑1","‑1"
"PRV014+1","+1","‑1","‑1","‑1","+1","‑1","+1","‑1","‑1","‑1"
"PRV015+1","‑1","‑1","‑1","‑1","‑1","‑1","+1","‑1","‑1","‑1"
"PRV016+1","‑1","‑1","‑1","‑1","‑1","‑1","+1","‑1","‑1","‑1"
"PRV017+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV018+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV019+1","+1","+1","+1","+1","‑1","‑1","UNK","+1","+1","+1"
"PRV020+1","+1","+1","+1","+1","‑1","‑1","UNK","+1","+1","+1"
"PRV021+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV022+1","+1","‑1","‑1","+1","+1","+1","UNK","+1","+1","+1"
"PRV023+1","+2","+2","+2","+2","+2","+2","UNK","+2","+2","UNK"
"PRV024+1","+2","+2","+2","+2","+2","+2","UNK","+2","+2","UNK"
"PRV025+1","+2","+2","+2","+2","+2","+2","+2","+2","+2","UNK"
"PRV026+1","+2","+2","+2","+2","+2","+2","+2","+2","+2","+2"
"PRV027+1","+1","+1","+1","+1","‑1","+1","+1","+1","+1","UNK"
"PRV028+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
"PRV029+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV030+1","+1","+1","+1","UNK","+1","+1","+1","+1","+1","‑1"
"PRV031+1","+2","+2","+2","+2","+2","‑10","+2","+2","+2","‑10"
"PRV032+1","+2","+2","+2","+2","+2","+2","+2","+2","+2","+2"
"PRV033+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV034+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1"
"PRV035+1","+2","+2","+2","+2","+2","+2","UNK","UNK","UNK","+2"
"PRV036+1","UNK","UNK","+2","+2","+2","+2","‑10","UNK","UNK","‑10"
"PRV037+1","+2","+2","+2","+2","+2","+2","+2","UNK","UNK","+2"
