"problem","Vampire 5.0.1","Vampire 5.0","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"SEU665^2","+0.46","+0.54","+0.97","+0.42","TMO","TMO"
"NUM812^5","+0.45","+0.45","+0.78","+0.43","+11.93","TMO"
"ITP031^1","+0.77","+0.63","+4.89","+0.53","+4.00","GUP"
"SEU595^1","+0.88","+1.57","+4.35","TMO","+48.11","GUP"
"SEU874^5","+0.46","+0.45","+7.59","+0.43","+4.01","TMO"
"SYO064^4.002","+0.67","+0.90","+0.89","+0.49","+3.40","+0.58"
"SEU785^1","+0.82","+1.25","+1.28","+0.74","TMO","GUP"
"ANA125^1","+0.60","+0.48","+0.80","+0.65","+3.65","GUP"
"SEU644^1","+0.75","+0.65","+1.05","+0.57","+7.37","GUP"
"SEU745^1","+0.84","+0.89","+15.32","+0.84","TMO","GUP"
"NUM418^1","+0.50","+0.47","+0.68","+0.50","+2.38","TMO"
"ITP166^1","+0.54","+0.66","+1.93","+0.53","+9.73","GUP"
"SEU642^1","+0.57","+0.69","+1.01","+18.76","+61.67","GUP"
"SEU576^1","+0.54","+0.59","+0.81","+0.45","+4.44","GUP"
"SEU463^1","+0.53","+0.45","+3.57","+0.43","+3.36","GUP"
"QUA004^1","+0.45","+0.41","+0.70","+0.41","+1.93","+33.11"
"NUM925^2","+0.64","+0.75","+1.35","+0.90","+5.33","GUP"
"SEU876^5","+0.84","+0.47","+47.86","TMO","TMO","TMO"
"ALG268^2","+0.76","+0.58","+4.87","+0.58","+3.63","+2.69"
"SYO064^4.001","+0.51","+0.44","+0.81","+0.49","+3.31","+0.40"
"AGT028^1","+0.52","+0.51","+1.02","+0.46","+3.22","+0.96"
"SEU720^1","+1.00","+0.74","+1.19","TMO","+114.53","GUP"
"DAT056^1","+0.36","+0.49","+1.04","+0.41","+2.59","+0.40"
"SEV037^5","+0.70","+0.50","+2.01","TMO","+9.06","TMO"
"ITP200^1","+0.46","+0.71","+3.96","+0.60","TMO","GUP"
"CSR146^2","+0.62","+1.28","+4.06","+0.53","+7.67","TMO"
"SEU574^1","+1.89","+1.39","+9.07","+2.12","TMO","GUP"
"SWV436^4","+0.59","+0.54","+2.50","+0.42","+17.71","+0.49"
"ITP189^1","+0.60","+0.67","+3.56","+0.78","+7.16","GUP"
"ITP175^1","+0.60","+0.53","+0.87","+0.83","TMO","GUP"
"ITP139^1","+0.61","+0.62","+1.76","+0.82","TMO","GUP"
"CSR137^2","+0.52","+0.46","+1.09","+0.34","TMO","+0.48"
"MSC025^2","+0.57","+0.43","+0.77","+17.72","+3.90","GUP"
"SEU709^1","+0.99","+1.69","+1.82","+0.90","TMO","GUP"
"SET646^3","+0.47","+0.78","+0.76","+0.41","+2.03","GUP"
"LCL873^1","+0.54","+0.65","+1.13","+0.63","+2.73","+0.52"
"ALG280^5","+0.44","+0.41","+0.97","+0.42","+2.27","+0.38"
"SEU766^1","+0.99","+0.80","+1.70","+1.15","TMO","GUP"
"SYO543^1","+0.44","+0.50","+0.79","+0.40","+1.35","GUP"
"SEV273^5","+0.55","+0.54","+0.86","+0.34","+2.40","+0.54"
"ITP010^2","+0.45","+0.41","+0.74","+0.42","+2.48","GUP"
"SYO241^5","+0.54","+0.43","+0.96","+0.34","+6.70","GUP"
"SEU596^1","+0.74","+24.35","+0.93","+18.02","+6.62","GUP"
"SYO038^1.003.003","+0.55","+0.96","+0.86","+0.61","+3.12","+0.49"
"QUA006^1","+0.49","+0.69","+1.07","+0.68","+5.34","+64.56"
"SYO545^1","+0.59","+1.01","+4.07","+0.42","+38.32","TMO"
"SEU692^1","+0.92","+1.06","+10.09","+20.03","TMO","GUP"
"ALG279^5","+0.46","+0.53","+1.10","+0.43","+2.25","+0.38"
"ITP173^1","+0.88","+0.68","+1.24","+0.63","TMO","GUP"
"SYO448^1","+0.46","+0.49","+1.06","+0.48","+3.18","+0.48"
"ITP140^1","+0.56","+0.65","+1.42","+0.53","+4.38","GUP"
