"metric","Vampire 5.0.1","Vampire 5.0","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"Solved/300","285/300","284/300","280/300","251/300","122/300","41/300"
"Av. WC Time","6.84","7.83","17.17","9.96","17.37","14.44"
"Av. CPU Time","39.60","47.01","118.29","34.78","52.23","13.24"
"Solutions/300","285/300","284/300","280/300","250/300","122/300","41/300"
"μWCEfficiency","631","588","330","609","75","82"
"μEfficiency","476","433","248","566","41","90"
"SotAC","0.34","-","0.33","0.27","0.08","0.01"
"Core Usage/> 1.0","3.84/192","4.12/207","5.67/225","3.98/100","2.65/122","0.00/0"
"Core U. ≤ 1.0","93","77","55","151","0","41"
"New Solved","31/31","31/31","29/31","28/31","7/31","0/31"
"Unique Solved","3/11","2/11","1/11","4/11","1/11","0/11"
