"problem","E 3.5.1","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","Leo‑III 1.8.0","LEO‑II 1.7.0"
"SYO324^5","+0.52","+0.65","+0.51","+4.02","TMO","+27.13"
"SEV254^5","TMO","+2.47","+0.75","TMO","TMO","TMO"
"SYO325^5","+0.45","+1.35","+0.56","+4.12","TMO","TMO"
"CSR130^1","+0.42","+0.52","+0.49","+0.91","+3.59","+0.43"
"PUZ031^5","+0.53","+0.49","+0.45","+0.88","+3.13","+1.36"
"SYO264^5","+0.61","+0.63","+0.48","+1.58","+5.28","+15.34"
"SYN036^5","+0.71","+0.64","+0.47","+0.90","TMO","+0.61"
"SEV246^5","+0.69","+5.12","+0.52","+9.57","TMO","TMO"
"SYO180^5","+0.75","+0.48","+0.42","+0.83","+3.52","GUP"
"SEV244^6","+0.46","+8.80","+0.56","+12.11","TMO","TMO"
"SYO387^5","+0.47","+0.47","+0.55","+1.16","+2.59","+1.30"
"SYO169^5","+0.41","+0.43","+0.36","+1.06","+2.30","+0.48"
"NUM665^1","+0.60","+0.39","+0.45","+0.76","+2.29","+52.07"
"SEV252^5","+0.44","+9.04","+0.55","+11.57","TMO","TMO"
"PUZ047^5","+0.49","+0.56","+0.48","+0.73","+2.52","+0.74"
"SYO527^1","+0.45","+0.40","+0.45","+0.72","+2.28","+0.36"
"SYO386^5","+0.42","+0.44","+0.44","+0.92","+2.44","+0.76"
"SEV085^5","+0.43","+0.40","+0.53","+13.07","UNK","TMO"
"SYO388^5","+0.34","+0.44","+0.46","+1.10","+1.59","+3.19"
"NUM791^1","+0.43","+0.39","+0.48","+0.67","+3.28","GUP"
"SYO018^1","+0.40","+0.40","+0.57","+0.73","+2.34","+0.38"
"SEV084^5","+0.44","+0.43","+0.45","+1.41","+2.44","GUP"
"SYO560^1","+0.40","+6.23","+1.15","+0.82","+4.27","TMO"
"SYO376^5","+0.56","+0.48","+0.46","+0.83","+2.77","+0.56"
"SEV243^5","+0.43","+6.46","+0.64","+11.03","TMO","TMO"
"NUM762^1","+0.54","+0.41","+0.51","+0.55","+3.73","GUP"
"NUM016^5","+0.41","+0.39","+0.51","+0.54","+2.33","+0.43"
"SEV058^5","+0.54","+0.55","+0.44","+4.29","+2.62","+6.67"
"CSR131^1","+0.43","+0.67","+0.59","+1.06","+5.88","TMO"
"CSR134^1","+0.56","+0.44","+0.50","+0.84","+5.33","TMO"
"SEV382^5","+0.58","+0.41","+0.36","+2.31","+3.20","+0.70"
"SYO114^5","+0.47","+0.48","+0.54","+0.82","+2.83","+0.38"
"NUM754^1","+0.44","+0.45","+0.46","+0.94","+2.23","+0.48"
"CSR144^1","+0.41","+0.40","+0.56","+0.96","+3.61","TMO"
"PUZ094^5","+0.43","+0.37","+0.46","+0.93","+3.32","+0.89"
"SEV055^5","+0.41","+0.45","+0.43","+0.73","+3.12","+27.20"
"SEV162^5","+0.41","+0.42","+0.56","+0.81","+2.91","+0.64"
"MSC020^5","+0.43","+0.42","+0.67","+0.96","TMO","TMO"
"SYO374^5","+0.49","+0.47","+0.44","+0.92","+2.54","+0.45"
"SEV066^5","+0.57","+0.46","+0.48","+7.91","TMO","GUP"
"SEV153^5","TMO","+1.43","+1.71","+8.40","TMO","GUP"
"SEV152^5","TMO","+2.15","+1.89","+7.40","TMO","TMO"
"SYO514^1","+0.49","+0.41","+0.47","+0.76","TMO","+0.47"
"SYO174^5","TMO","+0.45","+0.50","+10.26","TMO","TMO"
"SEV064^5","+0.87","+0.41","+0.44","+7.58","TMO","GUP"
"SYO173^5","+0.49","+0.58","+0.73","+1.09","+2.29","+0.45"
"SYO548^1","GUP","+0.62","+1.12","+1.38","+2.59","TMO"
"SEV100^5","+0.72","+0.50","+0.54","+9.55","TMO","GUP"
"SEV155^5","TMO","+0.76","+0.91","+7.03","TMO","TMO"
"SYO287^5","GUP","+0.35","+0.66","+0.88","+2.27","TMO"
"SEU948^5","+0.55","+1.51","+2.18","+162.89","+69.39","TMO"
"LCL728^5","TMO","+1.65","+2.81","+56.26","TMO","TMO"
"GRA072^2","+1.99","TMO","TMO","TMO","TMO","TMO"
"GRA046^2","+75.36","TMO","TMO","TMO","TMO","TMO"
"GRA048^2","+74.86","TMO","TMO","TMO","TMO","TMO"
"GRA039^1","+56.31","TMO","TMO","TMO","TMO","TMO"
"GRA048^1","+74.86","TMO","TMO","TMO","TMO","TMO"
"GRA039^2","+0.81","TMO","TMO","TMO","TMO","TMO"
"GRA050^1","+74.92","TMO","TMO","TMO","TMO","TMO"
"GRA055^2","+74.85","TMO","TMO","TMO","TMO","TMO"
"GRA067^2","+1.87","TMO","TMO","TMO","TMO","TMO"
"GRA063^2","+1.10","TMO","TMO","TMO","TMO","TMO"
"GRA065^2","+1.11","TMO","TMO","TMO","TMO","TMO"
"GRA034^1","+56.81","TMO","TMO","TMO","TMO","TMO"
"GRA052^2","+75.03","TMO","TMO","TMO","TMO","TMO"
"GRA055^1","+74.76","TMO","TMO","TMO","TMO","TMO"
"GRA044^1","+56.19","TMO","TMO","TMO","TMO","TMO"
"GRA034^2","+0.67","TMO","TMO","TMO","TMO","TMO"
"SYO334^5","+0.49","+0.46","+0.35","+1.11","+5.36","+0.46"
"SEU939^5","+88.35","+17.94","+33.30","+21.48","TMO","TMO"
"SYO288^5","GUP","+0.41","+0.52","+0.76","+2.34","TMO"
"SYO269^5","+14.64","+10.25","TMO","+10.66","TMO","TMO"
"GRA027^1","GUP","TMO","TMO","TMO","TMO","TMO"
"SYO309^5","+0.43","+0.51","+0.56","+1.88","+4.85","GUP"
"SYO209^5","GUP","+0.51","+0.51","+27.31","+7.81","GUP"
"GRA028^1","+1.97","+1.14","+0.66","+23.47","TMO","TMO"
"SEV050^5","GUP","+12.46","TMO","+94.19","TMO","TMO"
"SEV071^5","GUP","TMO","TMO","TMO","TMO","TMO"
"SEU940^5","+0.47","+0.45","+0.59","+0.72","+3.96","TMO"
"SEV113^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SEV072^5","GUP","+1.28","+0.37","+145.69","TMO","TMO"
"SEV317^5","+26.77","+5.05","+8.92","+14.65","TMO","TMO"
"SYO338^5","+28.41","+55.61","+5.30","+115.43","TMO","TMO"
"SYO329^5","GUP","+1.75","+7.92","TMO","TMO","TMO"
"SEV414^5","GUP","TMO","TMO","TMO","TMO","TMO"
"SYO332^5","TMO","+2.12","+2.74","+44.27","TMO","TMO"
"SYO330^5","+0.58","+9.51","+2.71","+9.61","TMO","TMO"
"SEV321^5","+5.91","TMO","+67.33","TMO","TMO","TMO"
"GRA074^2","+1.49","TMO","TMO","TMO","TMO","TMO"
"GRA032^2","+0.63","TMO","TMO","TMO","TMO","TMO"
"GRA029^2","GUP","TMO","TMO","TMO","TMO","TMO"
"SYO533^1","GUP","+0.94","+168.73","+42.01","TMO","TMO"
"SYO326^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SEV305^6","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO509^1","GUP","+0.95","TMO","+41.89","TMO","TMO"
"SEV068^5","TMO","TMO","TMO","TMO","TMO","TMO"
"GRA043^2","+75.12","TMO","TMO","TMO","TMO","TMO"
"SEV305^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SEV069^6","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO275^5","TMO","+3.94","TMO","TMO","TMO","TMO"
