"metric","E 3.5.1","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","Leo‑III 1.8.0","LEO‑II 1.7.0"
"Solved/100","73/100","70/100","67/100","67/100","38/100","26/100"
"Av. WC Time","13.27","2.73","5.00","14.55","5.03","5.54"
"Av. CPU Time","83.69","15.52","29.50","104.01","13.53","5.24"
"Solutions/100","73/100","70/100","67/100","67/100","38/100","26/100"
"μWCEfficiency","545","539","568","346","105","195"
"μEfficiency","496","465","511","301","64","197"
"SotAC","0.33","-","0.23","0.23","0.05","0.01"
"Core Usage/> 1.0","4.90/29","4.44/31","4.35/20","5.59/43","2.06/38","0.00/0"
"Core U. ≤ 1.0","44","39","47","24","0","26"
"New Solved","0/0","0/0","0/0","0/0","0/0","0/0"
"Unique Solved","19/20","1/20","0/20","0/20","0/20","0/20"
