"metric","Vampire 5.0.1","Vampire 5.0","Twee 2.7","FindProof 0.1","CSI_PP 1.0","E 3.5.1","Prover9 2026‑6A","iProver 3.9.4","Drodi 4.1.1","mrs 0.2.0"
"Solved/400","370/400","322/400","286/400","269/400","258/400","255/400","208/400","198/400","163/400","76/400"
"Av. WC Time","11.82","16.57","22.41","25.27","21.54","20.40","21.39","37.85","37.23","36.78"
"Av. CPU Time","52.79","108.33","164.31","166.72","125.14","132.78","159.98","214.51","273.66","229.35"
"Solutions/400","370/400","322/400","286/400","269/400","258/400","255/400","208/400","198/400","163/400","76/400"
"μWCEfficiency","222","295","225","118","261","244","202","73","127","33"
"μEfficiency","110","147","92","26","160","149","117","34","74","20"
"SotAC","0.40","-","0.24","0.21","0.19","0.19","0.15","0.12","0.09","0.02"
"Core Usage/> 1.0","4.09/351","5.22/310","6.40/273","6.50/269","5.02/223","5.27/226","6.23/179","5.05/189","6.65/143","5.75/71"
"Core U. ≤ 1.0","19","12","13","0","35","29","29","9","20","5"
"New Solved","12/21","13/21","7/21","4/21","9/21","8/21","10/21","7/21","3/21","2/21"
"Unique Solved","17/30","3/30","2/30","1/30","1/30","1/30","4/30","1/30","0/30","0/30"
