"problem","Vampire 5.0.1","Vampire 4.8","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","E 3.5.1","Drodi 4.1.1","ConnectPP 0.7.2"
"SWB010+3","+66.97","+413.31","TMO","TMO","TMO","+54.86","TMO","TMO"
"SWX205+1*","+0.21","+0.10","+0.62","GUP","TMO","+0.22","+0.09","TMO"
"LCL657+1.020","+1.04","+1.61","TMO","TMO","TMO","TMO","TMO","TMO"
"MGT069+1*","+34.55","+6.32","TMO","TMO","471.71","TMO","UNK","TMO"
"LCL657+1.010","+0.56","+1.25","TMO","TMO","UNK","TMO","TMO","TMO"
"MGT101+1*","+0.14","+0.10","+47.95","+36.95","+0.36","TMO","UNK","TMO"
"SWB034+1","+12.06","+17.35","+557.86","TMO","TMO","+28.70","TMO","TMO"
"MGT072+1*","+5.82","+0.14","+122.30","+8.96","+58.60","TMO","TMO","TMO"
"MSC013+1","+0.09","+0.14","+2.79","TMO","TMO","+0.16","+0.11","0.14"
"GEO661+1*","+0.03","+0.12","+0.44","+0.86","+0.13","+0.13","+0.13","TMO"
"SWB013+3","+100.12","+403.91","TMO","TMO","TMO","TMO","TMO","TMO"
"MGT100+1*","+0.16","+0.42","+31.32","+10.06","+0.16","TMO","UNK","TMO"
"SWB031+3","+138.18","+478.61","TMO","TMO","TMO","+24.73","TMO","TMO"
"MGT074+1*","+0.70","+0.19","+28.44","+3.88","+4.49","TMO","TMO","TMO"
"CSR155+1","+1.06","+4.84","+47.12","+2.39","+73.77","TMO","TMO","TMO"
"MGT109+1*","+0.14","+0.20","+2.61","+0.94","+0.15","TMO","TMO","TMO"
"SWB025+3","+88.81","+427.92","TMO","TMO","TMO","+20.40","TMO","TMO"
"MGT105+1*","+0.10","+0.75","+2.70","+1.38","+0.14","TMO","UNK","TMO"
"LCL354+1","+0.16","+0.13","+4.42","+0.99","+0.09","TMO","TMO","TMO"
"GEG001+1","+5.03","+20.59","TMO","TMO","TMO","+1.54","TMO","TMO"
"GEO355+1","+0.07","+0.09","+1.73","+1.00","+0.08","TMO","TMO","TMO"
"PLA045+1","+69.30","+54.95","TMO","TMO","TMO","TMO","TMO","TMO"
"SYO645+1","+0.11","+0.12","+0.37","+0.74","+0.09","TMO","+0.09","TMO"
"HWV110+1","+6.18","+40.45","+995.97","TMO","TMO","TMO","TMO","TMO"
"CSR111+2","+0.65","+0.72","+34.82","TMO","TMO","+367.63","+128.80","TMO"
"KLE174+1","+0.13","+0.10","+2.66","+1.21","+0.12","TMO","TMO","0.03"
"KRS176+1","+0.19","+0.18","+1.07","+0.80","TMO","+0.22","+0.11","TMO"
"SWW969+1","+0.19","+0.66","TMO","TMO","TMO","TMO","TMO","TMO"
"SWB027+3","+45.73","+88.01","TMO","TMO","TMO","+52.35","TMO","TMO"
"NLP088+1","+0.10","+0.12","TMO","TMO","UNK","+0.36","+1.71","TMO"
"SWB023+3","+56.83","+306.92","TMO","TMO","TMO","+31.01","TMO","TMO"
"KRS036+1","+0.16","+0.08","+2.22","+0.84","+0.09","+0.21","+0.09","TMO"
"SWB019+4","+0.15","+0.20","+1.36","+1.17","+0.07","+0.17","+0.14","0.12"
"KRS048+1","+0.26","+0.12","+0.90","+0.78","+0.16","+246.28","TMO","TMO"
"SWB030+3","+7.82","+18.37","+109.62","TMO","TMO","+24.33","TMO","TMO"
"SWV485+2","+5.38","+68.61","TMO","TMO","GUP","+30.67","+127.58","TMO"
"SWB011+3","+12.55","+17.83","+109.37","TMO","TMO","+19.76","TMO","TMO"
"HWV116+1","+29.34","+19.47","TMO","TMO","TMO","GUP","TMO","TMO"
"SWV012+1","+0.20","+0.09","+1.84","+0.80","+0.13","+0.22","TMO","0.13"
"KRS037+1","+0.19","+0.14","+1.14","+0.83","+0.08","+0.14","+0.08","TMO"
"SWB026+3","+113.75","+347.39","TMO","TMO","TMO","+92.05","TMO","TMO"
"KRS038+1","+0.11","+0.13","+1.67","+0.83","+0.12","+0.14","+0.16","TMO"
"GEO353+1","+0.22","+0.09","+2.45","GUP","+0.14","TMO","TMO","TMO"
"SWV483+2","+4.80","+21.87","+1361.01","TMO","GUP","+20.84","+61.37","TMO"
"LCL637+1.005","+3.06","+0.74","+23.88","TMO","TMO","+127.51","+331.73","TMO"
"LCL909+1","+0.17","+0.12","+2.52","+0.93","TMO","TMO","+2.63","TMO"
"MED012+1","+0.17","+0.13","+1.62","+0.91","+0.53","TMO","+2.78","TMO"
"KLE175+1","+0.27","+0.09","+1.44","+0.60","+0.04","TMO","TMO","0.11"
"LCL657+1.015","+0.69","+1.24","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL915+1","+0.10","0.13","+2.26","+0.97","+116.42","TMO","TMO","TMO"
"SWB021+3","+91.84","+306.55","TMO","TMO","TMO","+72.14","TMO","TMO"
"HWV071+1","+3.64","+3.36","TMO","+23.48","+10.21","TMO","TMO","TMO"
"SWB022+3","+68.81","+122.84","TMO","TMO","TMO","+7.91","TMO","TMO"
"KRS029+1","+0.10","+0.12","+0.36","+0.56","+0.12","+0.10","+0.16","TMO"
"KRS247+1","+474.78","+820.65","TMO","TMO","TMO","TMO","TMO","TMO"
"SWB036+1","+0.19","+0.23","+1.97","+6.78","+1.36","TMO","+0.49","TMO"
"KRS218+1","+94.70","+303.00","TMO","TMO","TMO","TMO","TMO","TMO"
