"metric","Vampire 5.0.1","Vampire 4.8","iProver 3.9.4","FMB4J 0.1","Mace4 2026‑6A","E 3.5.1","Drodi 4.1.1","ConnectPP 0.7.2"
"Solved/150","143/150","131/150","71/150","51/150","45/150","42/150","41/150","11/150"
"Av. WC Time","11.68","17.37","25.49","9.34","8.99","9.43","6.08","0.36"
"Av. CPU Time","63.01","112.09","125.03","11.25","27.16","31.00","27.87","0.10"
"Solutions/150","143/150","127/150","71/150","51/150","44/150","42/150","41/150","0/150"
"μWCEfficiency","434","411","176","241","229","151","175","73"
"μEfficiency","516","483","161","253","243","168","206","73"
"SotAC","0.58","-","0.19","0.11","0.10","0.12","0.09","0.01"
"Core Usage/> 1.0","4.73/87","5.56/82","3.25/53","1.34/33","4.21/12","4.30/22","4.85/17","0.00/0"
"Core U. ≤ 1.0","56","49","18","18","33","20","24","11"
"New Solved","10/10","10/10","8/10","7/10","8/10","2/10","2/10","0/10"
"Unique Solved","14/16","2/16","0/16","0/16","0/16","0/16","0/16","0/16"
