"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Zipperpin 2.1.9999","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","VIP 1.718","SATResetCoP 1.0","SPASS‑SCL 0.1.1"
"MGT090+1*","+1.45","+0.45","+0.40","+1.01","+1.13","UNK","+2.92","+0.85","+0.38","+0.41","+5.00","+0.45","+0.39","+2.56","UNK","+22.23","GUP"
"COM008+1","+3.81","+2.48","+0.52","+0.54","+1.17","+110.80","+23.66","+68.45","+9.51","+28.13","GUP","UNK","GUP","TMO","+114.80","UNK","TMO"
"MGT082+1*","+1.42","+0.50","+0.40","+0.54","+1.25","UNK","+2.15","+1.26","+0.37","+0.41","+4.00","+0.57","+0.39","+116.17","UNK","+15.54","GUP"
"KRS216+1","+1.50","+0.45","+0.42","+115.46","+1.24","+0.53","+7.13","+0.90","+8.11","+82.18","TMO","+57.40","UNK","+78.16","TMO","UNK","TMO"
"MGT080+1*","+1.50","+0.57","+0.40","+0.48","+1.07","UNK","+2.32","+0.92","+0.47","+0.47","+4.59","+1.72","+0.47","+152.84","UNK","UNK","GUP"
"CSR114+8","+1.74","+0.96","+0.63","+1.50","+55.15","+3.66","+11.01","UNK","+0.65","TMO","GUP","TMO","UNK","+39.60","TMO","UNK","TMO"
"MGT076+1*","+1.45","+0.47","+0.67","+82.51","+1.23","UNK","+1.78","+0.93","+0.47","+0.48","+3.35","+0.41","+0.41","+1.39","UNK","+3.15","GUP"
"CSR048+3","+2.22","+0.70","+0.81","+0.65","+1.28","+0.84","+7.52","+2.02","+0.42","TMO","+24.47","+0.85","+7.14","+20.83","TMO","UNK","+6.83"
"SWX200+1*","+1.43","+0.50","+0.42","+0.52","+1.23","+0.45","+1.62","+0.68","+0.38","+0.39","+3.54","+0.38","+0.38","+73.99","+0.41","+45.83","GUP"
"KRS190+1","+1.38","+0.46","+0.45","+0.52","+1.35","+0.42","+10.24","+0.86","+0.49","+0.84","+2.94","UNK","+0.52","+19.24","+0.48","UNK","+4.93"
"MGT088+1*","+1.73","+0.56","+0.34","+0.44","+1.47","UNK","+1.95","+0.68","+0.39","+0.49","+4.75","+0.48","+0.42","+7.21","UNK","+123.38","GUP"
"CSR058+3","+2.22","+1.37","+1.38","+1.30","+3.32","+0.54","+6.12","+2.69","TMO","TMO","+62.66","+1.02","+18.14","+16.72","+50.38","+62.37","+0.95"
"MGT078+1*","+1.00","+0.46","+0.44","+0.50","+1.07","UNK","+2.08","+0.89","+0.49","+0.43","+5.07","+0.41","+0.40","+21.46","UNK","+6.13","GUP"
"CSR113+13","+2.65","+0.64","+1.18","+0.88","+56.93","+2.93","+20.54","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO"
"GEO111+1","+0.92","+0.47","+0.42","+0.56","+1.15","+0.60","+4.19","+0.89","+0.47","+0.89","TMO","+0.84","UNK","TMO","TMO","UNK","GUP"
"CSR116+10","+1.77","+0.80","+0.99","+1.24","+49.55","+113.44","+9.72","+9.21","+1.80","TMO","GUP","UNK","UNK","TMO","TMO","UNK","TMO"
"GEO085+1","+1.62","+0.51","+0.49","+0.58","+1.20","+0.44","+2.76","+0.85","+0.55","+0.48","+1.62","+0.46","+2.38","+0.58","+61.29","UNK","GUP"
"CSR042+3","+1.84","+0.69","+1.03","+0.75","+4.36","+0.80","+7.40","+2.13","+0.48","TMO","+32.57","+0.85","+6.94","+15.92","TMO","UNK","+2.41"
"GEO117+1","+2.11","+0.52","+0.51","+0.97","+1.32","+0.46","+3.37","+0.86","+0.48","+0.52","+1.58","+0.70","+0.46","+72.46","+49.29","+156.31","GUP"
"NUN080+1","+1.38","+0.52","+0.48","+0.64","+1.33","+0.42","+1.80","+1.33","+0.43","+0.47","+1.95","+0.47","+0.45","+0.51","TMO","+164.15","TMO"
"GRA005+1","+2.33","+0.51","+0.48","+0.61","+1.45","+0.47","+1.99","+0.93","+0.41","+0.47","+1.60","+0.36","+0.99","+73.16","TMO","UNK","GUP"
"CSR044+3","+1.04","+0.64","+0.59","+0.82","+1.32","+2.83","+8.09","+3.53","+0.47","TMO","+40.65","UNK","+13.87","TMO","TMO","UNK","TMO"
"NLP147+1","+1.29","+0.58","+0.46","+0.55","+1.08","+0.40","+3.59","+0.83","+0.42","UNK","+1.08","+0.54","+5.91","TMO","+34.06","UNK","GUP"
"KRS262+1","+1.33","+0.47","+0.41","+0.60","+1.36","+0.41","+4.26","+0.94","+0.46","+0.55","+1.55","+0.65","UNK","+18.40","+0.47","UNK","TMO"
"ALG040+1","+1.51","+0.45","+0.36","+0.54","+1.30","+0.38","+2.65","+0.80","+0.50","+0.41","+2.23","+0.86","UNK","TMO","TMO","UNK","GUP"
"CSR116+13","+1.63","+0.60","+0.96","+0.92","+51.88","+11.70","+8.64","+4.92","+1.47","TMO","GUP","TMO","TMO","TMO","TMO","UNK","TMO"
"LCL484+1","+0.86","+0.43","+0.49","+0.38","+1.33","+0.30","+3.09","+0.97","+0.34","+0.38","+2.96","+0.38","GUP","+1.63","+0.32","UNK","GUP"
"KRS192+1","+1.22","+0.52","+0.44","+115.51","+1.13","+0.40","TMO","+0.57","+98.36","+75.44","TMO","UNK","+3.27","+28.31","+0.52","UNK","TMO"
"NUM840+1","+1.23","+0.45","+0.49","+0.51","+1.39","+0.38","+6.31","+0.86","+0.42","+2.08","+26.23","+3.04","+2.28","+18.70","TMO","+8.09","GUP"
"KRS195+1","+1.10","+0.47","+0.34","+0.70","+1.26","+0.37","+11.06","+0.80","+0.49","+0.49","+6.74","UNK","+0.59","+1.60","+0.48","UNK","+7.57"
"SWV488+3","+1.47","+0.43","+0.40","+0.49","+1.26","+0.42","+3.40","+0.95","+0.37","+0.39","TMO","+0.46","+0.37","+22.37","TMO","UNK","GUP"
"CSR113+30","+2.73","+1.27","+0.84","+0.93","+59.98","+2.29","+20.60","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO"
"SET101+1","+1.52","+0.48","+0.51","+0.50","+1.62","+0.49","+3.47","+4.20","+0.38","+0.50","+21.54","UNK","+0.71","+75.45","TMO","UNK","GUP"
"CSR052+3","+1.64","+0.62","+0.94","+0.91","+1.05","+2.79","+14.86","+27.33","TMO","TMO","+27.50","+1.57","+6.54","+132.85","TMO","UNK","TMO"
"SYN077+1","+1.82","+0.43","+0.41","+0.49","+1.05","+0.37","+1.74","+0.76","+0.36","+0.38","+2.57","+0.52","UNK","+46.50","TMO","+73.13","GUP"
"CSR045+3","+4.77","+0.63","+1.51","+4.71","+22.46","+2.07","+10.36","+3.50","GUP","TMO","TMO","+1.63","+6.77","TMO","TMO","UNK","TMO"
"NUM853+2","+1.24","+0.54","+0.60","+0.54","+1.35","+0.38","+7.71","+2.44","+0.53","+1.45","+20.66","+6.09","+0.80","+10.78","TMO","+9.34","GUP"
"CSR113+4","+2.73","+0.73","+0.84","+0.92","+52.78","+1.67","+12.62","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWX185+1*","+8.54","+1.30","TMO","UNK","+6.32","+64.55","+8.53","+132.92","+1.91","+2.45","+7.50","TMO","UNK","TMO","TMO","UNK","GUP"
"SWV014+1","+1.54","+0.42","+0.42","+0.57","+1.25","+0.42","+1.99","+0.75","+0.77","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"MGT077+1*","+1.45","+0.44","+0.42","+0.49","+1.23","UNK","+1.88","+0.86","+0.53","+0.52","+9.02","+0.62","+0.70","+72.47","UNK","+43.94","GUP"
"KRS187+1","+1.33","+0.43","+0.48","+0.50","+1.24","+0.43","+20.42","+0.85","+0.53","+0.63","+4.84","UNK","+0.39","+19.09","+0.47","UNK","+4.90"
"MGT079+1*","+1.08","+0.47","+0.43","+0.50","+1.23","UNK","+4.86","+0.80","+0.74","+9.62","+4.86","+15.07","+0.50","TMO","UNK","UNK","GUP"
"GEO260+1","+1.89","+0.54","+0.41","+0.69","+1.34","+0.83","+12.91","+2.47","+0.40","+0.39","TMO","+0.56","+4.86","+38.04","TMO","+123.27","+0.49"
"MGT086+1*","+1.30","+0.47","+0.34","+0.51","+1.22","UNK","+2.59","+0.71","+0.43","+0.43","+3.20","+1.03","+0.52","+149.44","UNK","UNK","GUP"
"KRS251+1","+0.89","+0.46","+21.22","+1.92","+1.83","+0.65","TMO","UNK","TMO","TMO","TMO","UNK","UNK","+90.40","TMO","UNK","TMO"
"SEV608+1*","+2.63","+0.94","+0.97","+0.63","+3.23","+118.50","+11.22","+2.26","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"KRS234+1","+1.44","+0.59","+0.41","+0.50","+0.94","+0.45","+4.43","+0.88","+0.59","+0.88","+7.37","UNK","+1.45","+18.49","+8.74","UNK","TMO"
"MGT085+1*","+1.35","+0.44","+0.45","+0.50","+1.14","UNK","+5.98","+1.43","+0.52","+0.40","+4.73","+16.73","+0.70","+90.40","UNK","+46.15","GUP"
"CSR054+3","+1.51","+0.56","+0.93","+0.69","+2.67","+0.74","+11.12","+2.11","+0.34","TMO","+47.55","+5.94","+12.33","+47.48","TMO","UNK","+0.67"
"SEV644+1*","+3.16","+1.07","+0.83","+0.78","+2.43","TMO","+9.61","+1.79","TMO","TMO","TMO","TMO","+7.26","TMO","TMO","UNK","GUP"
"CSR115+8","+1.44","+0.78","+1.38","+1.06","+2.46","+19.86","+9.26","+4.24","+0.71","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
