"metric","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Zipperpin 2.1.9999","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","VIP 1.718","SATResetCoP 1.0","SPASS‑SCL 0.1.1"
"Solved/400","381/400","328/400","264/400","264/400","250/400","204/400","199/400","192/400","143/400","92/400","91/400","79/400","73/400","64/400","26/400","20/400","14/400"
"Av. WC Time","9.47","8.05","10.56","14.05","22.95","21.40","18.52","19.62","12.99","14.74","19.80","12.57","16.69","59.59","29.90","70.52","21.91"
"Av. CPU Time","45.05","49.78","63.38","59.31","109.63","148.24","73.36","127.31","89.15","13.24","139.74","87.59","77.57","59.25","29.62","70.21","21.60"
"Solutions/400","381/400","328/400","264/400","264/400","248/400","203/400","199/400","192/400","143/400","92/400","91/400","79/400","73/400","64/400","26/400","20/400","14/400"
"μWCEfficiency","309","538","419","408","176","285","74","196","208","134","46","106","92","22","23","3","12"
"μEfficiency","193","413","375","366","112","222","19","155","155","140","10","80","69","22","23","3","12"
"SotAC","0.59","-","0.32","0.32","0.30","0.23","0.22","0.20","0.13","0.07","0.07","0.06","0.05","0.04","0.01","0.01","0.01"
"Core Usage/> 1.0","3.54/346","3.94/236","4.89/142","4.56/139","4.00/231","6.00/126","5.14/192","4.92/143","5.28/98","0.00/0","6.42/91","5.05/59","3.96/54","0.00/0","0.00/0","0.00/0","0.00/0"
"Core U. ≤ 1.0","35","92","122","125","19","78","7","49","45","92","0","20","19","64","26","20","14"
"New Solved","71/79","70/79","55/79","55/79","54/79","29/79","52/79","47/79","25/79","22/79","18/79","18/79","21/79","13/79","2/79","9/79","0/79"
"Unique Solved","45/48","3/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48","0/48"
