"metric","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"Solved/400","354/400","352/400","347/400","324/400","160/400","67/400"
"Av. WC Time","6.82","6.49","16.66","10.70","14.44","10.98"
"Av. CPU Time","40.78","37.68","115.54","45.80","43.04","10.13"
"Solutions/400","354/400","352/400","347/400","323/400","160/400","67/400"
"μWCEfficiency","576","615","334","593","83","110"
"μEfficiency","441","485","261","548","47","116"
"SotAC","-","0.32","0.31","0.29","0.07","0.01"
"Core Usage/> 1.0","4.16/238","3.89/212","5.66/268","4.18/129","2.51/160","0.00/0"
"Core U. ≤ 1.0","116","140","79","195","0","67"
"New Solved","31/31","31/31","29/31","28/31","7/31","0/31"
"Unique Solved","3/31","3/31","1/31","23/31","1/31","0/31"
