"problem","Vampire 5.0.1","Vampire 5.0","Twee 2.7","FindProof 0.1","CSI_PP 1.0","E 3.5.1","Prover9 2026‑6A","iProver 3.9.4","Drodi 4.1.1","mrs 0.2.0"
"NUN135‑1.006*","+2.02","+0.49","+0.77","+1.47","+0.67","+0.41","+7.74","+1.97","+0.99","+13.38"
"SWX203‑1*","+10.49","+9.78","+2.08","+10.53","+1.36","+1.75","+0.88","+10.22","TMO","UNK"
"GRP186‑1","+3.07","+7.18","+1.23","+3.25","+2.07","+1.96","+6.64","+51.59","+26.91","UNK"
"GRP705‑1","+3.32","+1.22","+1.64","+6.15","+1.10","+1.18","+5.41","+4.69","+5.98","TMO"
"RNG020‑7","+1.13","+0.56","TMO","+1.11","+0.53","+0.44","+0.35","+1.37","TMO","TMO"
"GRP422‑1","+3.71","+1.52","+0.48","+4.46","+1.30","+0.80","+3.76","+2.78","+0.97","+11.65"
"GRP469‑1","+2.60","+1.57","+1.36","+1.91","+0.81","+0.67","+1.02","+1.40","+21.45","+38.35"
"GRP167‑3","+2.59","+1.04","+0.98","+2.28","+0.97","+2.77","+6.96","+33.19","+40.36","+64.09"
"GRP442‑1","+2.19","+1.20","+0.59","+1.71","+0.67","+0.63","+1.09","+2.72","+0.90","+7.01"
"COL044‑1","+3.16","+1.17","+0.50","+86.79","+0.61","+0.56","+0.60","+2.44","+0.44","UNK"
"BOO023‑1","+4.32","+3.33","+2.64","+3.77","+0.67","+0.76","+0.90","+15.54","+131.67","UNK"
"COL002‑4","+1.52","+0.44","+0.32","+0.69","+0.43","+0.64","+0.38","+1.27","+0.47","+0.50"
"RNG026‑7","+1.96","+0.47","TMO","+2.71","+0.46","+0.44","+0.34","+1.36","TMO","UNK"
"LAT044‑1","+4.47","+2.24","+0.62","+1.48","+4.39","+5.62","+2.70","+3.23","+1.75","TMO"
"REL031‑1","+2.30","+2.31","+0.59","+10.56","+0.68","+0.49","+1.45","+1.90","+7.18","+1.87"
"RNG019‑7","+1.42","+0.60","TMO","+1.54","+0.62","+0.58","+0.35","+1.26","TMO","UNK"
"REL050‑1","+2.33","+0.69","+0.59","+2.16","+0.75","+0.47","+1.54","+1.90","+1.75","+38.56"
"GRP183‑3","+3.89","+1.25","+0.79","+1.74","+1.76","+1.70","+4.97","+3.15","+2.66","+113.10"
"PUZ039‑10","+2.12","+0.69","+0.84","+1.90","+2.69","+1.90","GUP","+4.48","+1.74","UNK"
"GRP772‑1","+5.02","+1.83","+7.86","+25.62","+0.63","+0.58","+2.84","+47.91","+30.63","+2.86"
"GRP472‑1","+1.81","+0.79","+2.05","+4.48","+0.66","+0.44","+0.67","+1.81","+4.76","+8.99"
"GRP439‑1","+3.04","+16.48","+1.80","+1.78","+0.63","+0.48","+1.74","+4.43","+3.08","+2.75"
"GRP419‑1","+4.62","+0.82","+0.57","+5.72","+1.07","+0.66","+5.48","+3.39","+1.35","+48.98"
"ANA034‑10","+1.11","+0.51","TMO","+3.38","+0.47","+0.35","+0.38","+1.03","+0.35","+1.50"
"GRP597‑1","+1.15","+0.52","+0.47","+1.09","+0.50","+0.40","+0.35","+1.25","+0.47","+1.07"
"LCL160‑1","+1.20","+0.51","+0.43","+3.02","+0.97","+0.68","+2.21","+2.44","+1.21","+30.65"
"REL027‑1","+2.22","+2.18","+2.00","+2.67","+0.64","+1.02","+0.95","+6.25","TMO","UNK"
"GRP656‑10","+1.36","+0.47","+0.44","+1.10","+0.65","+0.50","+0.35","+1.36","+0.65","+0.56"
"LCL203‑10","+1.88","+3.44","+1.56","+2.93","+0.86","+0.55","+0.57","+5.23","+7.80","+28.06"
"KLE145‑10","+3.04","+6.13","+7.86","+7.92","+2.27","+1.53","+4.55","+49.86","+54.15","UNK"
"GRP404‑1","+4.22","+2.53","+1.09","+1.62","+1.71","+1.26","+5.55","+17.99","+23.72","+50.24"
"GRP667‑3","+4.52","+14.08","+10.30","+173.94","+3.59","+4.75","+3.64","TMO","+171.67","TMO"
"SYN563‑10","+3.50","+0.58","+0.45","+1.28","+0.66","+1.09","+0.62","+1.42","+0.63","UNK"
"KLE044‑10","+2.64","+7.80","+8.23","+9.26","+12.06","+1.39","+4.01","+36.85","+26.92","+4.00"
"REL024‑2","+1.57","+0.38","+0.85","+2.61","+0.54","+0.68","+0.84","+4.93","+4.09","+4.12"
"RNG021‑6","+1.45","+0.50","+31.81","+1.44","+0.51","+0.50","+0.38","+1.38","TMO","UNK"
"GRP660‑10","+3.48","+2.96","+0.70","+5.12","+0.63","+1.21","+0.57","+14.81","+144.45","TMO"
"LAT022‑1","+2.56","+2.12","+1.12","+3.65","+1.44","+4.51","+1.04","+10.35","+26.46","TMO"
"LCL109‑2","+3.32","+2.04","+1.02","+4.91","+0.84","+1.34","+5.76","+31.38","+12.46","+42.75"
"GRP557‑1","+1.48","+0.47","+0.45","+1.05","+0.50","+0.52","+0.39","+1.46","+0.42","+1.67"
"SWX239‑1*","+2.38","+1.37","+1.45","TMO","+0.74","+0.63","+0.97","+4.43","+1.40","+45.73"
"LAT095‑1","+2.23","+0.96","+2.37","+42.06","+0.41","+0.48","GUP","+97.60","+48.68","+29.89"
"REL012‑1","+1.73","+2.93","+1.89","+14.41","+0.60","+0.71","+2.56","+39.76","+2.03","+25.29"
"LAT392‑1","+2.68","+1.09","+21.80","+38.74","+0.82","+0.75","GUP","TMO","+66.36","+28.84"
"COL034‑1","+2.29","+0.52","+3.95","+1.13","+0.97","+1.32","+0.97","+6.50","+0.35","TMO"
"COL037‑1","+2.89","+1.48","+0.62","+3.60","+0.59","+1.47","+0.42","+1.70","+0.53","TMO"
"LAT097‑1","+2.27","+0.53","+2.11","+72.68","+0.53","+0.46","GUP","+3.47","TMO","+20.99"
"GRP752‑1","+6.64","+23.20","+3.60","+23.68","+0.75","+0.81","+66.17","+169.03","+86.87","UNK"
"COL044‑6","+2.61","+1.16","+0.64","+1.49","+0.65","+10.52","+0.38","+4.89","+1.76","TMO"
"COL049‑1","+1.79","+0.87","+1.34","+3.46","+0.50","+0.44","+0.78","+5.83","+0.37","UNK"
"LAT094‑1","+2.40","+0.72","+1.76","+16.08","+0.64","+0.44","GUP","+2.19","+36.45","+28.44"
"LCL026‑10","+3.88","+13.33","+8.11","+4.48","+2.79","+1.65","+2.15","+114.52","+73.79","+94.10"
"LAT086‑1","+3.18","+0.71","+1.74","+157.91","+0.68","+0.61","GUP","+4.48","TMO","+62.18"
"GRP696‑1","+4.25","+0.58","+0.81","+3.18","+6.69","+5.41","+1.01","+2.41","+1.09","+80.13"
"GRP178‑2","+2.55","+1.54","+2.55","+6.37","+40.71","+31.33","+40.26","+8.46","+15.91","+7.72"
"LCL400‑10","+2.70","+54.98","+9.03","+2.45","+9.09","+6.52","+1.44","+98.80","+14.44","+56.11"
"CSR051‑10","+2.74","+0.67","+113.36","+62.78","+0.70","+0.63","+0.42","+12.35","+5.35","+0.48"
"GRP416‑1","+2.48","+1.68","+2.02","+4.38","+4.15","+0.73","+1.16","+9.55","+73.60","+4.72"
"RNG009‑5","+3.03","+1.26","+6.51","+5.32","+1.14","+2.49","TMO","+30.73","TMO","UNK"
"KLE084‑10","+2.13","+1.03","+1.01","+2.04","+1.91","+3.00","+49.96","+3.93","+57.19","+165.49"
"REL042‑2","+3.78","+1.84","+1.10","+5.52","+0.80","+0.61","+1.34","+27.11","+1.19","TMO"
"LAT080‑1","+1.78","+0.76","+1.70","+82.62","+0.52","+0.58","GUP","+1.97","TMO","+45.81"
"REL043‑2","+3.36","+1.48","+1.45","+2.75","+1.01","+0.71","+8.30","+13.33","+1.76","UNK"
"LCL218‑10","+4.14","+1.12","+2.84","+0.86","+4.52","+4.32","+10.02","+42.02","+51.95","UNK"
"REL041‑2","+2.49","+2.16","+1.13","+6.07","+4.91","+2.04","+1.16","+76.29","+165.79","UNK"
"GRP179‑1","+2.30","+1.10","+0.69","+3.00","+0.85","+0.81","+4.02","+5.05","+0.66","+44.50"
"LAT096‑1","+2.14","+0.80","+2.63","+52.84","+0.63","+0.50","GUP","+95.95","+51.69","+27.00"
"ANA133‑1","+2.10","+1.42","+0.88","+66.76","+2.06","+2.11","+11.96","+4.45","+0.76","UNK"
"REL050‑3","+3.68","+0.89","+0.71","+1.19","+0.61","+0.45","+1.96","+6.02","+2.42","+55.57"
"COL041‑1","+1.47","+0.66","+0.68","+1.26","+0.48","+0.44","+0.35","+22.15","+0.36","TMO"
"LAT092‑1","+1.71","+0.53","+1.33","+31.72","+0.54","+0.49","GUP","+2.91","+47.08","+30.08"
"COL065‑1","+2.47","+8.40","+15.05","TMO","+1.97","+1.93","+33.74","+94.61","+70.52","UNK"
"REL045‑2","+3.30","+0.92","+3.02","+13.50","+4.40","+1.61","+0.54","+36.21","+1.96","TMO"
"REL010‑2","+1.58","+1.53","+2.22","+3.57","+0.63","+0.67","+0.82","+6.22","+1.60","+41.85"
"RNG021‑7","+1.47","+0.57","TMO","+1.39","+0.46","+0.49","+0.39","+1.47","TMO","TMO"
"RNG009‑7","+7.04","+1.42","+11.56","+7.00","+1.08","+0.72","+24.45","+9.54","+55.38","UNK"
"ALG245‑1","+2.11","+0.73","+142.55","+2.28","+0.81","+0.61","+0.63","+2.42","+0.75","+111.27"
"REL024‑1","+1.73","+0.67","+0.87","+5.29","+0.56","+0.44","+0.72","+91.79","+1.41","+2.35"
"COL036‑1","+3.01","+1.44","+0.48","+7.88","+2.86","+1.65","+0.40","+6.00","+0.48","+68.11"
"LAT083‑1","+2.76","+0.52","+1.85","+92.06","+0.64","+0.41","GUP","+2.34","UNK","+43.28"
"GRP048‑10","+4.29","+0.99","+14.52","+1.67","+0.78","+0.83","UNK","+1.67","+1.54","+88.93"
"LAT087‑1","+1.53","+0.99","+1.63","+106.82","+0.65","+0.60","GUP","+4.27","TMO","+20.44"
"BOO073‑1","+5.20","+25.87","+3.75","+3.22","+4.32","+4.95","+1.89","TMO","TMO","TMO"
"REL012‑2","+2.24","+1.02","+1.97","+8.65","+1.11","+8.05","+4.53","+15.03","+1.73","+25.10"
"LAT093‑1","+2.02","+1.09","+1.89","+65.34","+0.63","+0.60","GUP","+97.16","+169.72","+32.58"
"REL025‑1","+2.26","+7.67","+2.45","+4.51","+0.93","+0.77","+1.29","TMO","TMO","UNK"
"REL026‑3","+2.54","+3.28","+2.41","+7.73","+1.47","+2.48","+1.72","TMO","+47.12","TMO"
"REL031‑2","+3.28","+2.96","+0.59","+10.95","+0.59","+0.79","+3.61","+7.34","+3.56","TMO"
"LAT081‑1","+2.06","+1.14","+2.39","+124.50","+0.71","+0.63","GUP","TMO","TMO","+40.21"
"LAT017‑1","+2.47","+1.13","+0.51","+2.74","+8.01","+90.71","+0.73","+2.73","+3.21","+13.96"
"CSR072‑10","+1.71","+0.73","+42.74","+31.14","+0.62","+0.80","+0.42","+6.99","+0.61","+0.49"
"LAT241‑10","+2.15","+16.02","+1.42","+4.22","+0.62","+0.65","+25.08","+64.36","TMO","UNK"
"REL027‑3","+2.30","+4.04","+1.84","+4.01","+0.83","+0.81","+1.42","+137.78","TMO","UNK"
"REL026‑1","+2.61","+18.79","+2.58","+11.32","+1.13","+1.88","+1.90","+85.50","TMO","UNK"
"GRP681‑1","+3.70","+1.30","+1.86","+7.52","+1.46","+8.50","+102.98","+12.08","TMO","UNK"
"LAT168‑1","+2.46","+0.96","+4.00","+3.08","+11.94","+2.37","+11.63","+1.65","+0.73","TMO"
"COL044‑7","+2.00","+1.11","+1.09","+1.34","+0.52","+21.33","+0.77","+4.94","+0.79","UNK"
"LAT389‑1","+2.58","+1.82","+4.55","+80.16","+0.66","+0.93","GUP","+149.33","TMO","+82.86"
"GRP667‑2","+6.94","+13.58","+20.32","+154.50","+3.45","+3.53","UNK","TMO","TMO","TMO"
"LAT390‑1","+3.18","+2.32","+9.53","+64.59","+0.64","+0.47","GUP","TMO","TMO","+18.17"
"GRP697‑1","+3.50","+0.47","+0.54","+1.41","+2.95","+1.93","+0.56","+2.35","+0.52","+34.08"
"GRP751‑1","+8.96","+1.69","+5.78","+7.83","+0.56","+0.85","+78.51","TMO","+85.54","+45.72"
"RNG025‑6","+1.74","+3.39","+7.77","+33.38","+0.96","+2.44","+1.80","TMO","TMO","TMO"
"GRP667‑10","+2.72","+26.07","+15.37","TMO","+9.63","+15.20","+4.18","TMO","TMO","TMO"
"COL006‑7","+2.24","+1.07","+0.82","+1.28","+39.56","+28.85","+0.38","+24.57","+30.68","TMO"
"PLA017‑10","+2.81","+0.43","TMO","+1.66","+0.59","+0.59","+1.13","+1.95","+0.40","+20.59"
"LAT082‑1","+3.16","+0.94","+3.05","TMO","+1.42","+1.94","GUP","TMO","TMO","TMO"
"COL006‑5","+1.73","+1.07","+0.99","+7.84","+49.80","+35.22","+0.55","+25.92","+3.49","TMO"
"LCL113‑10","+2.00","+37.30","+81.52","+13.68","+47.40","+14.61","+108.52","TMO","+100.24","TMO"
"ALG240‑1","+2.11","+1.85","+173.43","+2.05","+3.29","+3.28","+0.62","+1.84","+1.01","TMO"
"REL044‑2","+3.11","+1.76","+3.42","+7.18","+0.87","+0.76","+3.78","+79.27","+3.00","UNK"
"COL009‑1","+2.06","+0.96","+4.97","+3.78","+84.65","+2.97","+0.41","+1.95","+0.34","TMO"
"GRP655‑12","+26.33","+6.94","+1.91","+4.39","+2.63","+2.26","UNK","+47.97","+126.95","TMO"
