pair,variant,seconds,exit
1,parent,2.1230679,0
1,candidate,3.5080744,0
2,candidate,1.8916760,0
2,parent,1.8988504,0
3,parent,1.8818348,0
3,candidate,1.9726776,0
4,candidate,2.0047472,0
4,parent,2.1069446,0
5,parent,2.0889670,0
5,candidate,2.2109480,0
6,candidate,2.1896782,0
6,parent,2.1316922,0
7,parent,2.0926408,0
7,candidate,1.9409306,0
8,candidate,1.9236290,0
8,parent,2.0483292,0
9,parent,1.9867529,0
9,candidate,1.9456920,0
10,candidate,1.9862470,0
10,parent,1.8841223,0
11,parent,1.9683447,0
11,candidate,1.8798473,0
12,candidate,1.8851386,0
12,parent,1.8323376,0
13,parent,1.9338913,0
13,candidate,1.8170078,0
14,candidate,1.9704923,0
14,parent,2.0712003,0
15,parent,2.0942892,0
15,candidate,1.9217298,0
16,candidate,1.9394113,0
16,parent,1.9730868,0
17,parent,2.0895543,0
17,candidate,2.0578616,0
18,candidate,2.0651345,0
18,parent,1.9914530,0
19,parent,2.3155657,0
19,candidate,2.2333486,0
20,candidate,1.9433697,0
20,parent,1.9732925,0
21,parent,1.9730394,0
21,candidate,1.8650772,0
22,candidate,2.0263377,0
22,parent,1.9265766,0
23,parent,1.9732651,0
23,candidate,2.0263852,0
24,candidate,2.0710490,0
24,parent,2.3309948,0
25,parent,1.9264152,0
25,candidate,2.1014019,0
26,candidate,1.8495141,0
26,parent,1.9075903,0
27,parent,1.9341580,0
27,candidate,1.9604270,0
28,candidate,1.9060371,0
28,parent,1.9285801,0
29,parent,2.0318051,0
29,candidate,1.8878804,0
30,candidate,1.9318665,0
30,parent,1.8893164,0
31,parent,1.8934413,0
31,candidate,1.9098109,0
32,candidate,2.0683193,0
32,parent,2.0174163,0
