pair,variant,seconds,exit
1,parent,1.8450862,0
1,candidate,1.9375592,0
2,candidate,1.8845061,0
2,parent,1.7895090,0
3,parent,1.9997644,0
3,candidate,1.8342856,0
4,candidate,1.8487901,0
4,parent,1.8308411,0
5,parent,1.9287215,0
5,candidate,1.8099522,0
6,candidate,1.8312929,0
6,parent,1.8559701,0
7,parent,1.9725756,0
7,candidate,1.8728497,0
8,candidate,1.9387526,0
8,parent,1.8530298,0
9,parent,1.8575680,0
9,candidate,1.9048131,0
10,candidate,1.7532637,0
10,parent,1.8889919,0
11,parent,1.8071156,0
11,candidate,1.9024713,0
12,candidate,1.8445075,0
12,parent,1.8844018,0
13,parent,1.8317591,0
13,candidate,1.8493821,0
14,candidate,1.8784229,0
14,parent,1.8685893,0
15,parent,1.8469554,0
15,candidate,1.8544143,0
16,candidate,1.8322223,0
16,parent,1.8256426,0
