pair,variant,seconds,exit
1,parent,2.0312254,0
1,candidate,1.9595694,0
2,candidate,2.0498964,0
2,parent,1.9829152,0
3,parent,1.9518770,0
3,candidate,1.9171997,0
4,candidate,1.9453132,0
4,parent,1.8942085,0
5,parent,1.9760030,0
5,candidate,1.9848121,0
6,candidate,1.9794933,0
6,parent,2.0741843,0
7,parent,2.1659079,0
7,candidate,1.9378112,0
8,candidate,1.8897646,0
8,parent,1.9503852,0
9,parent,1.9951139,0
9,candidate,1.9064265,0
10,candidate,2.5928009,0
10,parent,2.2673406,0
11,parent,2.1398499,0
11,candidate,2.1801660,0
12,candidate,2.1153372,0
12,parent,2.1349045,0
13,parent,2.8223900,0
13,candidate,2.3919716,0
14,candidate,2.2600242,0
14,parent,2.0960721,0
15,parent,2.1366833,0
15,candidate,2.0885409,0
16,candidate,2.1611099,0
16,parent,2.2041074,0
