pair,variant,seconds,exit
1,parent,1.8426367,0
1,candidate,1.9388682,0
2,candidate,1.8298713,0
2,parent,1.8963036,0
3,parent,1.8219308,0
3,candidate,1.8923507,0
4,candidate,1.8959387,0
4,parent,1.9200835,0
5,parent,1.8205898,0
5,candidate,1.8942463,0
6,candidate,1.8638417,0
6,parent,1.8385416,0
7,parent,1.7850244,0
7,candidate,1.8286101,0
8,candidate,1.8797877,0
8,parent,1.9035863,0
9,parent,1.8008934,0
9,candidate,1.9601867,0
10,candidate,1.9029672,0
10,parent,1.8099239,0
11,parent,1.8699377,0
11,candidate,1.8672623,0
12,candidate,1.8443147,0
12,parent,1.8868128,0
13,parent,1.8651700,0
13,candidate,1.8503178,0
14,candidate,1.9159405,0
14,parent,1.7502782,0
15,parent,1.9025072,0
15,candidate,1.8560045,0
16,candidate,1.8867629,0
16,parent,1.8392091,0
