pair,variant,seconds,exit
1,parent,1.9314220,0
1,candidate,1.7965352,0
2,candidate,1.9794301,0
2,parent,1.9214773,0
3,parent,1.8411885,0
3,candidate,1.7774277,0
4,candidate,1.7759230,0
4,parent,1.7812875,0
5,parent,1.8166980,0
5,candidate,1.7867416,0
6,candidate,1.8033641,0
6,parent,1.8029862,0
7,parent,1.7805085,0
7,candidate,1.8569209,0
8,candidate,1.8617626,0
8,parent,1.8597308,0
9,parent,1.8118757,0
9,candidate,1.7599263,0
10,candidate,1.7804043,0
10,parent,1.8657982,0
11,parent,1.8604387,0
11,candidate,1.8119119,0
12,candidate,1.8236924,0
12,parent,1.8431913,0
13,parent,1.8435188,0
13,candidate,1.8604933,0
14,candidate,1.9638633,0
14,parent,1.7785390,0
15,parent,1.7841391,0
15,candidate,1.8110364,0
16,candidate,1.8525288,0
16,parent,1.8453228,0
