pair,variant,seconds,exit
1,parent,1.9629132,0
1,candidate,1.9425590,0
2,candidate,1.9700411,0
2,parent,1.9749027,0
3,parent,1.9119934,0
3,candidate,1.8988558,0
4,candidate,2.0219322,0
4,parent,1.8254279,0
5,parent,2.0091251,0
5,candidate,1.8755332,0
6,candidate,2.0166707,0
6,parent,1.9483765,0
7,parent,2.0092778,0
7,candidate,1.8523081,0
8,candidate,1.9998098,0
8,parent,1.9037792,0
9,parent,1.9964582,0
9,candidate,1.9190351,0
10,candidate,1.9593702,0
10,parent,1.9191561,0
11,parent,1.9918734,0
11,candidate,1.8689480,0
12,candidate,1.9313753,0
12,parent,1.9026070,0
13,parent,1.9788620,0
13,candidate,1.9061188,0
14,candidate,2.1051543,0
14,parent,1.9352640,0
15,parent,1.9029272,0
15,candidate,1.9675007,0
16,candidate,1.8121003,0
16,parent,2.0294533,0
