pair,variant,seconds,exit
1,parent,1.9983312,0
1,candidate,2.0175082,0
2,candidate,2.0652143,0
2,parent,2.0155898,0
3,parent,2.0199817,0
3,candidate,2.0883603,0
4,candidate,1.8649164,0
4,parent,2.0853723,0
5,parent,1.9898226,0
5,candidate,2.0117549,0
6,candidate,2.1327713,0
6,parent,2.1984904,0
7,parent,1.9583069,0
7,candidate,1.9900055,0
8,candidate,2.0192057,0
8,parent,1.9476115,0
9,parent,1.9694321,0
9,candidate,2.0846158,0
10,candidate,1.9577951,0
10,parent,2.0103233,0
11,parent,1.9511431,0
11,candidate,1.9812420,0
12,candidate,2.0506090,0
12,parent,1.9856898,0
13,parent,1.9940020,0
13,candidate,1.9541568,0
14,candidate,2.0807285,0
14,parent,1.9044885,0
15,parent,2.0169170,0
15,candidate,1.8983081,0
16,candidate,1.9989384,0
16,parent,1.9538433,0
