pair,variant,seconds,exit
1,parent,2.0718288,0
1,candidate,2.0854652,0
2,candidate,1.9956707,0
2,parent,1.9477459,0
3,parent,1.9470866,0
3,candidate,1.9693266,0
4,candidate,2.0605592,0
4,parent,1.9356052,0
5,parent,2.1128583,0
5,candidate,2.0066958,0
6,candidate,1.9117340,0
6,parent,2.4748869,0
7,parent,2.0043886,0
7,candidate,1.9837788,0
8,candidate,2.0184935,0
8,parent,2.0704158,0
9,parent,1.9078284,0
9,candidate,2.0121244,0
10,candidate,1.9202878,0
10,parent,1.9748870,0
11,parent,1.9268329,0
11,candidate,2.0127774,0
12,candidate,1.9085590,0
12,parent,2.0018091,0
13,parent,1.8999663,0
13,candidate,2.0907120,0
14,candidate,1.9582296,0
14,parent,1.9498864,0
15,parent,1.9726735,0
15,candidate,2.0068982,0
16,candidate,1.9371071,0
16,parent,1.9584582,0
17,parent,1.9880955,0
17,candidate,1.9047771,0
18,candidate,1.9861263,0
18,parent,2.0015377,0
19,parent,2.0316113,0
19,candidate,1.9128963,0
20,candidate,1.9242952,0
20,parent,1.9743217,0
21,parent,1.8305256,0
21,candidate,2.0137501,0
22,candidate,1.9228436,0
22,parent,1.9319263,0
23,parent,1.9129683,0
23,candidate,1.9935366,0
24,candidate,1.9179103,0
24,parent,2.0382845,0
25,parent,1.8261460,0
25,candidate,1.9905946,0
26,candidate,1.9141965,0
26,parent,1.9386634,0
27,parent,1.8945587,0
27,candidate,2.0008154,0
28,candidate,1.8724973,0
28,parent,1.9408025,0
29,parent,1.8894683,0
29,candidate,1.9340104,0
30,candidate,1.9461314,0
30,parent,2.0447515,0
31,parent,1.9273279,0
31,candidate,1.9320081,0
32,candidate,1.8605489,0
32,parent,1.8833063,0
33,parent,2.0254409,0
33,candidate,1.8447065,0
34,candidate,2.0287611,0
34,parent,1.9660671,0
35,parent,1.9258462,0
35,candidate,1.9172233,0
36,candidate,2.0046062,0
36,parent,1.9236573,0
37,parent,1.9397330,0
37,candidate,1.8495480,0
38,candidate,1.8993292,0
38,parent,1.9012043,0
39,parent,1.9723006,0
39,candidate,1.8587938,0
40,candidate,1.9314385,0
40,parent,1.9429512,0
41,parent,1.9277378,0
41,candidate,1.9177362,0
42,candidate,1.9084757,0
42,parent,1.9324994,0
43,parent,2.0060702,0
43,candidate,1.9237346,0
44,candidate,1.9018540,0
44,parent,1.9996820,0
45,parent,1.8000592,0
45,candidate,1.9931090,0
46,candidate,1.9338880,0
46,parent,1.9289486,0
47,parent,1.8806336,0
47,candidate,1.9862027,0
48,candidate,1.8442311,0
48,parent,1.9316565,0
