pair,variant,seconds,exit
1,parent,2.0459670,0
1,candidate,2.0171170,0
2,candidate,2.0414568,0
2,parent,1.9746048,0
3,parent,2.0221698,0
3,candidate,2.0523379,0
4,candidate,1.9733344,0
4,parent,2.1024100,0
5,parent,1.8869052,0
5,candidate,2.2056810,0
6,candidate,2.0994374,0
6,parent,2.1090448,0
7,parent,1.9868540,0
7,candidate,2.0522523,0
8,candidate,2.0321458,0
8,parent,2.0884619,0
9,parent,1.9349316,0
9,candidate,2.0303446,0
10,candidate,2.0188639,0
10,parent,1.9979204,0
11,parent,2.0246418,0
11,candidate,2.0009036,0
12,candidate,2.0663870,0
12,parent,1.8722276,0
13,parent,2.0458286,0
13,candidate,1.9888433,0
14,candidate,2.0108160,0
14,parent,1.9447214,0
15,parent,2.0913347,0
15,candidate,1.9272852,0
16,candidate,2.0376265,0
16,parent,1.9559218,0
