pair,variant,seconds,cpu_seconds,exit,proof
1,parent,2.2303010,,0,true
1,candidate,2.3380301,,0,true
2,candidate,2.1974620,,0,true
2,parent,2.2311318,,0,true
3,parent,2.3389062,,0,true
3,candidate,2.1819553,,0,true
4,candidate,2.3977765,,0,true
4,parent,2.2608222,,0,true
5,parent,2.3227612,,0,true
5,candidate,2.2309372,,0,true
6,candidate,2.3519529,,0,true
6,parent,2.2064190,,0,true
7,parent,2.2613551,,0,true
7,candidate,2.2456440,,0,true
8,candidate,2.2081781,,0,true
8,parent,2.3053723,,0,true
9,parent,2.0693486,,0,true
9,candidate,2.0479758,,0,true
10,candidate,1.9995066,,0,true
10,parent,2.1484099,,0,true
11,parent,1.9152323,,0,true
11,candidate,2.1371887,,0,true
12,candidate,2.2981974,,0,true
12,parent,2.1668696,,0,true
13,parent,2.0015027,,0,true
13,candidate,2.1042280,,0,true
14,candidate,1.9418743,,0,true
14,parent,2.0385032,,0,true
15,parent,2.0256311,,0,true
15,candidate,2.0460158,,0,true
16,candidate,2.0118759,,0,true
16,parent,2.2297971,,0,true
17,parent,1.9605292,1.9531250,0,true
17,candidate,1.9746695,1.9687500,0,true
18,candidate,1.9513683,1.8750000,0,true
18,parent,2.0858621,2.0625000,0,true
19,parent,2.0110073,1.9687500,0,true
19,candidate,2.0195331,1.9843750,0,true
20,candidate,1.9439227,1.9062500,0,true
20,parent,1.9890578,1.9531250,0,true
21,parent,2.1429483,2.0312500,0,true
21,candidate,2.0028102,1.9687500,0,true
22,candidate,1.9806563,1.9375000,0,true
22,parent,2.0361796,2.0312500,0,true
23,parent,1.9914932,1.9531250,0,true
23,candidate,1.9337349,1.9218750,0,true
24,candidate,2.1429521,1.9687500,0,true
24,parent,1.8683200,1.8281250,0,true
25,parent,2.0325785,2.0156250,0,true
25,candidate,1.9204346,1.8906250,0,true
26,candidate,1.9808838,1.9531250,0,true
26,parent,1.9673283,1.9531250,0,true
27,parent,2.1279007,2.1250000,0,true
27,candidate,2.0014079,1.9843750,0,true
28,candidate,2.1316761,2.0000000,0,true
28,parent,1.9634597,1.9375000,0,true
29,parent,1.9953959,2.0000000,0,true
29,candidate,2.0133523,1.9375000,0,true
30,candidate,2.0468501,2.0156250,0,true
30,parent,1.9698665,1.9062500,0,true
31,parent,1.9708144,1.9218750,0,true
31,candidate,2.0449840,2.0468750,0,true
32,candidate,2.1348333,2.1250000,0,true
32,parent,2.2000878,2.1406250,0,true
33,parent,2.1666767,2.0156250,0,true
33,candidate,1.9593894,1.9375000,0,true
34,candidate,1.9978905,1.9375000,0,true
34,parent,2.0765685,2.0468750,0,true
35,parent,1.9187513,1.8906250,0,true
35,candidate,2.0457413,2.0312500,0,true
36,candidate,1.9127434,1.8750000,0,true
36,parent,1.9802470,1.9531250,0,true
37,parent,1.9595831,1.9218750,0,true
37,candidate,2.0293121,2.0000000,0,true
38,candidate,1.9249504,1.9062500,0,true
38,parent,1.9864926,1.9375000,0,true
39,parent,2.0333898,2.0000000,0,true
39,candidate,1.9580096,1.9375000,0,true
40,candidate,1.9797401,1.9531250,0,true
40,parent,2.0185427,2.0000000,0,true
41,parent,2.0020452,1.9843750,0,true
41,candidate,1.9704159,1.9687500,0,true
42,candidate,2.0469696,2.0312500,0,true
42,parent,1.9456715,1.9218750,0,true
43,parent,2.0997634,2.0937500,0,true
43,candidate,1.8468457,1.8437500,0,true
44,candidate,2.0367446,2.0312500,0,true
44,parent,1.9622816,1.9531250,0,true
45,parent,2.0350254,2.0312500,0,true
45,candidate,2.0500978,2.0000000,0,true
46,candidate,2.2970107,2.2656250,0,true
46,parent,1.9867497,1.9687500,0,true
47,parent,1.9928709,1.9531250,0,true
47,candidate,1.9411592,1.9375000,0,true
48,candidate,1.9521478,1.9375000,0,true
48,parent,1.9958579,1.9843750,0,true
