pair,variant,seconds,cpu_seconds,exit,proof
1,parent,2.0497549,2.0000000,0,true
1,candidate,1.9649169,1.9531250,0,true
2,candidate,1.9204004,1.9062500,0,true
2,parent,1.8594337,1.8593750,0,true
3,parent,1.8354234,1.8281250,0,true
3,candidate,1.8454303,1.8437500,0,true
4,candidate,1.8673967,1.8281250,0,true
4,parent,1.8119487,1.7968750,0,true
5,parent,1.8775110,1.8437500,0,true
5,candidate,1.8699367,1.8593750,0,true
6,candidate,1.7976786,1.7812500,0,true
6,parent,1.8117353,1.7656250,0,true
7,parent,1.7961900,1.7656250,0,true
7,candidate,1.7882552,1.7343750,0,true
8,candidate,1.7651746,1.7500000,0,true
8,parent,1.7284097,1.6718750,0,true
9,parent,1.7561731,1.7500000,0,true
9,candidate,1.7736206,1.7500000,0,true
10,candidate,1.7199979,1.6718750,0,true
10,parent,1.7289993,1.6875000,0,true
11,parent,1.7051938,1.6875000,0,true
11,candidate,1.7099384,1.6875000,0,true
12,candidate,1.7641076,1.7031250,0,true
12,parent,1.7795726,1.7500000,0,true
13,parent,1.7673281,1.7500000,0,true
13,candidate,1.7400674,1.7187500,0,true
14,candidate,1.7504757,1.7343750,0,true
14,parent,1.9701449,1.8281250,0,true
15,parent,2.0134913,1.9843750,0,true
15,candidate,1.7931496,1.7656250,0,true
16,candidate,1.7779903,1.7500000,0,true
16,parent,1.7829510,1.7500000,0,true
17,parent,1.7513534,1.7187500,0,true
17,candidate,1.7643476,1.7187500,0,true
18,candidate,1.7493180,1.7500000,0,true
18,parent,1.7547427,1.7187500,0,true
19,parent,1.7235154,1.7031250,0,true
19,candidate,1.7939762,1.7187500,0,true
20,candidate,1.7846089,1.7500000,0,true
20,parent,1.7341660,1.7187500,0,true
21,parent,1.7996249,1.7812500,0,true
21,candidate,1.8896220,1.7500000,0,true
22,candidate,1.7790837,1.7656250,0,true
22,parent,1.7201310,1.7187500,0,true
23,parent,1.7127904,1.6718750,0,true
23,candidate,1.8315266,1.6718750,0,true
24,candidate,1.7332648,1.7031250,0,true
24,parent,1.7172366,1.6875000,0,true
25,parent,1.7173969,1.6406250,0,true
25,candidate,1.7942992,1.7343750,0,true
26,candidate,1.7568480,1.7343750,0,true
26,parent,1.7393237,1.7187500,0,true
27,parent,1.7577465,1.7656250,0,true
27,candidate,1.7015956,1.7031250,0,true
28,candidate,1.7320646,1.7187500,0,true
28,parent,1.7306706,1.6718750,0,true
29,parent,1.7345458,1.7187500,0,true
29,candidate,1.7258420,1.6875000,0,true
30,candidate,1.9542624,1.9531250,0,true
30,parent,1.9138388,1.8906250,0,true
31,parent,1.7609235,1.7343750,0,true
31,candidate,1.7419309,1.7187500,0,true
32,candidate,1.7157730,1.6562500,0,true
32,parent,1.7437054,1.7031250,0,true
33,parent,1.7381915,1.7187500,0,true
33,candidate,1.7136950,1.6875000,0,true
34,candidate,1.7115129,1.6562500,0,true
34,parent,1.7342697,1.7031250,0,true
35,parent,1.7445370,1.7343750,0,true
35,candidate,1.7380005,1.6875000,0,true
36,candidate,1.7349842,1.7031250,0,true
36,parent,1.7168321,1.6875000,0,true
37,parent,1.7422273,1.7343750,0,true
37,candidate,1.7392048,1.6875000,0,true
38,candidate,1.7870646,1.7343750,0,true
38,parent,1.7699132,1.7343750,0,true
39,parent,1.7538878,1.7187500,0,true
39,candidate,1.7566378,1.7343750,0,true
40,candidate,1.7540523,1.7187500,0,true
40,parent,1.7065926,1.6875000,0,true
41,parent,1.7073635,1.6875000,0,true
41,candidate,1.7334380,1.7031250,0,true
42,candidate,1.7400495,1.7031250,0,true
42,parent,1.6839842,1.6406250,0,true
43,parent,1.6938736,1.6718750,0,true
43,candidate,1.6945668,1.6406250,0,true
44,candidate,1.6930178,1.6875000,0,true
44,parent,1.7004305,1.6875000,0,true
45,parent,1.7427900,1.7343750,0,true
45,candidate,1.7154774,1.7187500,0,true
46,candidate,1.7192287,1.6718750,0,true
46,parent,1.7111104,1.6875000,0,true
47,parent,1.6858754,1.6406250,0,true
47,candidate,1.6927124,1.6875000,0,true
48,candidate,1.6833566,1.6093750,0,true
48,parent,1.7062098,1.6562500,0,true
49,parent,1.7213956,1.7031250,0,true
49,candidate,1.7040555,1.6875000,0,true
50,candidate,1.7293393,1.7187500,0,true
50,parent,1.8114689,1.7968750,0,true
51,parent,1.9808011,1.8906250,0,true
51,candidate,1.7918399,1.7812500,0,true
52,candidate,1.7885422,1.7656250,0,true
52,parent,1.7388917,1.7187500,0,true
53,parent,1.7325868,1.7187500,0,true
53,candidate,1.7353048,1.7187500,0,true
54,candidate,1.7057635,1.6562500,0,true
54,parent,1.7339569,1.7031250,0,true
55,parent,1.7709675,1.7343750,0,true
55,candidate,1.9144743,1.8750000,0,true
56,candidate,1.7381889,1.7343750,0,true
56,parent,1.7032092,1.6562500,0,true
57,parent,1.7200880,1.7031250,0,true
57,candidate,1.6874395,1.6250000,0,true
58,candidate,1.7285021,1.7343750,0,true
58,parent,1.7275976,1.7187500,0,true
59,parent,1.7599114,1.7187500,0,true
59,candidate,1.7433618,1.6875000,0,true
60,candidate,1.6863858,1.6875000,0,true
60,parent,1.7215693,1.6562500,0,true
61,parent,1.7266772,1.6718750,0,true
61,candidate,1.6957854,1.6406250,0,true
62,candidate,1.8298221,1.6718750,0,true
62,parent,1.7347153,1.6875000,0,true
63,parent,1.7128939,1.6718750,0,true
63,candidate,1.6958459,1.6562500,0,true
64,candidate,1.6928622,1.6718750,0,true
64,parent,1.6794989,1.6718750,0,true
