"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.1904782","2.109375","0"
"1","2","candidate","3.566848","1.9375","0"
"2","1","candidate","2.0387765","1.984375","0"
"2","2","parent","1.9376862","1.875","0"
"3","1","parent","2.0801199","2.046875","0"
"3","2","candidate","1.9968182","1.953125","0"
"4","1","candidate","1.9357695","1.921875","0"
"4","2","parent","1.9759676","1.90625","0"
"5","1","parent","2.0988301","2.0625","0"
"5","2","candidate","1.8581612","1.8125","0"
"6","1","candidate","2.0678249","2.03125","0"
"6","2","parent","2.0425645","1.890625","0"
"7","1","parent","2.0506576","1.984375","0"
"7","2","candidate","1.9583845","1.921875","0"
"8","1","candidate","1.9794216","1.953125","0"
"8","2","parent","1.9821785","1.921875","0"
"9","1","parent","2.1011134","2.046875","0"
"9","2","candidate","1.9692256","1.9375","0"
"10","1","candidate","1.988108","1.984375","0"
"10","2","parent","1.9548667","1.90625","0"
"11","1","parent","1.9600791","1.9375","0"
"11","2","candidate","1.9403112","1.90625","0"
"12","1","candidate","2.0400104","2.015625","0"
"12","2","parent","2.0957482","1.96875","0"
"13","1","parent","1.9818628","1.921875","0"
"13","2","candidate","2.0358397","1.984375","0"
"14","1","candidate","1.8396141","1.828125","0"
"14","2","parent","2.109208","2.09375","0"
"15","1","parent","1.9961903","1.96875","0"
"15","2","candidate","2.1932709","2.140625","0"
"16","1","candidate","2.1043832","2.078125","0"
"16","2","parent","2.0802731","2.03125","0"
"17","1","parent","1.9350345","1.890625","0"
"17","2","candidate","2.0116786","1.953125","0"
"18","1","candidate","1.8648579","1.828125","0"
"18","2","parent","2.1644195","2.140625","0"
"19","1","parent","2.0653449","2.03125","0"
"19","2","candidate","2.0825","2.046875","0"
"20","1","candidate","1.9384999","1.921875","0"
"20","2","parent","2.0119114","1.984375","0"
"21","1","parent","1.9694326","1.859375","0"
"21","2","candidate","1.9583415","1.90625","0"
"22","1","candidate","1.953044","1.9375","0"
"22","2","parent","2.0048515","1.96875","0"
"23","1","parent","2.0237202","1.984375","0"
"23","2","candidate","2.0959212","2.046875","0"
"24","1","candidate","2.0258978","2","0"
"24","2","parent","1.9690296","1.921875","0"
"25","1","parent","2.0833874","2.015625","0"
"25","2","candidate","1.8509834","1.828125","0"
"26","1","candidate","2.04938","2.015625","0"
"26","2","parent","1.989002","1.96875","0"
"27","1","parent","1.9470834","1.90625","0"
"27","2","candidate","1.9197082","1.890625","0"
"28","1","candidate","2.0095591","1.96875","0"
"28","2","parent","1.9234313","1.875","0"
"29","1","parent","2.0877175","2.046875","0"
"29","2","candidate","1.8259205","1.796875","0"
"30","1","candidate","2.0272288","2","0"
"30","2","parent","1.9932738","1.96875","0"
"31","1","parent","2.0029757","1.96875","0"
"31","2","candidate","2.0669973","2.03125","0"
"32","1","candidate","2.2865585","2.21875","0"
"32","2","parent","2.1463442","2.09375","0"
"33","1","parent","2.0512759","2","0"
"33","2","candidate","1.9898755","1.90625","0"
"34","1","candidate","1.9571492","1.90625","0"
"34","2","parent","1.9953149","1.953125","0"
"35","1","parent","2.0693982","2.015625","0"
"35","2","candidate","1.9713575","1.953125","0"
"36","1","candidate","2.0213015","1.96875","0"
"36","2","parent","1.9864727","1.9375","0"
"37","1","parent","2.0161297","1.984375","0"
"37","2","candidate","2.0268574","1.984375","0"
"38","1","candidate","1.9577928","1.875","0"
"38","2","parent","1.9725738","1.953125","0"
"39","1","parent","2.0645689","2.046875","0"
"39","2","candidate","1.9955493","1.96875","0"
"40","1","candidate","2.0462203","1.890625","0"
"40","2","parent","2.0769414","2.015625","0"
"41","1","parent","1.891947","1.828125","0"
"41","2","candidate","2.0415494","2.03125","0"
"42","1","candidate","1.9537626","1.890625","0"
"42","2","parent","1.990253","1.953125","0"
"43","1","parent","2.0124878","1.953125","0"
"43","2","candidate","2.0241471","2.03125","0"
"44","1","candidate","1.8721887","1.828125","0"
"44","2","parent","2.0722965","2.078125","0"
"45","1","parent","1.8657454","1.796875","0"
"45","2","candidate","1.991482","1.9375","0"
"46","1","candidate","1.9446307","1.921875","0"
"46","2","parent","2.0277007","1.984375","0"
"47","1","parent","1.9857418","1.953125","0"
"47","2","candidate","2.0805238","2.015625","0"
"48","1","candidate","2.0011753","1.96875","0"
"48","2","parent","2.0848596","2.078125","0"
"49","1","parent","2.1490441","2.109375","0"
"49","2","candidate","2.1117392","2.078125","0"
"50","1","candidate","1.9934758","1.96875","0"
"50","2","parent","2.1670897","2.125","0"
"51","1","parent","1.9968961","1.9375","0"
"51","2","candidate","1.9692886","1.921875","0"
"52","1","candidate","2.0304388","1.96875","0"
"52","2","parent","1.9155991","1.84375","0"
"53","1","parent","1.9869044","1.953125","0"
"53","2","candidate","2.0306348","1.984375","0"
"54","1","candidate","1.9896333","1.953125","0"
"54","2","parent","2.0346583","2","0"
"55","1","parent","2.0360731","2.015625","0"
"55","2","candidate","2.0598833","2.046875","0"
"56","1","candidate","2.033662","2.015625","0"
"56","2","parent","1.8560377","1.78125","0"
"57","1","parent","2.1892588","2.15625","0"
"57","2","candidate","1.9220286","1.90625","0"
"58","1","candidate","1.9296073","1.859375","0"
"58","2","parent","1.9717584","1.90625","0"
"59","1","parent","2.150405","2.125","0"
"59","2","candidate","2.0626844","1.921875","0"
"60","1","candidate","2.0742342","2.0625","0"
"60","2","parent","1.9655254","1.921875","0"
"61","1","parent","2.0050522","1.96875","0"
"61","2","candidate","1.9688711","1.9375","0"
"62","1","candidate","2.1157702","2.125","0"
"62","2","parent","1.975219","1.9375","0"
"63","1","parent","1.9855465","1.96875","0"
"63","2","candidate","1.9790451","1.9375","0"
"64","1","candidate","1.9614674","1.90625","0"
"64","2","parent","2.0974548","2.078125","0"
