"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","3.0264549","3.015625","0"
"1","2","candidate","5.7992812","4.28125","0"
"2","1","candidate","3.7239343","3.515625","0"
"2","2","parent","3.0829341","3.03125","0"
"3","1","parent","2.8225389","2.78125","0"
"3","2","candidate","2.7417259","2.703125","0"
"4","1","candidate","2.6668552","2.59375","0"
"4","2","parent","2.7265478","2.640625","0"
"5","1","parent","2.7124268","2.703125","0"
"5","2","candidate","2.8374366","2.765625","0"
"6","1","candidate","2.9630438","2.90625","0"
"6","2","parent","2.900083","2.875","0"
"7","1","parent","2.7436806","2.6875","0"
"7","2","candidate","2.6390172","2.578125","0"
"8","1","candidate","2.7314437","2.671875","0"
"8","2","parent","2.6752125","2.640625","0"
"9","1","parent","2.6361925","2.609375","0"
"9","2","candidate","2.6441952","2.578125","0"
"10","1","candidate","2.6071136","2.59375","0"
"10","2","parent","2.6127901","2.546875","0"
"11","1","parent","2.9332356","2.859375","0"
"11","2","candidate","3.0586214","3.015625","0"
"12","1","candidate","2.7132708","2.65625","0"
"12","2","parent","2.2700012","2.21875","0"
"13","1","parent","2.1568793","2.109375","0"
"13","2","candidate","2.1622041","2.125","0"
"14","1","candidate","2.156492","2.078125","0"
"14","2","parent","2.1333921","2.078125","0"
"15","1","parent","2.2143302","2.15625","0"
"15","2","candidate","2.344854","2.28125","0"
"16","1","candidate","2.1676197","2.109375","0"
"16","2","parent","2.1148394","2","0"
"17","1","parent","2.1126884","2.078125","0"
"17","2","candidate","2.1771232","2.125","0"
"18","1","candidate","2.2852599","2.234375","0"
"18","2","parent","2.5110393","2.46875","0"
"19","1","parent","2.1854735","2.140625","0"
"19","2","candidate","2.1079568","2.015625","0"
"20","1","candidate","2.1172891","2.109375","0"
"20","2","parent","2.1659975","2.140625","0"
"21","1","parent","2.1969912","2.171875","0"
"21","2","candidate","2.0935747","2.015625","0"
"22","1","candidate","2.1629402","2.09375","0"
"22","2","parent","2.1110576","2.078125","0"
"23","1","parent","2.0767176","1.984375","0"
"23","2","candidate","2.1293499","2.078125","0"
"24","1","candidate","2.1225469","2.0625","0"
"24","2","parent","2.1938293","2.140625","0"
"25","1","parent","2.2668376","2.1875","0"
"25","2","candidate","2.3885861","2.34375","0"
"26","1","candidate","2.3224414","2.25","0"
"26","2","parent","2.7429244","2.546875","0"
"27","1","parent","2.412099","2.375","0"
"27","2","candidate","2.2755863","2.0625","0"
"28","1","candidate","2.0856899","2.015625","0"
"28","2","parent","2.0803133","2.0625","0"
"29","1","parent","2.1093288","2.078125","0"
"29","2","candidate","2.0708471","2.03125","0"
"30","1","candidate","2.1383061","2.078125","0"
"30","2","parent","2.0597759","2.03125","0"
"31","1","parent","2.0873342","2.015625","0"
"31","2","candidate","2.2110253","2.140625","0"
"32","1","candidate","2.5656878","2.515625","0"
"32","2","parent","2.2134023","2.15625","0"
"33","1","parent","2.07748","2.015625","0"
"33","2","candidate","2.1018332","2.078125","0"
"34","1","candidate","2.1597772","2.109375","0"
"34","2","parent","2.103991","1.984375","0"
"35","1","parent","2.1810388","1.96875","0"
"35","2","candidate","2.1062289","2.046875","0"
"36","1","candidate","2.0973407","2.046875","0"
"36","2","parent","2.0751631","2","0"
"37","1","parent","2.1373927","2.09375","0"
"37","2","candidate","2.1780355","2.125","0"
"38","1","candidate","2.1376688","2.125","0"
"38","2","parent","2.1582638","2.140625","0"
"39","1","parent","2.4690583","2.40625","0"
"39","2","candidate","2.3000162","2.265625","0"
"40","1","candidate","2.1080583","2.09375","0"
"40","2","parent","2.0538062","1.984375","0"
"41","1","parent","2.0533414","2.015625","0"
"41","2","candidate","2.0906064","2.0625","0"
"42","1","candidate","2.1075471","2.0625","0"
"42","2","parent","2.3810325","2.328125","0"
"43","1","parent","2.530329","2.484375","0"
"43","2","candidate","2.2066411","2.171875","0"
"44","1","candidate","2.2552563","2.078125","0"
"44","2","parent","2.1077896","2.046875","0"
"45","1","parent","2.07825","2.046875","0"
"45","2","candidate","2.4069978","2.375","0"
"46","1","candidate","2.4983254","2.4375","0"
"46","2","parent","2.1081447","2.03125","0"
"47","1","parent","2.1553968","2.140625","0"
"47","2","candidate","2.0678453","2.03125","0"
"48","1","candidate","2.1631373","2.078125","0"
"48","2","parent","2.1020199","2.015625","0"
"49","1","parent","2.15442","2.109375","0"
"49","2","candidate","2.1216731","2.125","0"
"50","1","candidate","2.1823616","2.171875","0"
"50","2","parent","2.0659217","2.046875","0"
"51","1","parent","2.136604","2.0625","0"
"51","2","candidate","2.1545185","2.140625","0"
"52","1","candidate","2.0888841","2.078125","0"
"52","2","parent","2.3808196","2.359375","0"
"53","1","parent","2.2474235","2.1875","0"
"53","2","candidate","2.0892549","2.046875","0"
"54","1","candidate","2.1586172","2.109375","0"
"54","2","parent","2.1416644","2.09375","0"
"55","1","parent","2.0977494","2.046875","0"
"55","2","candidate","2.1082804","2.03125","0"
"56","1","candidate","2.0864167","2.015625","0"
"56","2","parent","2.0834143","2","0"
"57","1","parent","2.1089042","2.078125","0"
"57","2","candidate","2.0711352","2.03125","0"
"58","1","candidate","2.2088987","2.171875","0"
"58","2","parent","2.5231709","2.484375","0"
"59","1","parent","2.5794802","2.53125","0"
"59","2","candidate","2.5636417","2.5","0"
"60","1","candidate","2.2295662","2.1875","0"
"60","2","parent","2.1023741","2.078125","0"
"61","1","parent","2.0587629","2.015625","0"
"61","2","candidate","2.1080234","2.0625","0"
"62","1","candidate","2.0913679","2.046875","0"
"62","2","parent","2.1041992","2.046875","0"
"63","1","parent","2.0598909","2.046875","0"
"63","2","candidate","2.0576007","1.953125","0"
"64","1","candidate","2.0549478","2","0"
"64","2","parent","2.195311","2.1875","0"
