"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.0606049","2.015625","0"
"1","2","candidate","2.1958856","2.125","0"
"2","1","candidate","2.3043251","2.234375","0"
"2","2","parent","2.0833354","2","0"
"3","1","parent","2.072742","2","0"
"3","2","candidate","2.052539","2.015625","0"
"4","1","candidate","2.0907783","1.984375","0"
"4","2","parent","2.0384274","1.96875","0"
"5","1","parent","2.054135","1.984375","0"
"5","2","candidate","2.0823911","2.03125","0"
"6","1","candidate","2.1189256","2.09375","0"
"6","2","parent","2.1161187","2.0625","0"
"7","1","parent","2.5645926","2.515625","0"
"7","2","candidate","2.4677344","2.40625","0"
"8","1","candidate","2.2012985","2.09375","0"
"8","2","parent","2.1101431","2.0625","0"
"9","1","parent","2.0368176","1.96875","0"
"9","2","candidate","2.0862835","2.03125","0"
"10","1","candidate","2.0896797","2.03125","0"
"10","2","parent","2.0899825","2.046875","0"
"11","1","parent","2.0432395","2.03125","0"
"11","2","candidate","2.0976382","1.953125","0"
"12","1","candidate","2.1154681","2.09375","0"
"12","2","parent","2.1221052","2.109375","0"
"13","1","parent","2.2712401","2.265625","0"
"13","2","candidate","2.8381925","2.765625","0"
"14","1","candidate","2.5114707","2.453125","0"
"14","2","parent","2.150406","2.140625","0"
"15","1","parent","2.056066","1.984375","0"
"15","2","candidate","2.0771212","2.015625","0"
"16","1","candidate","2.1194547","2.046875","0"
"16","2","parent","2.1076572","2.078125","0"
"17","1","parent","2.1895299","2.09375","0"
"17","2","candidate","2.155771","2.15625","0"
"18","1","candidate","2.1225961","2.0625","0"
"18","2","parent","2.1220586","2.046875","0"
"19","1","parent","2.1252658","2.078125","0"
"19","2","candidate","2.1876398","2.125","0"
"20","1","candidate","2.1353531","2.09375","0"
"20","2","parent","2.3932351","2.34375","0"
"21","1","parent","2.3714238","2.34375","0"
"21","2","candidate","2.1897101","2.09375","0"
"22","1","candidate","2.1552764","2.125","0"
"22","2","parent","2.072584","1.953125","0"
"23","1","parent","2.07463","2.046875","0"
"23","2","candidate","2.1095423","2.0625","0"
"24","1","candidate","2.1936197","2.15625","0"
"24","2","parent","2.0968014","2.046875","0"
"25","1","parent","2.0957761","2.015625","0"
"25","2","candidate","2.1920516","2.15625","0"
"26","1","candidate","2.1090278","2.078125","0"
"26","2","parent","2.1186384","2.078125","0"
"27","1","parent","2.0785954","2.046875","0"
"27","2","candidate","2.4069197","2.359375","0"
"28","1","candidate","2.3150898","2.296875","0"
"28","2","parent","2.0431736","2.015625","0"
"29","1","parent","2.0792015","2.03125","0"
"29","2","candidate","2.3179194","2.21875","0"
"30","1","candidate","2.7739692","2.703125","0"
"30","2","parent","2.2505964","2.1875","0"
"31","1","parent","2.1020223","2.078125","0"
"31","2","candidate","2.0782182","2.03125","0"
"32","1","candidate","2.0976515","2.0625","0"
"32","2","parent","2.1368065","2.078125","0"
"33","1","parent","2.0726853","2.015625","0"
"33","2","candidate","2.1061068","2.0625","0"
"34","1","candidate","2.1926579","2.140625","0"
"34","2","parent","2.481071","2.40625","0"
"35","1","parent","2.1594247","2.109375","0"
"35","2","candidate","2.1681931","2.171875","0"
"36","1","candidate","2.1219552","2.078125","0"
"36","2","parent","2.0824393","2.03125","0"
"37","1","parent","2.0870697","2.015625","0"
"37","2","candidate","2.0921939","2.078125","0"
"38","1","candidate","2.1325943","2.015625","0"
"38","2","parent","2.1067713","2.0625","0"
"39","1","parent","2.062","2.015625","0"
"39","2","candidate","2.116634","2.03125","0"
"40","1","candidate","2.139499","2.109375","0"
"40","2","parent","2.1094036","2.078125","0"
"41","1","parent","2.2417693","2.1875","0"
"41","2","candidate","2.523187","2.390625","0"
"42","1","candidate","2.1849283","2.125","0"
"42","2","parent","2.0484387","2.015625","0"
"43","1","parent","2.1685255","2.015625","0"
"43","2","candidate","2.0878514","2.03125","0"
"44","1","candidate","2.1104363","2.09375","0"
"44","2","parent","2.0581155","2.015625","0"
"45","1","parent","2.2057927","2.171875","0"
"45","2","candidate","2.1661635","2.140625","0"
"46","1","candidate","2.4550391","2.421875","0"
"46","2","parent","2.4957269","2.46875","0"
"47","1","parent","2.2069246","2.171875","0"
"47","2","candidate","2.1652567","2.140625","0"
"48","1","candidate","2.4596634","2.34375","0"
"48","2","parent","2.277608","2.203125","0"
"49","1","parent","2.0698166","2.015625","0"
"49","2","candidate","2.1365218","2.109375","0"
"50","1","candidate","2.0804987","2.015625","0"
"50","2","parent","2.1610532","2.140625","0"
"51","1","parent","2.0754604","2.03125","0"
"51","2","candidate","2.126574","2.046875","0"
"52","1","candidate","2.1628984","2.140625","0"
"52","2","parent","2.1609322","2.125","0"
"53","1","parent","2.0833116","2.046875","0"
"53","2","candidate","2.1249108","2.03125","0"
"54","1","candidate","2.0993942","2.015625","0"
"54","2","parent","2.1048234","2.046875","0"
"55","1","parent","2.4744877","2.421875","0"
"55","2","candidate","2.3171755","2.28125","0"
"56","1","candidate","2.092723","2.046875","0"
"56","2","parent","2.0555364","2.03125","0"
"57","1","parent","2.1503103","2.0625","0"
"57","2","candidate","2.2737313","2.21875","0"
"58","1","candidate","2.1960605","2.140625","0"
"58","2","parent","2.1037232","2","0"
"59","1","parent","2.218602","2","0"
"59","2","candidate","2.0853837","2.03125","0"
"60","1","candidate","2.0607825","2.015625","0"
"60","2","parent","2.0753331","2.046875","0"
"61","1","parent","2.0830811","2.046875","0"
"61","2","candidate","2.1800753","2.171875","0"
"62","1","candidate","2.5165488","2.46875","0"
"62","2","parent","2.5507747","2.453125","0"
"63","1","parent","2.1531359","2.078125","0"
"63","2","candidate","2.1470861","2.09375","0"
"64","1","candidate","2.0708995","2","0"
"64","2","parent","2.0715892","2","0"
