"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.5548545","2.484375","0"
"1","2","candidate","2.4873559","2.421875","0"
"2","1","candidate","2.4524143","2.4375","0"
"2","2","parent","2.4456611","2.390625","0"
"3","1","parent","2.546317","2.5","0"
"3","2","candidate","2.4250656","2.390625","0"
"4","1","candidate","2.7098577","2.59375","0"
"4","2","parent","2.6174474","2.59375","0"
"5","1","parent","2.6365316","2.578125","0"
"5","2","candidate","2.4451744","2.375","0"
"6","1","candidate","2.4721194","2.421875","0"
"6","2","parent","2.4030184","2.359375","0"
"7","1","parent","2.6990129","2.5","0"
"7","2","candidate","2.4651102","2.40625","0"
"8","1","candidate","2.5033384","2.46875","0"
"8","2","parent","2.4767636","2.34375","0"
"9","1","parent","2.5843939","2.515625","0"
"9","2","candidate","2.5408086","2.46875","0"
"10","1","candidate","2.589806","2.546875","0"
"10","2","parent","2.923164","2.703125","0"
"11","1","parent","2.5262121","2.484375","0"
"11","2","candidate","2.4977272","2.421875","0"
"12","1","candidate","2.4458593","2.390625","0"
"12","2","parent","2.5294205","2.453125","0"
"13","1","parent","2.4681037","2.359375","0"
"13","2","candidate","2.5633178","2.484375","0"
"14","1","candidate","2.5975629","2.515625","0"
"14","2","parent","2.8163535","2.78125","0"
"15","1","parent","2.7464645","2.6875","0"
"15","2","candidate","2.5942046","2.53125","0"
"16","1","candidate","2.5469311","2.5","0"
"16","2","parent","2.7961201","2.734375","0"
"17","1","parent","2.5175462","2.4375","0"
"17","2","candidate","2.543631","2.46875","0"
"18","1","candidate","2.4766181","2.453125","0"
"18","2","parent","2.6344008","2.5","0"
"19","1","parent","2.3720153","2.359375","0"
"19","2","candidate","2.579025","2.578125","0"
"20","1","candidate","2.348311","2.328125","0"
"20","2","parent","2.4959544","2.453125","0"
"21","1","parent","2.5053627","2.484375","0"
"21","2","candidate","2.4887556","2.453125","0"
"22","1","candidate","2.8220956","2.65625","0"
"22","2","parent","2.8155295","2.671875","0"
"23","1","parent","2.5350103","2.46875","0"
"23","2","candidate","2.5023378","2.453125","0"
"24","1","candidate","2.4122909","2.34375","0"
"24","2","parent","2.4788117","2.40625","0"
"25","1","parent","2.4466436","2.40625","0"
"25","2","candidate","2.5138505","2.484375","0"
"26","1","candidate","2.5607344","2.359375","0"
"26","2","parent","2.6017426","2.546875","0"
"27","1","parent","2.5376481","2.28125","0"
"27","2","candidate","2.5203328","2.484375","0"
"28","1","candidate","2.946534","2.859375","0"
"28","2","parent","2.6930378","2.625","0"
"29","1","parent","2.470957","2.34375","0"
"29","2","candidate","2.615146","2.609375","0"
"30","1","candidate","2.4344685","2.375","0"
"30","2","parent","2.4810761","2.421875","0"
"31","1","parent","2.4602298","2.4375","0"
"31","2","candidate","2.509829","2.46875","0"
"32","1","candidate","2.5252661","2.484375","0"
"32","2","parent","2.4715485","2.390625","0"
"33","1","parent","2.4423315","2.390625","0"
"33","2","candidate","2.7044248","2.640625","0"
"34","1","candidate","2.7429079","2.65625","0"
"34","2","parent","2.5207951","2.484375","0"
"35","1","parent","2.5235853","2.484375","0"
"35","2","candidate","2.3242883","2.234375","0"
"36","1","candidate","2.5886031","2.59375","0"
"36","2","parent","2.4653635","2.453125","0"
"37","1","parent","2.5031666","2.46875","0"
"37","2","candidate","2.4992669","2.421875","0"
"38","1","candidate","2.5176428","2.5","0"
"38","2","parent","2.394843","2.296875","0"
"39","1","parent","2.6031232","2.546875","0"
"39","2","candidate","2.4179412","2.390625","0"
"40","1","candidate","2.8072904","2.765625","0"
"40","2","parent","2.5947029","2.515625","0"
"41","1","parent","2.5720243","2.515625","0"
"41","2","candidate","2.8265486","2.78125","0"
"42","1","candidate","2.9003653","2.84375","0"
"42","2","parent","2.493252","2.453125","0"
"43","1","parent","2.5094964","2.40625","0"
"43","2","candidate","2.4491253","2.421875","0"
"44","1","candidate","2.4485567","2.4375","0"
"44","2","parent","2.4325442","2.328125","0"
"45","1","parent","2.5796788","2.546875","0"
"45","2","candidate","2.6847365","2.625","0"
"46","1","candidate","2.6572962","2.578125","0"
"46","2","parent","2.4876101","2.390625","0"
"47","1","parent","2.4233251","2.34375","0"
"47","2","candidate","2.4847714","2.390625","0"
"48","1","candidate","2.4821522","2.4375","0"
"48","2","parent","2.4829544","2.4375","0"
"49","1","parent","2.5319923","2.46875","0"
"49","2","candidate","2.4382779","2.390625","0"
"50","1","candidate","2.3974986","2.296875","0"
"50","2","parent","2.4487629","2.375","0"
"51","1","parent","2.3933607","2.34375","0"
"51","2","candidate","2.7167304","2.71875","0"
"52","1","candidate","2.6217393","2.53125","0"
"52","2","parent","2.4412547","2.40625","0"
"53","1","parent","2.508049","2.46875","0"
"53","2","candidate","2.495819","2.421875","0"
"54","1","candidate","2.4458194","2.421875","0"
"54","2","parent","2.5996248","2.546875","0"
"55","1","parent","2.3519281","2.265625","0"
